MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nI've never seen a power like yours. The ability\nto manifest Emblems... I want to make it mine.\x0E\x04\x00\x00
MID_GR_Seadas_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nJudgment? Oh, what does it mean... If it's\nsomething scary, I don't want it.\x0E\x04\x00\x00
MID_GR_Seadas_A_#003	\x0E\x03\x02\x0A\x08セアダス\nThe true meaning is "liberation" or "awakening."\nIt means you can become even stronger now.\x0E\x04\x00\x00
MID_GR_Seadas_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nIf the card says so, then maybe...I do want to\nget stronger, with your help.\x0E\x04\x00\x00
MID_GR_Linden_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08リンデン\nLook here, Veronica. Watch as I boil this soup\nof grass and rocks with a little...Thunder!\x0E\x04\x00\x00
MID_GR_Linden_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI shudder to think that you might someday be\nsummoned as a Hero.\x0E\x04\x00\x00
MID_GR_Linden_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08リンデン\nDespite appearances, I was once a royal guard.\nI'd be curious to hear what your castle was like.\x0E\x04\x00\x00
MID_GR_Linden_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI don't mind telling you. But in return, I'd like to\nhear more about you as well.\x0E\x04\x00\x00
MID_GR_Linden_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nLindon, you seem like the sort to know. What\nare the qualities of a good monarch?\x0E\x04\x00\x00
MID_GR_Linden_A_#002	\x0E\x03\x02\x0A\x08リンデン\nThat depends very much on the time and place.\nYour world is very different from this one, no?\x0E\x04\x00\x00
MID_GR_Linden_A_#003	\x0E\x03\x02\x0C\nヴェロニカ\nYes, I suppose so.\x0E\x04\x00\x00
MID_GR_Linden_A_#004	\x0E\x03\x02\x0A\x08リンデン\nThere is a lot to consider in answering your\nquestion. Fortunately, you have plenty of time.\x0E\x04\x00\x00
MID_GR_Saphir_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nザフィーア\nCount on me to protect you, Veronica. I may be\na simple soldier, but I'm good at what I do.\x0E\x04\x00\x00
MID_GR_Saphir_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI appreciate that, but I hope we'll have some\nopportunities for conversation too.\x0E\x04\x00\x00
MID_GR_Saphir_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nYou are skilled, Saphir. I'd like you to enter into\nmy service.\x0E\x04\x00\x00
MID_GR_Saphir_B_#002	\x0E\x03\x02\x0C\nザフィーア\nI've got a duty to Brodia now, but I'd have loved\nto accept your offer in my mercenary days.\x0E\x04\x00\x00
MID_GR_Saphir_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nザフィーア\nI don't actually love fighting for its own sake.\nI'm doing what I gotta do to end this war.\x0E\x04\x00\x00
MID_GR_Saphir_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI agree. The longer the war goes on, the more\npeople die. It's unacceptable.\x0E\x04\x00\x00
MID_GR_Saphir_A_#003	\x0E\x03\x02\x0C\nザフィーア\nI'm glad to hear you say that. Proper royalty\nshould always think of the people first.\x0E\x04\x00\x00
MID_GR_Saphir_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nThank you. Now, since you are one of those\npeople, I'd like to know more about you...\x0E\x04\x00\x00
MID_GR_Veyre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI've heard you once fought against something\ncalled the Order of Heroes. Who were they?\x0E\x04\x00\x00
MID_GR_Veyre_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIt isn't a happy story. But if you are OK with\nthat, I will tell you...\x0E\x04\x00\x00
MID_GR_Veyre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI was always alone before I came here. That's\nwhy I like this place─I no longer feel lonely.\x0E\x04\x00\x00
MID_GR_Veyre_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI don't like being alone either. I don't feel so\nlonely when I'm around you...\x0E\x04\x00\x00
MID_GR_Veyre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI'd like to know more about you, Veronica. And\nperhaps...perhaps we could become friends!\x0E\x04\x00\x00
MID_GR_Veyre_A_#002	\x0E\x03\x02\x0C\nヴェロニカ\nYou want to be friends with me? Really? To be\nyour friend...that would make me happy.\x0E\x04\x00\x00
MID_GR_Veyre_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nSo that's what you look like when you smile.\nI like it! I hope you smile more often.\x0E\x04\x00\x00
MID_GR_Veyre_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nWith you as my friend, I am sure I will.\x0E\x04\x00\x00
MID_GR_Mauve_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06モーヴ\nI still wonder whether a former enemy of the\nDivine Dragon like me should be allowed here.\x0E\x04\x00\x00
MID_GR_Mauve_C_#002	\x0E\x03\x02\x0C\nヴェロニカ\nI faced a similar situation once. Making allies of\nformer enemies is always complicated.\x0E\x04\x00\x00
MID_GR_Mauve_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x08\x06モーヴ\nFor Lady Veyle's sake, I can only hope I've done\nthe right thing when it mattered.\x0E\x04\x00\x00
MID_GR_Mauve_B_#002	\x0E\x03\x02\x0C\nヴェロニカ\nIt seems to me you have. She's come far.\nI'm...envious.\x0E\x04\x00\x00
MID_GR_Mauve_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x10\nヴェロニカ\x022\n\x0E\x03\x02\x0C\nヴェロニカ\nIt is good to have you with me, Mauvier. I'm sad\nthat our time together will someday end.\x0E\x04\x00\x00
MID_GR_Mauve_A_#002	\x0E\x03\x02\x08\x06モーヴ\nAs a mere mortal, I must leave you eventually.\nUntil then, however, you may rely on me.\x0E\x04\x00\x00
MID_GR_Mauve_A_#003	\x0E\x03\x02\x08\x06モーヴ\nEven after I am gone, I believe our bond will\npersist for as long as you want it to.\x0E\x04\x00\x00
MID_GR_Mauve_A_#004	\x0E\x03\x02\x0C\nヴェロニカ\nIf that is the case, then I will preserve it forever.\x0E\x04\x00\x00
