MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI am thrilled to be your compatriot. I swore to\nLumera that I would defend you with my life.\x0E\x04\x00\x00
MID_GR_Seadas_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nI understand you guarded an Emblem Ring for\nus. I thank you for looking after my friends.\x0E\x04\x00\x00
MID_GR_Seadas_C_#002	\x0E\x03\x02\x0A\x08セアダス\nThis praise will go to my head if you're not\ncareful. But truly, I am glad I could do my part.\x0E\x04\x00\x00
MID_GR_Seadas_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08セアダス\nTell me about the world you lived in. I love\nto hear about far off places I've never been.\x0E\x04\x00\x00
MID_GR_Seadas_B_#002	\x0E\x03\x02\x0A\x08シグルド\nMy world was filled with conflict and war. Still,\nit was a world worth protecting with my life.\x0E\x04\x00\x00
MID_GR_Seadas_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08セアダス\nI have two fathers─my blood father and the one\nwho raised me. But both are dead now.\x0E\x04\x00\x00
MID_GR_Seadas_A_#002	\x0E\x03\x02\x0A\x08シグルド\nLosing parents...is difficult. It pains me deeply\nto imagine how a child feels after such a thing.\x0E\x04\x00\x00
MID_GR_Seadas_A_#003	\x0E\x03\x02\x0A\x08セアダス\nThe father who raised me─my master─died\nsaving me from bandits. You remind me of him.\x0E\x04\x00\x00
MID_GR_Seadas_A_#004	\x0E\x03\x02\x0A\x08シグルド\nSacrificing himself for you... I have no doubt\nyour master cared for you as he would a son.\x0E\x04\x00\x00
MID_GR_Linden_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08リンデン\nGot a moment, Sigurd? I'm about to start an\nexciting experiment, if you'd care to participate.\x0E\x04\x00\x00
MID_GR_Linden_C_#002	\x0E\x03\x02\x0A\x08シグルド\nI admit to some curiosity about scholarly\npursuits such as yours. By all means, show me.\x0E\x04\x00\x00
MID_GR_Linden_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08リンデン\nMy wife was a beauty beyond compare. I can\nprove it too! Have a look at this portrait.\x0E\x04\x00\x00
MID_GR_Linden_B_#002	\x0E\x03\x02\x0A\x08シグルド\nShe is truly marvelous to behold. Ah, my\nown wife was lovely and kind as well.\x0E\x04\x00\x00
MID_GR_Linden_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08リンデン\nI haven't seen my children much since retiring.\nIt's a lonely life, but what can you do?\x0E\x04\x00\x00
MID_GR_Linden_A_#002	\x0E\x03\x02\x0A\x08シグルド\nThe prospect of seeing them when peace has\nbeen restored is one more reason to fight.\x0E\x04\x00\x00
MID_GR_Linden_A_#003	\x0E\x03\x02\x0A\x08シグルド\nAnd a reason to stay alive, as well. Our time is\nshort, and we must seize all of it that we can.\x0E\x04\x00\x00
MID_GR_Linden_A_#004	\x0E\x03\x02\x0A\x08リンデン\nYou have suffered greatly, Sigurd. I can see it in\nyour eyes. May we fight to our very last.\x0E\x04\x00\x00
MID_GR_Saphir_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nザフィーア\nAs a royal soldier, there's no higher honor than\nto fight side by side with a knight like you.\x0E\x04\x00\x00
MID_GR_Saphir_C_#002	\x0E\x03\x02\x0A\x08シグルド\nThe honor is mine, Saphir. Let us work\ntogether to bring peace to this world.\x0E\x04\x00\x00
MID_GR_Saphir_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nザフィーア\nAfter seeing what you can do, I get why they\ncall you the holy knight. Consider me convinced.\x0E\x04\x00\x00
MID_GR_Saphir_B_#002	\x0E\x03\x02\x0A\x08シグルド\nIt was not my effort alone that earned the title.\nWithout allies by my side, I would have nothing.\x0E\x04\x00\x00
MID_GR_Saphir_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0C\nザフィーア\nMy parents would have loved to see me become\na knight. Elusian soldiers took that from them.\x0E\x04\x00\x00
MID_GR_Saphir_A_#002	\x0E\x03\x02\x0A\x08シグルド\nTo leave a child behind is the greatest pain\na parent can know. I speak from experience.\x0E\x04\x00\x00
MID_GR_Saphir_A_#003	\x0E\x03\x02\x0C\nザフィーア\nIt's been a long road, and I only made it this far\nthanks to them. I wish I could tell them that.\x0E\x04\x00\x00
MID_GR_Saphir_A_#004	\x0E\x03\x02\x0A\x08シグルド\nBy realizing your dream, you are carrying on\ntheir legacy. That is all the thanks they need.\x0E\x04\x00\x00
MID_GR_Veyre_C_#001	\n\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nSigurd, I'm so sorry I made you fight the Divine\nOne. It was a terrible thing to do.\x0E\x04\x00\x00
MID_GR_Veyre_C_#002	\x0E\x03\x02\x0A\x08シグルド\nNo one here blames you, most certainly not me.\nYou are a precious friend. Never forget that.\x0E\x04\x00\x00
MID_GR_Veyre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08シグルド\nYou are smiling more often, I see. Bonding with\nfriends is a good way to banish fears.\x0E\x04\x00\x00
MID_GR_Veyre_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nYes, it is. And having you here to fight beside us\nmakes me less afraid too. Thank you, Sigurd.\x0E\x04\x00\x00
MID_GR_Veyre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nWe've been in many battles together, Sigurd.\nSo, I wonder...can I request something of you?\x0E\x04\x00\x00
MID_GR_Veyre_A_#002	\x0E\x03\x02\x0A\x08シグルド\nYou are someone who knows and understands\nthe grief of others. How could I refuse?\x0E\x04\x00\x00
MID_GR_Veyre_A_#003	\x0E\x03\x02\x0A\x08ヴェイル\nThank you. But what I want to ask is...would\nyou consider being my friend?\x0E\x04\x00\x00
MID_GR_Veyre_A_#004	\x0E\x03\x02\x0A\x08シグルド\nGladly, Veyle. More than gladly. And I promise,\nour bond of friendship shall remain for eternity.\x0E\x04\x00\x00
MID_GR_Mauve_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06モーヴ\nYou accept me although I once served the Fell\nDragon. Thank you for such unearned respect.\x0E\x04\x00\x00
MID_GR_Mauve_C_#002	\x0E\x03\x02\x0A\x08シグルド\nYour shame has no value in this world. I choose\nto fight alongside you because you are worthy.\x0E\x04\x00\x00
MID_GR_Mauve_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06モーヴ\nI was an orphan in the church in Elyos. So, I saw\nsomething of myself in Veyle.\x0E\x04\x00\x00
MID_GR_Mauve_B_#002	\x0E\x03\x02\x0A\x08シグルド\nAnd so a bond was formed between Veyle and\nyourself, and a friendship grew. What a blessing.\x0E\x04\x00\x00
MID_GR_Mauve_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0E\x08シグルド\x022\n\x0E\x03\x02\x08\x06モーヴ\nMarni's death must be avenged. As it stands,\nher soul may never find rest...\x0E\x04\x00\x00
MID_GR_Mauve_A_#002	\x0E\x03\x02\x0A\x08シグルド\nThis vicious cycle you propose... I am afraid\nsadness is its only reward.\x0E\x04\x00\x00
MID_GR_Mauve_A_#003	\x0E\x03\x02\x0A\x08シグルド\nGrief is worthy of introspection. Accept the pain\nof it, and your truest enemy will be felled.\x0E\x04\x00\x00
MID_GR_Mauve_A_#004	\x0E\x03\x02\x08\x06モーヴ\nYour words strike my heart, Sir Sigurd. I shall\nhold them there as I try to find my way.\x0E\x04\x00\x00
