MID_TUT_CATEGORY_TITLE_Battle	Battle
MID_TIPS_TUTORIAL_12	With high luck (Lck), you will take fewer critical hits.
MID_TIPS_TUTORIAL_13	Stand in thickets or woods to increase your\nchance of avoiding enemy attacks.
MID_TIPS_ITEM_0	Restore HP with a vulnerary or Heal.
MID_TIPS_ITEM_1	Vulneraries and staves have a limited number of uses.\nThey will disappear when their use counter reaches 0.
MID_TIPS_TUTORIAL_14	Select Auto-Battle to choose a strategy\nand let units fight on their own.
MID_TIPS_TUTORIAL_15	Weapon advantage breaks enemies: swords against axes,\naxes against lances, and lances against swords.
MID_TIPS_TUTORIAL_51	Attacking with an art will break foes\nusing bows, tomes, and knives.
MID_TIPS_TUTORIAL_16	Broken foes cannot counterattack until after their\nnext combat, so you can attack them safely.
MID_TIPS_TUTORIAL_17	Chain Guard cannot protect against engage attacks.
MID_TIPS_SKILL_0	Raising bond level increases available skills and\nboosts a unit's stats while synced or engaged.
MID_TIPS_SKILL_1	The engage meter fills as you battle.
MID_TIPS_SKILL_28	Wait in a space with Emblem energy to\ncompletely fill a unit's engage meter.
MID_TIPS_SKILL_2	Dragon units attack additional times when using\nEmblem Marth's engage attack, Lodestar Rush.
MID_TIPS_ITEM_2	When an art is equipped, physical attack (Ph Atk) is affected by\ntwo stats: strength (Str) and magic (Mag).
MID_TIPS_TUTORIAL_18	Your allies have unique skills. Press \x0E\x08\x02\x04\x02X for details.
MID_TIPS_TUTORIAL_19	The Unit Selection menu displays allies' classes and levels.
MID_TIPS_TUTORIAL_20	Your allies earn support points when they\nfight next to each other.
MID_TIPS_TUTORIAL_21	Press \x0E\x08\x02\x04\x02L or \x0E\x08\x02\x04\x02R to change a selected unit's equipped weapon.
MID_TIPS_TUTORIAL_22	Enemies with the \x0E\x08\x02\x12\x10DropItem icon will drop an item when defeated.
MID_TIPS_ITEM_3	Bows are effective against flying foes.
MID_TIPS_ITEM_4	Armored units have high defense (Def),\nbut are easily damaged by magic attacks.
MID_TIPS_OTHER_33	You can lower the game's difficulty by approaching your bed and selecting\nDifficulty Setting.
MID_TIPS_TUTORIAL_24	If you visit a house before a foe reaches it,\nyou might receive a gift.
MID_TIPS_TUTORIAL_25	Units on forts or protection tiles recover HP each turn\nand are not broken by weapon advantage.
MID_TIPS_TUTORIAL_27	The convoy is available to \x0E\x06\x03\x00 and adjacent units\nto store and withdraw items during battle.
MID_TIPS_TUTORIAL_28	Earn bond EXP to unlock conversations\nwith Emblems that raise your bond level.
MID_TIPS_TUTORIAL_29	Earn support points to unlock conversations\nbetween allies that raise their support level.
MID_TIPS_TUTORIAL_30	When allies' support levels increase, they receive a stat\nbonus when they stand adjacent to one another.
MID_TIPS_TUTORIAL_32	The \x0E\x08\x02\x18\x16EquipCancel symbol appears on a foe's weapon icon\nif you can break them with your attack.
MID_TIPS_TUTORIAL_33	Foes with \x0E\x08\x02 \x1EBalloonCritical easily land critical hits.
MID_TIPS_TUTORIAL_34	Wind back actions and change past decisions\nwith the Draconic Time Crystal.
MID_TIPS_ITEM_5	Attack distant opponents with javelins and hand axes\nin addition to bows and magic.
MID_TIPS_ITEM_6	The tome Surge can only attack adjacent foes,\nbut it is guaranteed to hit.
MID_TIPS_OTHER_0	Collect bond fragments by talking to allies\nwho did well in battle.
MID_TIPS_OTHER_1	You can use the crystals and ingredients you find\nto refine weapons and cook meals.
MID_TIPS_OTHER_2	In the Ring Chamber, you can use bond fragments\nto create Bond Rings.
MID_TIPS_OTHER_3	Press \x0E\x08\x02\x04\x02X to fast travel to your destination.
MID_TIPS_OTHER_4	If you give an ally an especially thoughtful gift,\nyou will receive additional support points.
MID_TIPS_OTHER_6	Change the background music with the music box.
MID_TIPS_OTHER_7	In your room you can listen to music or recall\npast conversations and memories of big events.
MID_TIPS_OTHER_8	If you go to sleep in your room, an ally\nmight come to wake you.
MID_TIPS_OTHER_9	Use SP or bond fragments in the Ring Chamber\nto inherit Emblem skills or create Bond Rings.
MID_TIPS_OTHER_10	Rumor has it that the Somniel's guardian spirit produces bond fragments.\nHow the spirit does it... Well, that's another matter entirely.
MID_TIPS_OTHER_11	A high score in Wyvern Ride rewards\nyou with bonus bond fragments.
MID_TIPS_OTHER_12	After a round of strength training, \x0E\x06\x03\x00's\nstats will receive a slight boost in the next battle.
MID_TIPS_OTHER_32	Use \x0E\x08\x02\x06\x04ZR to select multiple items to sell at once.
MID_TIPS_TUTORIAL_35	If an enemy gets to a treasure chest before you do,\nyou can recover the contents by defeating them.
MID_TIPS_TUTORIAL_36	To pass through a door, destroy it or use a\nthief's Door command.
MID_TIPS_ITEM_8	Boost an ally's stats during battle with a\nstrengthening item, such as an HP Tonic.
MID_TIPS_ITEM_9	Ridersbane and weapons like poleaxes\nare effective against cavalry units. 
MID_TIPS_OTHER_13	Animals grazing on the Somniel may leave things for you.
MID_TIPS_OTHER_15	Skirmishes and training battles sometimes appear on the world map.\nTake part to earn gold and experience.
MID_TIPS_OTHER_16	Battle allies and Emblems in the Arena\nto earn experience and deepen bonds.
MID_TIPS_OTHER_17	Allies who fight in training battles earn even more experience after clearing them.
MID_TIPS_TUTORIAL_39	Dragon units often receive added effects while engaged.
MID_TIPS_TUTORIAL_40	Backup units use chain attacks\nto support their allies.
MID_TIPS_TUTORIAL_41	Cavalry units have greater mobility.
MID_TIPS_TUTORIAL_42	Mystical units ignore terrain bonuses to a foe's\navoid rate (Avo) when attacking with magic.
MID_TIPS_TUTORIAL_43	Qi adept units can cover adjacent allies with Chain Guard.
MID_TIPS_TUTORIAL_44	Covert units gain twice the usual bonuses to\navoid rate (Avo) from terrain effects.
MID_TIPS_TUTORIAL_45	Flying units can move without being affected by terrain.
MID_TIPS_TUTORIAL_46	Weapon advantage cannot break armored units.
MID_TIPS_TUTORIAL_47	Raise your bond level with Emblems to earn the proficiencies\nneeded to change classes.
MID_TIPS_ITEM_10	If a foe wields a close-range weapon, they cannot counterattack\nif you attack them from a distance.
MID_TIPS_ITEM_11	Attacking with knives inflicts poison.
MID_TIPS_ITEM_12	Armorslayers and hammers are\neffective against armored units.
MID_TIPS_OTHER_14	After cooking, a chef will sometimes pack you a meal that you can use to recover HP.
MID_TIPS_OTHER_19	When you order a meal at Café Terrace, you can add\nextra ingredients to improve the experience.
MID_TIPS_OTHER_20	You can harvest cooking ingredients in the orchard.
MID_TIPS_OTHER_21	Earn bond fragments by completing the achievements\non the bulletin board.
MID_TIPS_OTHER_22	Use the bulletin board to donate to the regions of Elyos. Generous gifts\nincrease your donation level and may yield rewards.
MID_TIPS_OTHER_30	Rare foes are more likely to appear in skirmishes\nin regions with a high donation level.
MID_TIPS_OTHER_31	Find more materials while exploring by raising your\ndonation level in that region.
MID_TIPS_OTHER_23	In skirmishes on maps with low visibility, enemies often\nyield both high experience and great riches.
MID_TIPS_SKILL_38	Staff mastery skills are the only way to increase a staff's hit rate.
MID_TIPS_OTHER_34	You can use your card to swap profiles with your friends in the Tower of Trials.
MID_TIPS_TUTORIAL_48	Beware of dark synced foes when their engage meters\nflash─it means their engage attack is ready.
MID_TIPS_TUTORIAL_52	Engaged allies receive reduced damage\nfrom enemy engage attacks.
MID_TIPS_TUTORIAL_49	Continue training a unit that has reached max level by starting\nthem at level 1 with a Second Seal.
MID_TIPS_ITEM_13	Poison will persist throughout a battle if not\ncured with an antitoxin or Restore staff.
MID_TIPS_ITEM_14	When allies reach level 10 they can change to an\nadvanced class using a Master Seal.
MID_TIPS_ITEM_15	Weapons with the smash effect always attack last.
MID_TIPS_OTHER_24	The fish that you catch in the pond\nmake tasty ingredients for cooking.
MID_TIPS_ITEM_16	Allies can change to classes of different types using a Second Seal.
MID_TIPS_ITEM_17	Land critical hits more often with the weapons\nkilling edge, killer lance, and killer axe.
MID_TIPS_OTHER_37	If you promote \x0E\x06\x03\x00 to the Divine Dragon class, you will be able to play\nWyvern Ride at the Training Yard.
MID_TIPS_OTHER_26	The flea market stocks some items that cannot be purchased elsewhere.
MID_TIPS_OTHER_27	It is said that there are trial grounds across Elyos\nwhere you can deepen bonds with Emblems.
MID_TIPS_SKILL_29	Ike's engage attack, Great Aether, can clear effects like flames and miasma\nwhere it hits.
MID_TIPS_SKILL_22	Byleth's engage weapon changes according\nto the type of the engaged unit.
MID_TIPS_SKILL_25	Corrin's Dragon Vein skill adds special effects to terrain,\noverwriting existing effects.
MID_TIPS_OTHER_28	The fortune-teller is only open at night.
MID_TIPS_OTHER_29	Fight in the Tower of Trials to earn special materials\nfor upgrading engage weapons.
MID_TIPS_ITEM_18	Weapons like the brave sword and brave lance make two\nconsecutive attacks if you initiate combat.
MID_TIPS_ITEM_19	When you're ready to gift the Pact Ring to an ally you care about,\nyou can find it in a drawer in your room.
MID_TIPS_GOD_0	Prince of Altea, a country on the continent of Archanea in another world.\nDescended from the same line as the hero Anri.
MID_TIPS_GOD_1	After he and his allies defeated the Shadow Dragon,\nhe came to be known as the Hero-King.
MID_TIPS_GOD_2	Son of the duke of Chalphy in a kingdom called Grannvale\non Jugdral, a continent in another world.
MID_TIPS_GOD_3	A noble knight who, as descendant of the crusader Baldr,\ninherited the legendary legacy of a sacred blade.
MID_TIPS_GOD_4	Princess of Zofia, a bountiful country on the continent of Valentia in another world.
MID_TIPS_GOD_5	Alongside the hero Alm, she fought against the Fell God who threatened her world's\npeace─but she was best known for her caring heart.
MID_TIPS_GOD_6	Member of a group of freedom fighters on the continent of Tellius in another world.
MID_TIPS_GOD_7	She used her mysterious powers to fight a goddess\nwho sought to judge her entire world.
MID_TIPS_GOD_8	A noble of House Pherae who lived on the continent Elibe in another world.\nWielder of the Binding Blade.
MID_TIPS_GOD_9	He led an army, in the stead of his ill father, against his country's enemies.
MID_TIPS_GOD_10	A master of the sword from Sacae, a region of grassy plains\non the continent of Elibe in another world.
MID_TIPS_GOD_11	She was raised as a nomad, ignorant to the truth of her noble lineage.
MID_TIPS_GOD_12	Leader of the Greil Mercenaries on the continent of Tellius in another world.
MID_TIPS_GOD_13	His superior sword skills and honest heart brought him\nfrom simple mercenary to renowned hero.
MID_TIPS_GOD_14	Princess of the Halidom of Ylisse in another world.\nShe has the Brand of the Exalt on her left eye.
MID_TIPS_GOD_15	Her strong sense of justice motivated her to travel back in time\nand fight to avert a grim future.
MID_TIPS_GOD_16	Heir to Leonster, a kingdom in the Thracia region on the continent of Jugdral in\nanother world.
MID_TIPS_GOD_17	He bravely fought to liberate Thracia from imperial rule.
MID_TIPS_GOD_18	A royal of two countries in another world─born in Hoshido, raised in Nohr.
MID_TIPS_GOD_19	Though blessed with the power of the First Dragons, she was burdened with a terrible\nchoice when her two homelands went to war.
MID_TIPS_GOD_20	Princess of Renais, a country on the continent of Magvel in another world.\nHeir to one of the Sacred Stones.
MID_TIPS_GOD_21	The brave prince of Renais who fought the Demon King alongside his twin sister, Eirika.
MID_TIPS_GOD_22	A young mercenary who became a professor at Garreg Mach Monastery in the land of\nFódlan, a continent in another world.
MID_TIPS_GOD_23	He taught his students well and guided them through an age of war.
MID_TUT_NAVI_M004_TIMECRYSTAL	The Draconic Time Crystal is now available.
MID_TUT_NAVI_M005_FUNDS	You received \x0E\x01\x00\x00\x0E\x01\x01\x00G in military funds from Firene. 
MID_TUT_NAVI_VANDRE_FUNDS	You received \x0E\x01\x00\x00\x0E\x01\x01\x00G in military funds from Vander. 
MID_TUT_NAVI_M008_FUNDS	You received \x0E\x01\x00\x00\x0E\x01\x01\x00G in military funds from Brodia. 
MID_TUT_NAVI_M012_RESCUE	Save the people threatened by the Corrupted.
MID_TUT_NAVI_M014_FUNDS	You received \x0E\x01\x00\x00\x0E\x01\x01\x00G in military funds from Solm.
MID_TUT_NAVI_M015_ESCAPE	Protect Seadall and help him escape!
MID_TUT_NAVI_M020_FUNDS	You received \x0E\x01\x00\x00\x0E\x01\x01\x00G in military funds from Elusia.
MID_TUT_NAVI_M022_GET_Siglud	You acquired the Ring of the Holy Knight.
MID_TUT_NAVI_M022_GET_Celica	You acquired the Ring of the Caring Princess.
MID_TUT_NAVI_M022_GET_Micaiah	You acquired the Ring of the Dawn Maiden.
MID_TUT_NAVI_M022_GET_Roy	You acquired the Ring of the Young Lion.
MID_TUT_NAVI_M022_GET_Lin	You acquired the Ring of the Lady of the Plains.
MID_TUT_NAVI_M022_GET_Ike	You acquired the Ring of the Radiant Hero.
MID_TUT_NAVI_M022_GET_Lucina	You acquired the Ring of the Princess Exalt.
MID_TUT_NAVI_M022_GET_Leaf	You acquired the Ring of the Sage Lord.
MID_TUT_NAVI_M022_GET_Kamui	You acquired the Ring of the Crux of Fate.
MID_TUT_NAVI_M022_GET_Eirik	You acquired the Ring of the Azure Twins.
MID_TUT_NAVI_M022_GET_Byleth	You acquired the Ring of the Instructor.
MID_TUT_NAVI_M024_WARNING1	In 2 turns an avalanche will strike\nthe lower mountain path.
MID_TUT_NAVI_M024_WARNING2	In 2 turns an avalanche will strike\nthe middle mountain path.
MID_TUT_NAVI_M024_WARNING3	In 2 turns an avalanche will strike\nthe upper mountain path.
MID_TUT_NAVI_M026_ENGAGEBREAKE	Fell Sombron will use Disengage on his next\nturn. This devastating attack forcibly cancels\nthe engaged state of all units.
MID_TUT_NAVI_M026_BEAM_WARNING	Fell Sombron will use Howling Beam on his\nnext turn. Try to get out of range to avoid\nthis powerful attack.
MID_TUT_NAVI_S006_RULE	Stop Byleth from destroying the crystals.\nYou will earn rewards depending on how\nmany crystals you can protect.
MID_TUT_NAVI_S006_BREAK	A crystal has been destroyed.
MID_TUT_NAVI_S006_REWARD1	Amazing job! You protected an incredible \nnumber of crystals. You received a \x0E\x01\x00\x00\nand an \x0E\x01\x01\x00 as a reward from Byleth.
MID_TUT_NAVI_S006_REWARD2	Well done! You protected a good number\nof crystals. You received a \x0E\x01\x00\x00 as a\nreward from Byleth.
MID_TUT_NAVI_S006_REWARD3	You were not able to protect very many\ncrystals. You did not receive a reward.
MID_TUT_NAVI_S015_GET	You retrieved the ring.
MID_TUT_NAVI_S015_ENGAGERING	You can only give the Pact Ring to one of\nyour allies. Choose the recipient carefully.
