MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08リュール\nHey, Claude. I've heard you're called the\n"Master Tactician." I'd love to get some pointers.\x0E\x04\x00\x00
MID_GR_Seadas_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nYour dancing is inspiring. I feel courage welling\nup from deep within when I watch.\x0E\x04\x00\x00
MID_GR_Seadas_B_#002	\x0E\x03\x02\x0A\x08セアダス\nI hope it appears to come naturally to me, even\nif it requires a constant commitment to practice.\x0E\x04\x00\x00
MID_GR_Seadas_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08セアダス\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0C\nディミトリ\nWhen the Officers Academy held their ball, I\nwas unfortunately compelled to take part.\x0E\x04\x00\x00
MID_GR_Seadas_A_#002	\x0E\x03\x02\x0C\nディミトリ\nMy professor's dance lessons for the event were\nas intense as any lance training I've ever had.\x0E\x04\x00\x00
MID_GR_Seadas_A_#003	\x0E\x03\x02\x0A\x08セアダス\nThat is not surprising. To a dancer, the stage is\nsynonymous with a battlefield.\x0E\x04\x00\x00
MID_GR_Seadas_A_#004	\x0E\x03\x02\x0A\x08セアダス\nStill, to give such proper guidance... I may ask\nEmblem Byleth to teach me sometime.\x0E\x04\x00\x00
MID_GR_Linden_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nWith your gift for magic, Lindon, I'd wager\nyou're among the smartest in this army.\x0E\x04\x00\x00
MID_GR_Linden_C_#002	\x0E\x03\x02\x0A\x08リンデン\nThat seems to be my reputation. Truthfully, I'm\njust an old man who enjoys his experiments.\x0E\x04\x00\x00
MID_GR_Linden_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nHey, Lindon. I'm looking to do a little reading.\nCould you find some material for me?\x0E\x04\x00\x00
MID_GR_Linden_B_#002	\x0E\x03\x02\x0A\x08リンデン\nOf course, Claude. What are you looking for?\nPoisons? I believe I know just the book...\x0E\x04\x00\x00
MID_GR_Linden_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nI've never seen anyone so much as think to try\nbaking with thunder magic. That's brilliant.\x0E\x04\x00\x00
MID_GR_Linden_A_#002	\x0E\x03\x02\x0A\x08リンデン\nMagic has many such applications. Commanding\nwater to wash your laundry, for instance.\x0E\x04\x00\x00
MID_GR_Linden_A_#003	\x0E\x03\x02\x0A\x08クロード\nYeah, or getting the wind to dust your room for\nyou. I'm starting to see the possibilities.\x0E\x04\x00\x00
MID_GR_Linden_A_#004	\x0E\x03\x02\x0A\x08リンデン\nOh, be careful with that one. It's far too easy to\nmake a worse mess than you started with.\x0E\x04\x00\x00
MID_GR_Saphir_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nYour combat style's not like a royal soldier's,\nSaphir. You fight more like my professor.\x0E\x04\x00\x00
MID_GR_Saphir_C_#002	\x0E\x03\x02\x0C\nザフィーア\nWas your professor a mercenary? Because\nthat's where I picked up my moves.\x0E\x04\x00\x00
MID_GR_Saphir_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nHey, Saphir. How'd you know it was gonna\nrain yesterday?\x0E\x04\x00\x00
MID_GR_Saphir_B_#002	\x0E\x03\x02\x0C\nザフィーア\nYou can feel it in the air, if you know what to\nlook for. I'll teach you.\x0E\x04\x00\x00
MID_GR_Saphir_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08クロード\nCome to think of it, I once knew a guy who said\nthe same thing you did about the rain.\x0E\x04\x00\x00
MID_GR_Saphir_A_#002	\x0E\x03\x02\x0A\x08クロード\nI thought it might have to do with living in the\nmountains. But you grew up by the sea, right?\x0E\x04\x00\x00
MID_GR_Saphir_A_#003	\x0E\x03\x02\x0C\nザフィーア\nYeah. I'd say it's a skill most folks pick up when\nthey spend a lot of time around nature.\x0E\x04\x00\x00
MID_GR_Saphir_A_#004	\x0E\x03\x02\x0C\nザフィーア\nI'd love to hear more about this friend of yours,\nthough. What was your relationship like?\x0E\x04\x00\x00
MID_GR_Veyre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0E\x08クロード\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nThank you for lending me so much of your\nstrength. What can I do to become your friend? \x0E\x04\x00\x00
MID_GR_Veyre_C_#002	\x0E\x03\x02\x0A\x08クロード\nYou don't need to do anything. Being able to\nchat like this shows we're already friends.\x0E\x04\x00\x00
MID_GR_Veyre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x10\nディミトリ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI've parted ways with the other me, but... What\ndo I do if I start having bad feelings again?\x0E\x04\x00\x00
MID_GR_Veyre_B_#002	\x0E\x03\x02\x0C\nディミトリ\nThat's just another side of you. I don't think you\nneed to ignore or deny that aspect of yourself.\x0E\x04\x00\x00
MID_GR_Veyre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI feel much more courageous when wearing\nyour bracelet, knowing you three are beside me.\x0E\x04\x00\x00
MID_GR_Veyre_A_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nTrue strength comes from aligning your will\nwith that of an ally.\x0E\x04\x00\x00
MID_GR_Veyre_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nYou can't do all that you must on your own.\x0E\x04\x00\x00
MID_GR_Veyre_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nI think so too. The other me didn't know that.\nThat's why I want to always be with my friends.\x0E\x04\x00\x00
MID_GR_Mauve_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nWell met, Mauvier. I hope you'll join me in\nsetting the past aside and fighting for the future.\x0E\x04\x00\x00
MID_GR_Mauve_C_#002	\x0E\x03\x02\x08\x06モーヴ\nGladly, Lady Edelgard. Let it be so.\x0E\x04\x00\x00
MID_GR_Mauve_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x08\x06モーヴ\nYou seem to be keeping an eye on me, Lady\nEdelgard. Is there any particular reason?\x0E\x04\x00\x00
MID_GR_Mauve_B_#002	\x0E\x03\x02\x10\x0Eエーデルガルト\nYes, actually. Lady Veyle asked me to make\nsure you were all right.\x0E\x04\x00\x00
MID_GR_Mauve_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x14\x0Eエーデルガルト\x022\n\x0E\x03\x02\x10\x0Eエーデルガルト\nWhenever you risk your life, I'd ask you to\nconsider the value Lady Veyle places on it.\x0E\x04\x00\x00
MID_GR_Mauve_A_#002	\x0E\x03\x02\x08\x06モーヴ\nI will take those words to heart, but I must\nwonder why you are so invested in them.\x0E\x04\x00\x00
MID_GR_Mauve_A_#003	\x0E\x03\x02\x10\x0Eエーデルガルト\nPerhaps it is because I wish I'd said the same\nthing to my own retainer.\x0E\x04\x00\x00
MID_GR_Mauve_A_#004	\x0E\x03\x02\x08\x06モーヴ\nI see. I can tell by your expression that this\nretainer was of great importance to you.\x0E\x04\x00\x00
