MID_BONDSRING_H_CommonTytle	<캐릭터 등장 타이틀>
MID_BONDSRING_H_Larchel01	마기 발 대륙의 각지를 돌아다니며\n나타난 몬스터를 퇴치했다.
MID_BONDSRING_H_Larchel02	그 정체는 로스턴 성교국의 성왕녀로\n두 명의 수행원을 데리고 분투했다.
MID_BONDSRING_H_Larchel03	｢The Sacred Stones｣
MID_BONDSRING_Ross	로스
MID_BONDSRING_H_Ross00	이계의 영웅이자 전사 가르시아의 아들.
MID_BONDSRING_H_Ross01	루네스 왕국의 풋내기 전사로\n혈기와 의욕이 넘치는 활기찬 소년.
MID_BONDSRING_H_Ross02	아버지를 굉장히 존경하고 있으며\n아버지를 닮고자 매일 정진을 거듭하고 있다.
MID_BONDSRING_H_Ross03	｢The Sacred Stones｣
MID_BONDSRING_Heanius	히니어스
MID_BONDSRING_H_Heanius00	이계의 대륙 마기 발에 있는\n프렐리아 왕국의 왕자.
MID_BONDSRING_H_Heanius01	긍지 높고 총명한 인물로\n활의 명수로 알려져 있다.
MID_BONDSRING_H_Heanius02	항상 냉정하며 서슴없이 의견을 내는 점 때문에\n냉혹한 인물처럼 보이지만 사실은 좋은 사람.
MID_BONDSRING_H_Heanius03	｢The Sacred Stones｣
MID_BONDSRING_Xyst	지스트
MID_BONDSRING_H_Xyst00	이계의 영웅이자 지스트 용병단의 단장.
MID_BONDSRING_H_Xyst01	｢사막의 호랑이｣라 불리는 유명한 용병으로\n수많은 전장을 헤쳐 나온 강자.
MID_BONDSRING_H_Xyst02	의리와 정이 두터워 남을 잘 돌보는 인물로\n동료의 신뢰를 받고 있다.
MID_BONDSRING_H_Xyst03	｢The Sacred Stones｣
MID_BONDSRING_Alfonse	알폰스
MID_BONDSRING_H_Alfonse00	이계의 국가 아스크 왕국의 왕자.
MID_BONDSRING_H_Alfonse01	상냥하고 성실한 청년으로 나라를 지키는\n특무기관 ｢바이스 브레이브｣의 일원.
MID_BONDSRING_H_Alfonse02	어떠한 난관 앞에서도 결코 포기하지 않으며\n승리의 길을 찾아내는 강한 마음을 지녔다.
MID_BONDSRING_H_Alfonse03	｢Heroes｣
MID_BONDSRING_Sharena	샤론
MID_BONDSRING_H_Sharena00	이계의 국가 아스크 왕국의 왕녀.
MID_BONDSRING_H_Sharena01	밝고 활기찬 소녀로 나라를 지키는 특무기관\n｢바이스 브레이브｣의 일원.
MID_BONDSRING_H_Sharena02	천진난만하고 친화력이 좋은 성격이라서\n이계의 영웅들과 친해지고 싶어한다.
MID_BONDSRING_H_Sharena03	｢Heroes｣
MID_BONDSRING_Anna	안나
MID_BONDSRING_H_Anna00	이계의 국가 아스크 왕국의 전사.
MID_BONDSRING_H_Anna01	경험 많은 여성으로 나라를 지키는 특무기관\n｢바이스 브레이브｣의 대장.
MID_BONDSRING_H_Anna02	남을 잘 살피며 정말로 신뢰할 수 있는 인물.\n하지만 돈이 얽히면 살짝 자제를 못한다.
MID_BONDSRING_H_Anna03	｢Heroes｣
MID_BONDSRING_Lueur00	전투 중에 사망하지만 ｢문장의 기적｣에 의해\n13번째 문장사로 새롭게 태어났다.
MID_BONDSRING_Lueur01	문장사이면서 실체를 가지는 특수한 성질을\n지니고 있으며, 평화를 위해서 싸운다.
MGID_Ring_Marth	영웅왕의 반지
MGID_H_Ring_Marth	통칭 『시작의 문장사』 마르스가 깃든 반지.\n고결하고 카리스마 넘치는 영웅 중의 영웅.
MGID_Ring_Siglud	성기사의 반지
MGID_H_Ring_Siglud	통칭 『성전의 문장사』 시구르드가 깃든 반지.\n성전사의 피를 이은 청렴한 기사.
MGID_Ring_Celica	자애의 왕녀의 반지
MGID_H_Ring_Celica	통칭 『울림의 문장사』 세리카가 깃든 반지.\n풍요로운 나라의 왕녀이자 신관 전사이다.
MGID_Ring_Micaiah	새벽의 무녀의 반지
MGID_H_Ring_Micaiah	통칭 『새벽의 문장사』 미카야가 깃든 반지.\n치유와 미래 예지 등, 신비한 힘을 지녔다.
MGID_Ring_Roy	젊은 사자의 반지
MGID_H_Ring_Roy	통칭 『봉인의 문장사』 로이가 깃든 반지.\n용감하고 지혜로운 장군의 자질을 가진 공자.
MGID_Ring_Lin	초원의 공녀의 반지
MGID_H_Ring_Lin	통칭 『열화의 문장사』 린이 깃든 반지.\n대자연과 공생하는 유목민이자 뛰어난 검사.
MGID_Ring_Ike	창염의 용사의 반지
MGID_H_Ring_Ike	통칭 『창염의 문장사』 아이크가 깃든 반지.\n용병단장으로 전투 기술은 견줄 사람이 없다.
MGID_Ring_Lucina	성왕녀의 반지
MGID_H_Ring_Lucina	통칭 『각성의 문장사』 루키나가 깃든 반지.\n희망을 믿고 절망과 맞서는 성스러운 왕녀.
MGID_Ring_Leaf	현왕의 반지
MGID_H_Ring_Leaf	통칭 『계보의 문장사』 리프가 깃든 반지.\n두 성전사의 피를 이은 용맹한 왕자.
MGID_Ring_Kamui	미래를 선택하는 자의 반지
MGID_H_Ring_Kamui	통칭 『선택의 문장사』 카무이가 깃든 반지.\n선조룡의 피를 이은 굳센 마음을 가진 왕족.
MGID_Ring_Eirik	푸른 풍공의 반지
MGID_H_Ring_Eirik	통칭 『성마의 문장사』 에이리카가 깃든 반지.\n평화를 위해 검을 휘두르는 마음씨 착한 왕녀.
MGID_Ring_Byleth	인도자의 반지
MGID_H_Ring_Byleth	통칭 『풍화의 문장사』 벨레트가 깃든 반지.\n용병 출신이자 사관학교의 지도자.
MGID_Ring_Lueur	연결하는 자의 반지
MGID_Ring_CharacterName	\x0E\x01\x00\x00의 반지
MGID_Ring_God_Category	\x0E\x01\x00\x00의 인연의 반지
MGID_Ring_Special_Category	특별한 인연의 반지
MID_BondsRing_RankS	랭크 S
MID_BondsRing_RankA	랭크 A
MID_BondsRing_RankB	랭크 B
MID_BondsRing_RankC	랭크 C
MGID_World_Marth	영웅왕의 세계
MGID_World_Siglud	성기사의 세계
MGID_World_Celica	자애의 왕녀의 세계
MGID_World_Micaiah	새벽의 무녀의 세계
MGID_World_Roy	젊은 사자의 세계
MGID_World_Lin	초원의 공녀의 세계
MGID_World_Ike	창염의 용사의 세계
MGID_World_Lucina	성왕녀의 세계
MGID_World_Leaf	현왕의 세계
MGID_World_Kamui	미래를 선택하는 자의 세계
MGID_World_Eirik	푸른 풍공의 세계
MGID_World_Byleth	인도자의 세계
MGID_World_Special	수많은 세계
MGID_World_Lueur	연결하는 자의 세계
