MID_OP1_#001	キャラ配置(PID_グリ, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\n章タイトル(CID_E003)\n\nウェイト(3)\n\nフェードイン()
MID_ED1_#014	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_r_slow)\n\nキャラ回転(PID_リュール,-20,0.5,1)\nキャラ回転(PID_E003_グレゴリー,-20,0.5,1)\nキャラ回転(GID_E003_敵ヴェロニカ,30,1,0)\n\nキャラ視線(GID_E003_敵ヴェロニカ, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Smile, TurnL,0.5,0.5)\nキャラモーション再生(PID_E003_グレゴリー, Surprise, TurnL,0.5,0.5)\nキャラモーション再生(PID_E003_セレスティア, Surprise)
MID_ED1_#015	キャラモーション再生(PID_リュール, Smile, EmoTalk,0,1)\n\n*\nキャラカメラ(CharaCam_Front_Center_Top, PID_E003_エル, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_E003_エル, Die, EmoPray,0, 0.5)
MID_ED1_#016	キャラカメラ(CharaCam_Side_Left2_Mid, GID_E003_敵ヴェロニカ, cam_anim_track_l_normal)\nキャラ回転(GID_E003_敵ヴェロニカ,-40,0,0)\n\nキャラモーション再生(GID_E003_敵ヴェロニカ, Die, EmoDeny2,0,1)\nキャラモーション再生(GID_E003_敵ヴェロニカ, Sad, IdleNormal,2,1)
MID_ED1_#017	キャラモーション再生(GID_E003_敵ヴェロニカ, Sad, IdleNormal,0,1)
MID_ED1_#018	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E003_エル, Normal)\nキャラモーション再生(PID_リュール, Smile, EmoRelax,0, 0.5)\n\n*\nパペット会話中断()\nキャラ回転(GID_E003_敵ヴェロニカ,-10,0,0)\nキャラ視線リセット(GID_E003_敵ヴェロニカ)\nキャラ表示切替(PID_E003_セレスティア,False)\nキャラカメラ(CharaCam_Side_Left2_Mid, GID_E003_敵ヴェロニカ, cam_anim_zoom_in_slow)\n\nキャラモーション再生(GID_E003_敵ヴェロニカ, Smile)\nキャラモーション再生(PID_E003_エル, Die, EmoPray,0, 0.5)\n\nウェイト(1)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E001_Ring_Sleep)\nサウンドイベント(BGM_Evt_Ring_Stop_Normal)\n\nウェイト(1)\n\nキャラ削除(GID_E003_敵ヴェロニカ)\n\nキャラ配置(PID_デモ用_視線設定用2, ME_IN_A, [服装], Die, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用2, 0.7, -0.5,0)
MID_ED1_#019	キャラ表示切替(PID_E003_セレスティア,True)\nキャラ配置調整(PID_E003_セレスティア, 0.15,0,0)\nキャラ配置調整(PID_E003_グレゴリー, -0.15,0,0)\n一枚絵非表示()\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n白フェードイン(2)\nウェイト(0.5)\n\nキャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_グレゴリー, PID_E003_イル, PID_E003_イル)\n\nキャラ回転(PID_リュール,20,0.5,1)\nキャラモーション再生(PID_リュール, Smile, TurnR,0.5,0.5)\n\nキャラ回転(PID_E003_セレスティア,20,0.5,1)\nキャラモーション再生(PID_E003_セレスティア, Smile, TurnR,0.5,0.5)\n\nキャラモーション再生(PID_E003_イル, Smile, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E003_エル, Normal, IdleNormal,0,1)\n\nサウンドイベント(Env_Evt_Filene_Rock_Start)
MID_ED1_#020	キャラモーション再生(PID_E003_グレゴリー, Smile, EmoSad,0, 0.5)\nキャラモーション再生(PID_E003_イル, Smile, IdleNormal,0,1)\n\nキャラ視線(PID_E003_イル, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_エル, PID_E003_グレゴリー, PID_E003_グレゴリー)
MID_ED1_#021	キャラ視線(PID_E003_グレゴリー, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_エル, Die, EmoNod,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise)
MID_ED1_#022	キャラ配置調整(PID_デモ用_視線設定用,0, 0.3,0)\nキャラ配置調整(PID_リュール,0,0, -0.3)\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_normal)\nキャラ表示切替(PID_E003_イル, False)\n\nキャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラ視線(PID_E003_グレゴリー, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_E003_エル, Normal)\nキャラモーション再生(PID_E003_セレスティア, Shy, EmoThink,0, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Smile, IdleNormal,0,1)
MID_ED1_#023	キャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)
MID_ED1_#024	キャラモーション再生(PID_E003_セレスティア, Sad, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E003_グレゴリー, Angry)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\n\nサウンドイベント(Env_Evt_Filene_Rock_End)
MID_ED1_#025	キャラ視線(PID_E003_セレスティア, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)
MID_ED1_#026	キャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_セレスティア, Shy)\nキャラモーション再生(PID_E003_セレスティア, Serious, EmoDeny2, 1.5, 0.5)\nキャラモーション再生(PID_E003_セレスティア, Sad, IdleNormal,3,1)\nキャラモーション再生(PID_リュール, Sad, IdleNormal,3,1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#027	キャラモーション再生(PID_リュール, Sad)
MID_ED1_#028	キャラモーション再生(PID_E003_セレスティア, Angry, EmoTalk2,0, 0.5)
MID_ED1_#029	キャラモーション再生(PID_E003_セレスティア, Normal)
MID_ED1_#030	キャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\n\nキャラモーション再生(PID_E003_グレゴリー, Normal, EmoTalk,0, 0.5)\nキャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_E003_セレスティア, Sad, IdleNormal,0,1)
MID_ED1_#031	キャラモーション再生(PID_E003_グレゴリー, Sad)\nキャラモーション再生(PID_リュール, Sad)
MID_ED1_#032	キャラ視線(PID_E003_グレゴリー, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\n\n*\nキャラモーション再生(PID_E003_グレゴリー, Die, EmoDeny2,0, 0.5)\nパペット会話中断()\nウェイト(2)
MID_ED1_#033	キャラモーション再生(PID_E003_グレゴリー, Shy, IdleNormal,0,1)\nキャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)
MID_ED1_#034	キャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\nキャラ視線(PID_E003_グレゴリー, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_E003_セレスティア, Smile, EmoProud,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise)
MID_ED1_#035	キャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラモーション再生(PID_E003_グレゴリー, Pain, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Smile)
MID_ED1_#036	キャラ回転(PID_E003_エル,20,1,0)\nキャラ配置調整(PID_リュール,0,0, 0.3)\nキャラ配置調整(PID_E003_セレスティア, -0.15,0,0)\nキャラ配置調整(PID_E003_グレゴリー, 0.15,0,0)\n\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_エル, cam_anim_track_l_slow)\nキャラ表示切替(PID_E003_イル, True)\n\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\n\nキャラ視線(PID_E003_セレスティア, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_グレゴリー, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_リュール, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_イル, Shy, EmoTalk,0, 0.5)\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E003_セレスティア, Normal, IdleNormal)\nキャラモーション再生(PID_E003_グレゴリー, Normal, IdleNormal)
MID_ED1_#037	キャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル,2)
MID_ED1_#038	キャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル)\nキャラモーション再生(PID_E003_エル, Angry, EmoTalk2,0, 0.5)
MID_ED1_#039	キャラ回転(PID_E003_イル,-45,1,0)\n\nキャラモーション再生(PID_E003_イル, Shy, TurnL,0,0.5)\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E003_イル, Shy, EmoShy,0.5,1)
MID_ED1_#040	キャラモーション再生(PID_E003_イル, Shy, EmoTalk2,0,1)
MID_ED1_#041	*\nパペット会話中断()\nウェイト(1)
MID_ED1_#042	キャラカメラ(CharaCam_Front_Center_Top, PID_E003_エル, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_E003_エル, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\n\nキャラモーション再生(PID_E003_エル, Sad, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E003_イル, Angry, IdleNormal)
MID_ED1_#043	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_エル, cam_anim_pan_r_normal)\n\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_エル, Sad, IdleNormal,0,1)\nキャラモーション再生(PID_E003_イル, Surprise, EmoTalk,0,0.5)
MID_ED1_#044	キャラモーション再生(PID_E003_エル, Sad, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E003_イル, Surprise, IdleNormal,0,1)\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#045	キャラモーション再生(PID_E003_イル, Normal)
MID_ED1_#046	キャラモーション再生(PID_E003_イル, Angry, EmoTalk2,0,0.5)\n*\nパペット会話中断()\nウェイト(1)\nキャラ視線(PID_E003_エル, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)
MID_ED1_#047	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E003_エル, cam_anim_track_l_slow)\n\nキャラ回転(PID_E003_エル,-20,1.5,0)\nキャラモーション再生(PID_E003_エル, Sad, EmoTurnL,0, 0.5)\nキャラモーション再生(PID_E003_エル, Serious, IdleNormal,5,1)\nキャラモーション再生(PID_E003_イル, Angry, IdleNormal)
MID_ED1_#048	キャラモーション再生(PID_E003_エル, Serious)\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#049	キャラモーション再生(PID_E003_エル, Sad)
MID_ED1_#050	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E003_イル, Sad)
MID_ED1_#051	キャラモーション再生(PID_E003_エル, Serious)
MID_ED1_#052	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_エル, Sad)
MID_ED1_#053	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E003_エル, cam_anim_track_l_slow)\n\nキャラ配置調整(PID_リュール,0,0, -0.3)\nキャラ配置調整(PID_E003_セレスティア, 0.15,0,0)\nキャラ配置調整(PID_E003_グレゴリー, -0.15,0,0)\n\nキャラモーション再生(PID_E003_エル, Sad, EmoSad2,0, 0.5)
MID_ED1_#054	キャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Angry, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, EmoNod,0, 0.5)
MID_ED1_#055	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_normal)\nキャラ表示切替(PID_E003_イル, False)\n\nキャラ視線(PID_リュール, PID_E003_セレスティア, PID_E003_セレスティア)\n\nキャラモーション再生(PID_E003_グレゴリー, Angry)\nキャラモーション再生(PID_E003_セレスティア, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_ED1_#056	キャラモーション再生(PID_E003_グレゴリー, Angry, EmoThinkIn,0, 0.5)\n\nキャラ視線(PID_リュール, PID_E003_グレゴリー, PID_E003_グレゴリー)\nキャラ視線(PID_E003_セレスティア, PID_E003_グレゴリー, PID_E003_グレゴリー)
MID_ED1_#057	キャラモーション再生(PID_E003_グレゴリー, Smile, EmoThinkOut,0, 0.5)\nキャラモーション再生(PID_E003_セレスティア, Normal,IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Smile)\n\nキャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#058	キャラ配置調整(PID_リュール,0,0, 0.3)\nキャラ配置調整(PID_E003_セレスティア, -0.15,0,0)\nキャラ配置調整(PID_E003_グレゴリー, 0.15,0,0)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E003_エル, cam_anim_track_l_slow)\nキャラ表示切替(PID_E003_イル, True)\n\nキャラ視線(PID_E003_エル, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\n\nキャラ視線(PID_リュール, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_セレスティア, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_エル, Pain, EmoDeny2,0,1)\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E003_イル, Surprise)\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#059	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E003_セレスティア, Sad)\nキャラモーション再生(PID_E003_エル, Normal,IdleNormal,0,1)\n*\nパペット会話中断()\nウェイト(1)\nキャラ視線(PID_E003_イル, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)
MID_ED1_#060	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_r_slow)\n\nキャラ回転(PID_E003_イル,20,0.5,0)\n\nキャラモーション再生(PID_E003_イル, Shy, EmoDeny)\n\nキャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\n\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_グレゴリー, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)
MID_ED1_#061	キャラ視線(PID_E003_イル, PID_E003_エル, PID_E003_エル)\n\nキャラモーション再生(PID_E003_イル, Smile, EmoTalk, 1.8,1)
MID_ED1_#062	キャラ視線(PID_E003_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_イル, Smile, EmoTalk2, 3.5,1)
MID_ED1_#063	キャラ視線(PID_E003_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_セレスティア, Smile, EmoNod,0, 0.5)\nキャラモーション再生(PID_E003_イル, Shy, IdleNormal,0,1)
MID_ED1_#064	キャラ視線(PID_E003_グレゴリー, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_グレゴリー, Smile, EmoNod,0, 0.5)
MID_ED1_#065	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E003_エル, Normal, EmoThink,0, 0.5)
MID_ED1_#066	*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#067	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Shy, EmoSad,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#068	キャラモーション再生(PID_リュール, Smile, EmoRelax,0,1)
MID_ED1_#069	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラ視線(PID_E003_セレスティア, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_グレゴリー, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_リュール, PID_E003_イル, PID_E003_イル)\nキャラ視線(PID_E003_エル, PID_E003_イル, PID_E003_イル)\n\nキャラモーション再生(PID_E003_イル, Smile, EmoJoy,0, 0.5)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)
MID_ED1_#070	キャラ視線(PID_E003_エル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_リュール, Angry, EmoThink,0,0.5)
MID_ED1_#071	キャラカメラ(CharaCam_Front_Center_Mid, PID_E003_エル, cam_anim_zoom_in_slow)\n*\nフェードアウト()
MID_ED2_#001	サウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence)\n一枚絵表示(Tex_Event_DLC_Recollection_3, picture_fade_in_slow)\nテロップエフェクト表示(Effects/Telop/Prefabs/Eff_Telop_Recollection_Loop, False)\nフェードイン()
MID_ED2_#002	
MID_ED2_#003	*\nウェイト(1)
MID_ED2_#004	
MID_ED2_#005	
MID_ED2_#006	
MID_ED2_#007	
MID_ED2_#008	
MID_ED2_#009	
MID_ED2_#010	
MID_ED2_#011	
MID_ED2_#012	ウェイト(1)
MID_ED2_#013	*\nウェイト(0.5)
MID_ED2_#014	
MID_ED2_#015	
MID_ED2_#016	*\nウェイト(0.5)
MID_ED2_#017	*\nサウンドイベント(SE_DLC_Evt_E003_ED2_Scream)\nフェードアウト()\nウェイト(3)
MID_ED2_#018	一枚絵表示(Tex_Event_DLC_Recollection_4, picture_fade_in_slow)\nフェードイン()\nウェイト(1)
MID_ED2_#019	
MID_ED2_#020	
MID_ED2_#021	ウェイト(1)
MID_ED2_#022	
MID_ED2_#023	
MID_ED2_#024	
MID_ED2_#025	
MID_ED2_#026	
MID_ED2_#027	
MID_ED2_#028	ウェイト(1)\n*\nフェードアウト()\nサウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence_Stop_Slow)\nテロップエフェクト削除
MID_ED3_#001	キャラ配置(PID_E003_Hide, ME_MID_C, [服装], Normal, IdleNormal, -150)\nキャラ配置(PID_E003_Boss, ME_MID_B, [服装], Normal, IdleNormal, 150)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_A, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,2, -1,0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ配置(PID_E003_エル, YOU_MID_BC, [服装], Angry, IdleNormal, 0)\nキャラ武器装備(PID_E003_エル,鉄のナイフ)\nキャラアニメーター切替(PID_E003_エル, Unit/Anim/Demo/AOC_Demo_c051)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E003_エル, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E003_エル, Die, WalkIn)\n\n背景(Map_Event_E003_03)\nライト(CharaLight_E003, 0, 0, 0)\n\nサウンドイベント(Env_Evt_Filene_Rock_Start)\n\nフェードイン()\n\nウェイト(1)\n\nキャラ視線(PID_E003_Hide, PID_E003_エル, PID_E003_エル)\nキャラ視線(PID_E003_Boss, PID_E003_エル, PID_E003_エル)\n\nキャラ回転(PID_E003_Hide, 150,0.5,0)\nキャラモーション再生(PID_E003_Hide, Angry, TurnL,0, 0.5)\n\nキャラ回転(PID_E003_Boss, -150,0.5,0)\nキャラモーション再生(PID_E003_Boss, Angry, TurnR,0, 0.5)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E003_エル, cam_anim_waisttoface)\nキャラモーション再生(PID_E003_エル, Normal)\n\nキャラ武器装備(PID_E003_Hide, 銀の弓)\nキャラアニメーター切替(PID_E003_Hide, Unit/Anim/UnitAnims/UAS_Trl1AM)\nキャラ武器装備(PID_E003_Boss, 銀の剣)\nキャラアニメーター切替(PID_E003_Boss,Unit/Anim/UnitAnims/UAS_Scs1AM)\n\nキャラモーション再生(PID_E003_Hide, Angry,IdleNormal_None)\nキャラモーション再生(PID_E003_Boss, Angry,IdleNormal_None)\nウェイト(3)
MID_ED3_#002	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_slow)\nキャラ視線(PID_E003_エル, PID_E003_Boss, PID_E003_Boss)\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED3_#003	キャラカメラ(CharaCam_Side_Left_Mid, PID_E003_Boss, cam_anim_track_r_slow)
MID_ED3_#004	キャラカメラ(CharaCam_Side_Right_Mid, PID_E003_エル, cam_anim_pan_r_slow)\nサウンドイベント(Env_Evt_Filene_Rock_End)
MID_ED3_#005	キャラカメラ(CharaCam_Front_Center_Mid, PID_E003_Boss, cam_anim_zoom_out_fast)\n\nキャラモーション再生(PID_E003_Boss, Surprise)\nキャラモーション再生(PID_E003_Hide, Surprise)
MID_ED3_#006	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E003_エル, cam_anim_zoom_out_slow)
MID_ED3_#007	キャラモーション再生(PID_E003_エル, Angry, EmoTalk2,0, 0.5)
MID_ED3_#008	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E003_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E003_Boss, Angry)\nキャラモーション再生(PID_E003_Hide, Angry)
MID_ED3_#009	キャラ視線(PID_E003_Hide, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED3_#010	キャラモーション再生(PID_E003_エル, Angry, EmoNod,0, 0.5)\n\nキャラ視線(PID_E003_Hide, PID_E003_エル, PID_E003_エル)\n\n*\nパペット会話中断()
MID_ED3_#011	キャラモーション再生(PID_E003_エル, Angry, IdleNormal,0,1)\n\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\nウェイト(0.5)\n背景(Map_Event_M026_05)\nキャラ表示切替(PID_E003_Boss, False)\nキャラ表示切替(PID_E003_エル, False)\nキャラ削除(PID_E003_Hide)\nキャラ配置調整(PID_デモ用_視線設定用, -0.8, -0.6, 1.09)\nキャラカメラ(CharaCam_Side_Right2_Top, PID_デモ用_視線設定用, cam_anim_fix)\nウェイト(0.5)\nキャラ配置(PID_E003_Hide, ME_MID_C, [服装], Surprise, IdleNormal, 0)\nキャラ配置調整(PID_E003_Hide,0,0,0.1)\nキャラ表示切替(PID_E003_Hide, False)\n一枚絵非表示()\n*\nパペット会話中断()\nエフェクト表示(Effect01, Effects/Event/E003_MID_ED3/Prefabs/E003_MID_ED3)\nウェイト(0.5)\nサウンドイベント(SE_DLC_Evt_E003_ED3_Sting)\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\nウェイト(1)
MID_ED3_#012	キャラアニメーター切替(PID_E003_エル, Unit/Anim/UnitAnims/UAS_Dge0AF)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E003_Hide, cam_anim_zoom_in_slow)\n背景(Map_Event_E003_03)\nライト(CharaLight_E003, 0, 0, 0)\n\nキャラ表示切替(PID_E003_Boss, True)\nキャラ表示切替(PID_E003_Hide, True)\nキャラ表示切替(PID_E003_エル, True)\n\n一枚絵非表示()\nフェードイン(0.5)\n\nキャラモーション再生(PID_E003_エル, Angry,IdleNormal_None)\n\n*\nパペット会話中断()\nキャラモーション再生(PID_E003_Hide, Pain, EmoTierd)\nウェイト(1)\n\nフェードアウト()\nサウンドイベント(SE_DLC_Evt_E003_ED3_FallDown)\nキャラ視線(PID_E003_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nウェイト(1)\n\nキャラ表示切替(PID_E003_Hide, False)
MID_ED3_#013	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E003_Boss, cam_anim_pan_l_slow)\nキャラモーション再生(PID_E003_Boss, Pain)\nフェードイン(0.5)\n\nキャラモーション再生(PID_E003_Boss, Angry, IdleNormal_None,3,1)\nキャラ視線(PID_E003_Boss, PID_E003_エル, PID_E003_エル,3)\n\n*\nパペット会話中断()\nウェイト(1)\nキャラモーション再生(PID_E003_Boss, Angry, Attack_Sword)\nサウンドイベント(SE_Evt_M024_MARTH_Sword_01)\nウェイト(0.5)\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\nキャラ表示切替(PID_E003_Boss, False)\nキャラ表示切替(PID_E003_エル, False)\nキャラカメラ(CharaCam_Side_Right2_Top, PID_デモ用_視線設定用, cam_anim_fix, 0.5)\n背景(Map_Event_M026_05)\n一枚絵非表示()
MID_ED3_#014	ウェイト(1)\nエフェクト表示(Effect02, Effects/Event/E003_MID_ED3/Prefabs/E003_MID_ED3)\nサウンドイベント(SE_DLC_Evt_E003_ED3_Sting)\nウェイト(1.5)\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\n\n*\nパペット会話中断()\nウェイト(0.5)\nシーンカメラ(SceneCam_ViewFromYou_Center_Mid, cam_anim_zoom_in_normal)\nキャラモーション再生(PID_E003_Boss, Pain, StandByBreak_Sword)\nキャラ削除(PID_E003_エル)\n\nキャラ配置(PID_E003_エル, YOU_MID_BC, [服装], Angry, IdleNormal, 0)\nキャラアニメーター切替(PID_E003_エル, Unit/Anim/Demo/AOC_Demo_c051)\nキャラ配置調整(PID_E003_エル,0,0, -3)\nキャラ表示切替(PID_E003_Boss, True)\n\nキャラ配置調整(PID_デモ用_視線設定用, 0.8, 0.6, -1.09)\nキャラ視線(PID_E003_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED3_#015	背景(Map_Event_E003_03)\nライト(CharaLight_E003, 0, 0, 0)\nウェイト(1)\n一枚絵非表示()\nフェードイン(0.5)\n\nキャラモーション再生(PID_E003_Boss, Pain)
MID_ED3_#016	キャラ配置調整(PID_デモ用_視線設定用,-2,0,0)\n*\nパペット会話中断()\nフェードアウト()\nウェイト(1)\n\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E003_エル, cam_anim_track_l_slow,1)\nキャラ削除(PID_E003_Boss)\nサウンドイベント(SE_DLC_Evt_E003_ED3_FallDown)\nフェードイン()
MID_ED3_#017	キャラ視線(PID_E003_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED3_#018	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E003_エル, cam_anim_track_l_slow)\n*\nパペット会話中断()\nウェイト(1)
MID_ED3_#019	キャラ配置調整(PID_E003_Hide, -0.3,0, -1.3)\n\nキャラ視線(PID_E003_エル, PID_E003_Hide, PID_E003_Hide)\n*\nパペット会話中断()\nウェイト(1)
MID_ED3_#020	キャラ視線(PID_E003_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ回転(PID_E003_エル, 140,1,0)\nキャラモーション再生(PID_E003_エル, Normal, TurnL,0,1)
MID_ED3_#021	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E003_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E003_エル, Die)\n\n*\nフェードアウト()
