MID_OP1_#001	キャラ配置(PID_E005_Boss, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_OP6_#001	キャラ配置(PID_E005_Boss, ME_IN_C, [服装], Normal, IdleNormal,0)\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_Hum2M)\nキャラ表示切替(PID_E005_Boss, False)\n\nキャラ配置(PID_E005_エル, ME_MID_C, [服装], Normal, IdleNormal,0)\nキャラ表示切替(PID_E005_エル, False)\n\nキャラ配置(PID_リュール, YOU_IN_C, [服装], Angry, IdleNormal,0)\n\nキャラ配置(PID_E005_異形兵_マスターモンク, YOU_OUT_A, [服装], Angry, IdleNormal, -30)\nキャラ配置調整(PID_E005_異形兵_マスターモンク, -0.7,0, 2)\nキャラ表示切替(PID_E005_異形兵_マスターモンク, False)\n\nキャラ配置(PID_E005_異形兵_シーフ, YOU_OUT_B, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E005_異形兵_シーフ, -0.3,0, 2.5)\nキャラ表示切替(PID_E005_異形兵_シーフ, False)\n\nキャラ配置(PID_E005_Hide1, YOU_OUT_C, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E005_Hide1, -0.1,0, 2)\nキャラ表示切替(PID_E005_Hide1, False)\n\nキャラ配置(PID_E001_Boss, YOU_OUT_D, [服装], Angry, IdleNormal,20)\nキャラ配置調整(PID_E001_Boss, 0.2,0, 0.8)\nキャラ表示切替(PID_E001_Boss, False)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_C, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5, -1.5)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\n背景(Map_Event_E005_03)\nライト(CharaLight_E005, 0, 0, 0)\nエフェクト表示(Effect01, Effects/Event/E005_MID_OP6_01/Prefabs/E005_MID_OP6_01)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_リュール, cam_anim_track_l_slow)\n\nフェードイン()
MID_OP6_#002	キャラ表示切替(PID_E005_Boss, True)\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_slow,1)\n\nキャラモーション再生(PID_E005_Boss, Smile, WalkIn)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E005_Boss)
MID_OP6_#003	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_リュール, cam_anim_track_r_slow)
MID_OP6_#004	キャラモーション再生(PID_E005_Boss, Smile, EmoTalk,0, 0.5)
MID_OP6_#005	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal)\nキャラモーション再生(PID_リュール, Surprise)
MID_OP6_#006	キャラモーション再生(PID_リュール, Angry, EmoDeny2,0, 0.5)
MID_OP6_#007	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E005_Boss, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0, 0.5)
MID_OP6_#008	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_E005_Boss, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Angry, EmoAngry,0, 0.5)
MID_OP6_#009	キャラモーション再生(PID_E005_Boss, Surprise, EmoNod,0,1)\n\n*\nウェイト(0.5)
MID_OP6_#010	キャラモーション再生(PID_リュール, Angry, EmoTalk2,0,1)\n\nキャラモーション再生(PID_E005_Boss, Surprise, IdleNormal,0,1)
MID_OP6_#011	キャラモーション再生(PID_リュール, Angry, EmoDeny,0,1)
MID_OP6_#012	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E005_Boss, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Angry, IdleNormal)\nキャラモーション再生(PID_E005_Boss, Sad, EmoSad2,0,1)\nキャラモーション再生(PID_E005_Boss, Shy, IdleNormal,6,1)
MID_OP6_#013	キャラモーション再生(PID_E005_Boss, Sad, EmoSad,0,1)
MID_OP6_#014	キャラカメラ(CharaCam_Side_Right_Mid, PID_リュール, cam_anim_pan_r_slow)
MID_OP6_#015	キャラカメラ(CharaCam_Front_Center_Mid, PID_E005_Boss, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E005_Boss, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)
MID_OP6_#016	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoDeny2,0, 0.5)
MID_OP6_#017	キャラモーション再生(PID_E005_Boss, Smile, EmoTalk2,0, 0.5)\n\n*\nキャラモーション待ち(PID_E005_Boss)
MID_OP6_#018	キャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E005_Boss, Smile, IdleNormal,0,1)\n\n*\nウェイト(1)
MID_OP6_#019	キャラカメラ(CharaCam_FrontLong_Center_Top, PID_E005_Boss, cam_anim_zoom_out_slow)\nサウンドイベント(SE_DLC_Evt_E001_OP4_Light)\nエフェクト表示(Effect02, Effects/Event/E005_MID_OP6_02/Prefabs/E005_MID_OP6_02)\nキャラ表示切替(PID_リュール, False)\n\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_Boss, Surprise)\n\n*\nパペット会話中断()\nウェイト(1)\n一枚絵表示(Tex_Event_DLC_Picture_5, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E005_OP5_Wall_Break)\nウェイト(1)
MID_OP6_#020	ウェイト(1)\nキャラ表示切替(PID_E005_エル, True)\nエフェクト削除(Effect01)\n\nキャラ削除(PID_E005_Boss)\nキャラ配置(PID_E005_Boss, YOU_IN_B, [服装], Normal, IdleNormal,-30)\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Demo/AOC_Demo_Hum2M)\nキャラ配置調整(PID_E005_Boss, 0.2,0,0)\nキャラ配置調整(PID_リュール,0,0,0.8)\n\n*\nパペット会話中断()\n一枚絵表示(Tex_Event_Effect_White)\nキャラモーション再生(PID_E005_エル, Angry, RunIn)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E005_エル, cam_anim_zoom_in_slow)\n一枚絵非表示()\n白フェードイン(2)\n\nキャラ視線(PID_リュール, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E005_Boss, PID_E005_エル, PID_E005_エル)
MID_OP6_#021	ウェイト(1)\nキャラ配置調整(PID_デモ用_視線設定用,0, 1.5, 0.7)\nキャラカメラ(CharaCam_SideLong_Right2_Mid, PID_デモ用_視線設定用, cam_anim_track_r_slow)\nエフェクト表示(Effect01, Effects/Event/E005_MID_OP6_01/Prefabs/E005_MID_OP6_01)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_リュール, Smile, EmoSurprise2,0, 0.5)
MID_OP6_#022	キャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_リュール, Angry)\nキャラモーション再生(PID_E005_Boss, Smile)
MID_OP6_#023	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E005_エル, cam_anim_track_r_slow)\nエフェクト削除(Effect01)\n\nキャラモーション再生(PID_E005_エル, Angry, EmoSurprise2,0, 0.5)
MID_OP6_#024	キャラモーション再生(PID_E005_エル, Angry, EmoDeny2,2,1)
MID_OP6_#025	キャラ表示切替(PID_リュール, False)
MID_OP6_#026	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_r_slow)\nエフェクト表示(Effect01, Effects/Event/E005_MID_OP6_01/Prefabs/E005_MID_OP6_01)\n\nキャラモーション再生(PID_E005_Boss, Angry)
MID_OP6_#027	キャラモーション再生(PID_E005_Boss, Angry, EmoJoy,0,0.5)\n\n*\n\nキャラ表示切替(PID_E005_異形兵_マスターモンク, True)\nキャラ表示切替(PID_E005_異形兵_シーフ, True)\nキャラ表示切替(PID_E005_Hide1, True)\nキャラ表示切替(PID_E001_Boss, True)\n\nキャラ武器装備(PID_E005_異形兵_マスターモンク, 鋼身の法)\nキャラ武器装備(PID_E005_異形兵_シーフ, 鉄のナイフ)\nキャラ武器装備(PID_E005_Hide1, エルファイアー)\nキャラ武器装備(PID_E001_Boss, 鋼のナイフ)\n\nキャラモーション再生(PID_E005_異形兵_マスターモンク, StandBy)\nキャラモーション再生(PID_E005_異形兵_シーフ, StandBy, WalkIn,0, 0.5)\nキャラモーション再生(PID_E005_Hide1, StandBy, WalkIn2,0, 0.5)\nキャラモーション再生(PID_E001_Boss, StandBy, WalkIn, 0.3, 0.5)\n\nウェイト(0.5)\nキャラモーション待ち(PID_E001_Boss)
MID_OP6_#028	キャラカメラ(CharaCam_Side_Right_Mid, PID_リュール, cam_anim_pan_r_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラ回転(PID_リュール, -90,1,0)\nキャラモーション再生(PID_リュール, Angry, TurnL,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,1.5,1)\n\nキャラ視線(PID_リュール, PID_E001_Boss, PID_E001_Boss)\n\n*\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_E001_Boss, cam_anim_track_l_slow)\nウェイト(3)
MID_OP6_#029	キャラカメラ(CharaCam_Side_Left_Mid, PID_E005_エル, cam_anim_track_r_slow)\nエフェクト削除(Effect01)\n\nキャラモーション再生(PID_E005_エル, Surprise)\nキャラモーション再生(PID_E005_エル, Angry, IdleNormal,2, 0.5)\n\nキャラ回転(PID_E005_Boss, 30,0,0)\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/UnitAnims/UAS_Sds0AM)\nキャラ武器装備(PID_E005_Boss,ルヴァンシュ)\nキャラモーション再生(PID_E005_Boss, Angry, StandBy_None)
MID_OP6_#030	キャラ配置調整(PID_デモ用_視線設定用, -0.5,0, 0.3)\nキャラカメラ(CharaCam_SideLong_Right2_Mid, PID_デモ用_視線設定用, cam_anim_pan_r_normal)\nエフェクト表示(Effect01, Effects/Event/E005_MID_OP6_01/Prefabs/E005_MID_OP6_01)\n\nキャラ回転(PID_リュール, 90,1,0)\nキャラモーション再生(PID_リュール, Angry, TurnR,0, 0.5)\n\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)
MID_OP6_#031	キャラ武器装備(PID_E005_エル,トライゾン)\nキャラアニメーター切替(PID_E005_エル, Unit/Anim/UnitAnims/UAS_Sds0AF)\nキャラモーション再生(PID_E005_エル, Angry,IdleNormal_None)
MID_OP6_#032	キャラモーション再生(PID_E005_Boss, Angry, IdleNormal_None,0, 0.5)\nキャラ回転(PID_E005_エル, -20,0,0)
MID_OP6_#033	キャラ配置調整(PID_デモ用_視線設定用, 0.155, -0.05, -2.5)\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_デモ用_視線設定用, cam_anim_zoom_in_normal)\n\nキャラ表示切替(PID_リュール, False)\nエフェクト削除(Effect01)\n\n*\nウェイト(1)\nフェードアウト()
MID_EV1_#001	
MID_EV2_#001	
MID_EV3_#001	
MID_EV4_#001	
MID_BT1_#001	
MID_BT2_#001	
MID_BT3_#001	
MID_BT4_#001	
MID_BT5_#001	
MID_BT6_#001	
MID_BT7_#001	
MID_BT7_#002	
MID_BT7_#003	
MID_BT7_#004	
MID_BT7_#005	
MID_BT8_#001	
MID_BT8_#002	
MID_BT8_#003	
MID_BT8_#004	
MID_BT8_#005	
MID_BT8_#006	
MID_BT8_#007	
MID_BT8_#008	
MID_BT9_#001	
MID_BT9_#002	
MID_BT9_#003	
MID_BT9_#004	
MID_BT9_#005	
MID_BT9_#006	
MID_BT10_#001	
MID_BT10_#002	
MID_BT10_#003	
MID_BT10_#004	
MID_BT10_#005	
MID_BT12_#001	
MID_BT12_#002	
MID_BT12_#003	
MID_BT12_#004	
MID_BT12_#005	
MID_BT12_#006	
MID_BT12_#007	
MID_BT12_#008	
MID_BT13_#001	
MID_BT13_#002	
MID_BT13_#003	
MID_BT13_#004	
MID_BT13_#005	
MID_BT13_#006	
MID_BT13_#007	
MID_BT13_#008	
MID_BT13_#009	
MID_BT14_#001	
MID_BT14_#002	
MID_BT14_#003	
MID_BT14_#004	
MID_BT14_#005	
MID_BT15_#001	
MID_BT15_#002	
MID_BT15_#003	
MID_BT15_#004	
MID_BT15_#005	
MID_BT15_#006	
MID_BT16_#001	
MID_BT16_#002	
MID_BT16_#003	
MID_BT16_#004	
MID_BT16_#005	
MID_BT16_#006	
MID_BT16_#007	
MID_BT18_#001	
MID_BT18_#002	
MID_BT18_#003	
MID_BT18_#004	
MID_BT18_#005	
MID_BT18_#006	
MID_BT18_#007	
MID_BT18_#008	
MID_BT19_#001	
MID_BT19_#002	
MID_BT19_#003	
MID_BT19_#004	
MID_BT19_#005	
MID_BT19_#006	
MID_BT19_#007	
MID_BT19_#008	
MID_BT19_#009	
MID_ED1_#001	キャラ配置(PID_E005_エル, ME_IN_B, [服装], Normal, IdleNormal,30)\nキャラ配置(PID_リュール, ME_IN_C, [服装], Smile, IdleNormal,0)\n\nキャラ配置(GID_E005_敵クロム, YOU_OUT_C, [服装], Normal, IdleNormal,0)\nキャラ配置調整(GID_E005_敵クロム,0,0, -0.8)\nキャラ表示切替(GID_E005_敵クロム, False)\n\nキャラ配置(PID_E005_Boss, YOU_IN_C, [服装], Normal, IdleNormal,-95)\nキャラ配置調整(PID_E005_Boss, 0.3,0, -0.6)\nキャラアニメーター切替(PID_E005_Boss, Unit/Anim/Hub/AOC_Hub_Hum2M)\nキャラモーション再生(PID_E005_Boss, Die, RestLie3)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_C, [服装], Normal, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用, -0.25, -1.375, -0.8)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\n背景(Map_Event_E005_03)\nライト(CharaLight_E005,0,0,0)\n\nキャラ視線(PID_リュール, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E005_エル, PID_リュール, PID_リュール)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk,0, 0.5)\n\nフェードイン()
MID_ED1_#002	キャラモーション再生(PID_E005_エル, Shy, EmoTalk,0, 0.5)
MID_ED1_#003	キャラモーション再生(PID_E005_エル, Serious, EmoRelax,0,1)\nキャラモーション再生(PID_E005_エル, Sad, IdleNormal, 3.5,1)
MID_ED1_#004	キャラカメラ(CharaCam_Side_Left2_Top, PID_E005_エル, cam_anim_zoom_in_slow\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E005_エル, Sad, IdleNormal,0,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#005	キャラ視線(PID_E005_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E005_エル, Sad, EmoNod,0, 0.5)
MID_ED1_#006	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoNod,0, 0.5)\nキャラモーション再生(PID_E005_エル, Sad, IdleNormal,0,1)
MID_ED1_#007	キャラモーション再生(PID_E005_エル, Smile, EmoPray,0,1)\nキャラモーション再生(PID_リュール, Smile, IdleNormal,0,1)\n\n*\nキャラ配置調整(PID_デモ用_視線設定用,0, 0.5,0)\nウェイト(1)\nキャラ視線(PID_E005_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nウェイト(0.3)
MID_ED1_#008	キャラ視線(PID_E005_エル, PID_E005_Boss, PID_E005_Boss)\nキャラ視線(PID_リュール, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2,0,1)\nキャラモーション再生(PID_E005_エル, Angry, IdleNormal,0,1)\n\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.5,0)
MID_ED1_#009	キャラモーション再生(PID_E005_エル, Angry, EmoGive,0,1)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)\n\nキャラ表示切替(GID_E005_敵クロム, True)
MID_ED1_#010	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_slow)\nキャラモーション再生(PID_E005_エル, Normal)\n\n一枚絵表示(Tex_Event_DLC_ItemPicture_04, picture_item_fade_in_normal)\n\nキャラ視線(PID_E005_エル, GID_E005_敵クロム, GID_E005_敵クロム)\nキャラ視線(PID_リュール, GID_E005_敵クロム, GID_E005_敵クロム)\nキャラ視線(GID_E005_敵クロム, PID_リュール, PID_リュール)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#011	一枚絵非表示(picture_item_fade_out_normal)\n\nキャラモーション再生(PID_E005_エル, Normal, EmoTalk,0, 0.5)\n\n*\nウェイト(1)
MID_ED1_#012	キャラカメラ(CharaCam_SideLong_Right_Mid, GID_E005_敵クロム, cam_anim_pan_r_slow)\n\nキャラモーション再生(GID_E005_敵クロム, Normal, EmoTalk,0, 0.5)
MID_ED1_#013	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール, cam_anim_track2_r_normal)\n\nキャラモーション再生(GID_E005_敵クロム, Die, EmoPray,0, 0.5)
MID_ED1_#014	キャラモーション再生(PID_リュール, Smile, EmoJoy,0, 0.5)\nキャラモーション再生(GID_E005_敵クロム, Smile)\n\n*\nパペット会話中断()\nウェイト(1)\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E001_Ring_Sleep)\nサウンドイベント(BGM_DLC_Evt_Past_Stop_Normal)\n\nウェイト(1)\nキャラ表示切替(GID_E005_敵クロム, False)
MID_ED1_#015	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_r_slow)\n\n一枚絵非表示()\n白フェードイン(2)\nウェイト(0.5)\n\nキャラ視線(PID_リュール, PID_E005_エル, PID_E005_エル)\nキャラ視線(PID_E005_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E005_エル, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, EmoNod,1, 0.5)\n\n*\nキャラ回転(PID_E005_エル, 150,1,0)\nキャラモーション再生(PID_E005_エル, Angry, TurnR, 0.5, 0.5)\nキャラモーション再生(PID_E005_エル, Angry, RunOut,1,1)\n\nキャラ回転(PID_リュール, -179, 1.5, 0.15)\nキャラモーション再生(PID_リュール, Angry, TurnL,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, RunOut, 1.5,1)\n\nウェイト(0.5)\nキャラ視線リセット(PID_リュール)\nキャラ視線リセット(PID_E005_エル)\n\nウェイト(1.5)
MID_ED1_#016	キャラ配置調整(PID_デモ用_視線設定用,0, -0.05,0)\nキャラカメラ(CharaCam_Front_Center_Top, PID_デモ用_視線設定用, cam_anim_zoom_in_slow)\nキャラ表示切替(PID_リュール, False)\nキャラ削除(PID_E005_エル)\n\n*\nパペット会話中断()\nウェイト(2)
MID_ED1_#017	キャラモーション再生(PID_E005_Boss, Smile)\n\n*\nウェイト(0.5)\nフェードアウト()
MID_ED2_#001	キャラ配置(PID_E004_セレスティア, ME_IN_BC, [服装], Smile, IdleNormal, -30)\nキャラ配置(PID_E004_マデリーン, ME_IN_CD, [服装], Smile, IdleNormal, 30)\nキャラ配置(PID_E004_グレゴリー, ME_MID_BC, [服装], Die, IdleNormal, -30)\nキャラ配置(PID_M011_モーヴ, ME_MID_CD, [服装], Die, IdleNormal, 120)\n\nキャラ配置調整(PID_E004_セレスティア, -0.4,0, 0.4)\nキャラ配置調整(PID_E004_マデリーン, 0.4,0, 0.4)\nキャラ配置調整(PID_E004_グレゴリー, -0.4,0, -0.4)\nキャラ配置調整(PID_M011_モーヴ, 0.4,0, -0.4)\n\nキャラアニメーター切替(PID_E004_セレスティア,Unit/Anim/UnitAnims/UAS_Rod2AF)\nキャラアニメーター切替(PID_E004_マデリーン,Unit/Anim/UnitAnims/UAS_Amr1AF)\nキャラアニメーター切替(PID_E004_グレゴリー,Unit/Anim/UnitAnims/UAS_Mag1AM)\nキャラアニメーター切替(PID_M011_モーヴ,Unit/Anim/UnitAnims/UAS_Lnc0AM)\n\nキャラ武器装備(PID_E004_セレスティア,エルサンダー)\nキャラ武器装備(PID_E004_マデリーン,鋼の斧)\nキャラ武器装備(PID_E004_グレゴリー,エルファイアー)\nキャラ武器装備(PID_M011_モーヴ,鋼の槍)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, IdleNormal_None)\nキャラモーション再生(PID_E004_マデリーン, Angry, IdleNormal_None)\nキャラモーション再生(PID_M011_モーヴ, Angry, IdleNormal_None)\n\nキャラ配置(PID_デモ用_視線設定用, ME_MID_DE, [服装], Die, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.3,0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_グレゴリー, cam_anim_track_r_slow)\n\n背景(Map_Event_E005_01)\nライト(CharaLight_E005, 0, 0, 0)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, Attack_None,0,0.5)\nエフェクト表示(Effect01, Effects/Event/E005_MID_ED2/Prefabs/E005_MID_ED2)\nキャラモーション再生(PID_E004_グレゴリー, Angry, IdleNormal_None, 1.3,1)\n\nフェードイン()\n\nサウンドイベント(Field_Castle)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E004_グレゴリー)
MID_ED2_#002	キャラ配置調整(PID_デモ用_視線設定用,0, 0.15, 1.2)\nキャラ回転(PID_E004_グレゴリー, -90,0,0)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_デモ用_視線設定用, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E004_マデリーン, Pain)
MID_ED2_#003	キャラ配置調整(PID_デモ用_視線設定用, 0.3, -0.05, -1.4)\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_デモ用_視線設定用, cam_anim_track_r_normal)\n\nキャラ回転(PID_M011_モーヴ, -90,0,0)\nキャラモーション再生(PID_M011_モーヴ, Pain)\n\nキャラ表示切替(PID_E004_グレゴリー, False)\nキャラ削除(PID_E004_セレスティア)\nキャラ削除(PID_E004_マデリーン)\n\n*\nキャラ削除(PID_E004_グレゴリー)\n\nキャラ配置(PID_E004_セレスティア, ME_IN_BC, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_E004_マデリーン, ME_IN_CD, [服装], Pain, IdleNormal, 0)\nキャラ配置(PID_E004_グレゴリー, ME_MID_BC, [服装], Pain, IdleNormal, -90)\n\nキャラ配置調整(PID_E004_セレスティア, -0.4,0, 0.4)\nキャラ配置調整(PID_E004_マデリーン, -0.3,0, 0.3)\nキャラ配置調整(PID_E004_グレゴリー, -0.3,0, 0.3)
MID_ED2_#004	ウェイト(0.5)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E004_セレスティア, cam_anim_zoom_in_fast)\n\nキャラ回転(PID_E004_グレゴリー,90,1,0)\nキャラモーション再生(PID_E004_グレゴリー, Pain, TurnR,0, 0.5)\n\nキャラ削除(PID_M011_モーヴ)\nキャラ配置(PID_M011_モーヴ, ME_MID_CD, [服装], Pain, IdleNormal,0)\nキャラ配置調整(PID_M011_モーヴ, -0.3,0, 0.3)\n\n*\nキャラモーション再生(PID_E004_セレスティア, Angry, RunOut,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Pain, RunOut,0.8, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Pain, RunOut,0.5, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Pain, RunOut, 1, 0.5)\n\nシーンカメラ(SceneCam_SideYou_Left_Mid, cam_anim_tracklong_r_normal,0.5)\n\nウェイト(2.5)\nフェードアウト()
MID_ED3_#001	キャラ配置(PID_E004_グレゴリー, ME_IN_B, [服装], Die, IdleNormal, 0)\nキャラ配置調整(PID_E004_グレゴリー, -0.1,0, 0.3)\nキャラ配置(PID_M011_モーヴ, ME_IN_C, [服装], Die, IdleNormal, 0)\n\nキャラ配置(PID_E004_セレスティア, YOU_IN_B, [服装], Smile, IdleNormal, 180)\nキャラ配置(PID_E004_マデリーン, YOU_IN_C, [服装], Smile, IdleNormal, 179)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, RunIn)\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoTired,3,1)\nキャラモーション再生(PID_M011_モーヴ, Pain, RunIn)\nキャラモーション再生(PID_E004_セレスティア, Pain, RunIn)\nキャラ回転(PID_E004_セレスティア,180,1.5,3)\nキャラモーション再生(PID_E004_セレスティア, Pain, TurnR,3, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Pain, RunIn)\nキャラ回転(PID_E004_マデリーン,-179,1.5,3)\nキャラモーション再生(PID_E004_マデリーン, Pain, TurnL,3, 0.5)\n\nキャラ配置(PID_E005_異形兵_ベルセルク, ME_OUT_A, [服装], Angry, IdleNormal,0)\nキャラ表示切替(PID_E005_異形兵_ベルセルク, False)\n\nキャラ配置(PID_デモ用_視線設定用, ME_IN_BC, [服装], Die, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -0.5, 0.25)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_track_l_slow)\n\n背景(Map_Event_E005_02)\nライト(CharaLight_E005, 0, 0, 0)\n\nフェードイン()
MID_ED3_#002	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E004_マデリーン, cam_anim_pan_u_slow)\nキャラ表示切替(PID_M011_モーヴ, False)\n\nキャラ視線(PID_E004_マデリーン, PID_E004_グレゴリー, PID_E004_グレゴリー)\n\nキャラモーション再生(PID_E004_セレスティア, Angry)\nキャラモーション再生(PID_E004_マデリーン, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Pain, IdleNormal,0,1)
MID_ED3_#003	キャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_マデリーン, Angry, IdleNormal,0,1)
MID_ED3_#004	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_M011_モーヴ, cam_anim_track_l_slow)\nキャラ表示切替(PID_M011_モーヴ, True)\nキャラ表示切替(PID_E004_マデリーン, False)\nキャラ表示切替(PID_E004_セレスティア, False)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoSurprise,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Angry)
MID_ED3_#005	キャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_グレゴリー, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoTalk,0, 0.5)
