MID_OP1_#001	キャラ配置(PID_リュール, ME_IN_CD, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, ME_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_マロン, YOU_MID_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_リュール, 0.1, 0, 0.1, 0)\nキャラ配置調整(PID_モーヴ, -0.1, 0, 0.2, 0)\nキャラ配置調整(PID_マロン, 0, 0, 0.2, 0)\n\nキャラ表示切替(PID_マロン, False)\n\n背景(Map_Event_M019_01)\nライト(CharaLight_M019, 0, 0, 0)\n\n章タイトル(CID_M021)\n\nサウンドイベント(BGM_Evt_Consultation)\nサウンドイベント(Env_Evt_Ircion_Harbor_Start)\n\n\nウェイト(2.5)\n\nフェードアウト()\n\nキャラモーション再生(PID_リュール, Normal, WalkIn2, 0.5)\nキャラモーション再生(PID_モーヴ, Normal, WalkIn2)\n\nウェイト(0.5)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_l_normal)\n\nフェードイン()\n\nキャラモーション待ち(PID_モーヴ)\n\nキャラモーション再生(PID_モーヴ, Normal, EmoTalk,, 0.5)\n\nキャラ視線(PID_リュール, PID_モーヴ, PID_モーヴ)\nキャラ視線(PID_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_マロン, PID_モーヴ, PID_モーヴ)
MID_MOVIE1_#011	
MID_MOVIE1_#012	
MID_MOVIE1_#013	
MID_MOVIE1_#013_2	
MID_MOVIE1_#014	
MID_MOVIE1_#014_2	
MID_ED2_#001	
MID_ED2_#002	
MID_ED2_#003	
MID_ED2_#004	
MID_ED2_#005	
MID_ED2_#006	
MID_ED2_#006_2	
MID_ED2_#007	
MID_ED2_#007_2	
MID_ED2_#008	
MID_ED2_#009	
MID_ED2_#010	
MID_ED2_#011	
MID_ED2_#012	
MID_ED2_#013	
MID_ED2_#014	
MID_ED2_#014_2	
MID_ED2_#015	
MID_ED2_#015_2	
MID_ED2_#015_3	
MID_ED2_#015_F	
MID_ED2_#015_F_2	
MID_ED2_#015_F_3	
MID_ED2_#016	
MID_ED2_#017	
MID_ED2_#018	
MID_ED2_#019	
MID_ED2_#020	
MID_ED2_#020_2	
MID_ED2_#020_F	
MID_ED2_#020_F_2	
MID_ED2_#021	
MID_ED2_#022	
MID_ED2_#023	
MID_ED2_#024	
MID_ED2_#024_F	
MID_ED2_#025	
MID_ED2_#026	
MID_ED2_#027	
MID_ED2_#027_2	
MID_MOVIE2_#002	
MID_MOVIE2_#004	
MID_MOVIE2_#006	
MID_MOVIE2_#009	
MID_ED3_#001	背景(Map_Event_M022_02)\nライト(CharaLight_M022, 0, 0, 0)\n\nキャラ配置(PID_ヴェイル_黒_善, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_ヴェイル_黒_悪, ME_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_モーヴ, ME_MID_D, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_ヴァンドレ, ME_MID_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_ディアマンド, ME_OUT_A, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_アルフレッド, ME_OUT_B, [服装], Angry, IdleNormal, 0)\nキャラ配置(PID_ミスティラ, ME_OUT_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_アイビー, ME_OUT_D, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_セピア, YOU_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_グリ, YOU_IN_D, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_M021_異形兵_ソードマスター, YOU_MID_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_M021_異形兵_ハルバーディア, YOU_MID_D, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_M021_異形兵_ベルセルク, YOU_MID_A, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_M021_異形兵_ウォーリアー, YOU_MID_E, [服装], Normal, IdleNormal, 0)\n\nキャラ配置調整(PID_ヴェイル_黒_善, 0, 0, 1.5, 0)\nキャラ配置調整(PID_モーヴ, 1, 0, -1.4, -10)\nキャラ配置調整(PID_ヴァンドレ, 0, 0, -1.2, 0)\nキャラ配置調整(PID_ディアマンド, -0.6, 0, 1.1, 40)\nキャラ配置調整(PID_アルフレッド, -0.4, 0, 0.6, 15)\nキャラ配置調整(PID_ミスティラ, -0.1, 0, 0.3, 0)\nキャラ配置調整(PID_アイビー, 0.1, 0, 0.5, -35)\nキャラ配置調整(PID_セピア, 0, 0, 2.5, 0)\nキャラ配置調整(PID_グリ, 0.1, 0, 1.7, 10)\nキャラ配置調整(PID_M021_異形兵_ソードマスター, -0.2, 0, 1, 0)\nキャラ配置調整(PID_M021_異形兵_ハルバーディア, -0.3, 0, 1.6, 0)\nキャラ配置調整(PID_M021_異形兵_ベルセルク, -0.2, 0, 2, 0)\nキャラ配置調整(PID_M021_異形兵_ウォーリアー, -0.3, 0, 2.6, 0)\n\nキャラ表示切替(PID_ヴェイル_黒_悪, False)\nキャラ表示切替(PID_M021_異形兵_ソードマスター, False)\nキャラ表示切替(PID_M021_異形兵_ハルバーディア, False)\nキャラ表示切替(PID_M021_異形兵_ベルセルク, False)\nキャラ表示切替(PID_M021_異形兵_ウォーリアー, False)\n\nキャラ視線(PID_セピア, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\nキャラ視線(PID_グリ, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\n\nキャラモーション再生(PID_ヴァンドレ, Pain, EmoSad,, 0.5)\nキャラモーション再生(PID_ディアマンド, Strike)\n\nキャラカメラ(CharaCam_Side_Left2_Top, PID_ヴァンドレ, cam_anim_zoom_in_normal)\n\nウェイト(0.3)\n\nフェードイン()
MID_ED3_#002	キャラモーション再生(PID_ヴェイル_黒_善, Angry)\nキャラモーション再生(PID_モーヴ, Angry)\nキャラモーション再生(PID_ミスティラ, Strike)\n\nキャラカメラ(CharaCam_Front_Right_Bot, PID_ヴェイル_黒_善, cam_anim_track2_l_normal)
MID_ED3_#003	キャラモーション再生(PID_ヴェイル_黒_善, Sad)
MID_ED3_#004	キャラモーション再生(PID_セピア, Smile, WalkIn2)\nキャラモーション再生(PID_グリ, Smile, WalkIn2)\nキャラモーション再生(PID_ヴァンドレ, Angry, IdleNormal)\n\nキャラ視線(PID_ヴェイル_黒_善, PID_セピア, PID_セピア)\nキャラ視線(PID_ヴァンドレ, PID_セピア, PID_セピア)\nキャラ視線(PID_アイビー　, PID_セピア, PID_セピア)\nキャラ視線(PID_モーヴ, PID_セピア, PID_セピア)\nキャラ視線(PID_ディアマンド, PID_セピア, PID_セピア)\nキャラ視線(PID_ミスティラ, PID_セピア, PID_セピア)\n\nキャラ表示切替(PID_モーヴ, False)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_ヴェイル_黒_善, cam_anim_track2_r_normal)
MID_ED3_#005	キャラモーション再生(PID_ヴェイル_黒_善, Angry)\nキャラモーション再生(PID_セピア, Smile, IdleNormal)\nキャラモーション再生(PID_グリ, Smile, IdleNormal)\n\nキャラ表示切替(PID_モーヴ, True)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_ヴェイル_黒_善, cam_anim_zoom_in_normal)
MID_ED3_#006	キャラモーション再生(PID_セピア, Sad)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_セピア, cam_anim_track_l_slow)
MID_ED3_#007	キャラモーション再生(PID_セピア, Sad, EmoTalk2,, 0.5)
MID_ED3_#008	キャラモーション再生(PID_ヴェイル_黒_善, Sad)\nキャラモーション再生(PID_セピア, Strike, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴェイル_黒_善, cam_anim_fix)
MID_ED3_#009	一枚絵表示(Tex_Event_Effect_FrameFade_Black, picture_fade_out_slow)\nサウンドイベント(SE_Evt_M022_MindControl_01)\nキャラモーション再生(PID_ヴェイル_黒_善, Pain, EmoSad2,, 0.5)\n\nキャラ視線(PID_モーヴ, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\nキャラ視線(PID_ミスティラ, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\nキャラ視線(PID_アイビー, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\nキャラ視線(PID_ヴァンドレ, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\nキャラ視線(PID_ディアマンド, PID_ヴェイル_黒_善, PID_ヴェイル_黒_善)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴェイル_黒_善, cam_anim_zoom_in_fast)
MID_ED3_#010	キャラモーション再生(PID_モーヴ, Surprise)\nキャラモーション再生(PID_ヴェイル_黒_善, Pain, IdleNormal)\n\nキャラ配置調整(PID_セピア, 0, 0, -0.8, 0)\n\nキャラカメラ(CharaCam_Side_Right2_Top, PID_モーヴ, cam_anim_track_l_normal)
MID_ED3_#011	キャラモーション再生(PID_ヴェイル_黒_善, Pain, EmoDeny2,, 1)\n\nキャラ視線(PID_セピア, PID_モーヴ, PID_モーヴ)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_ヴェイル_黒_善, cam_anim_zoom_in_normal)
MID_ED3_#012	キャラモーション再生(PID_モーヴ, Angry, EmoTalk,, 1)\n\nキャラ視線(PID_モーヴ, PID_セピア, PID_セピア)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_グリ, cam_anim_track2_l_normal)
MID_ED3_#013	キャラモーション再生(PID_セピア, Normal, EmoTalk,, 0.5)\nキャラモーション再生(PID_モーヴ, Angry, IdleNormal)\n\nキャラ表示切替(PID_ヴェイル_黒_善, False)\nキャラ表示切替(PID_ヴェイル_黒_悪, True)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_セピア, cam_anim_zoom_out_slow)
MID_ED3_#014	キャラモーション再生(PID_セピア, Smile, EmoDeny2,, 1)
MID_ED3_#015	キャラモーション再生(PID_モーヴ, Pain)\nキャラモーション再生(PID_セピア, Smile, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_モーヴ, cam_anim_track_r_normal)
MID_ED3_#016	キャラモーション再生(PID_セピア, Normal)\n\nキャラ視線(PID_モーヴ, PID_ヴェイル_黒_悪, PID_ヴェイル_黒_悪)\nキャラ視線(PID_セピア, PID_ヴェイル_黒_悪, PID_ヴェイル_黒_悪)\n\nキャラ表示切替(PID_モーヴ, False)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_ヴェイル_黒_悪, cam_anim_zoom_in_normal)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED3_#017	一枚絵表示(Tex_Event_Effect_FrameFade_Black, picture_fade_in_slow)\nサウンドイベント(SE_Evt_M022_MindControl_02)\nサウンドイベント(SE_Evt_M022_MindControl_03_Play)\nキャラモーション再生(PID_ヴェイル_黒_悪, Serious, EmoSad,, 0.5)\nキャラモーション再生(PID_ミスティラ, Sad)\n\nキャラ表示切替(PID_モーヴ, True)\n\nキャラカメラ(CharaCam_Side_Left2_Top, PID_ヴェイル_黒_悪, cam_anim_quake_w_once)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_ヴェイル_黒_悪, cam_anim_quake_w_once, 2)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Side_Left2_Top, PID_ヴェイル_黒_悪, cam_anim_quake_w_loop, 1)\nサウンドイベント(SE_Evt_M022_MindControl_03_Stop)\nサウンドイベント(SE_Evt_M022_MindControl_04)\nフェードアウト(2)\nウェイト(1.5)\nキャラモーション再生(PID_ヴェイル_黒_悪, Smile)\nキャラモーション再生(PID_ミスティラ, Strike)\n一枚絵非表示()\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_ヴェイル_黒_悪, cam_anim_zoom_out_slow)\nフェードイン()
MID_ED3_#018	
MID_ED3_#019	キャラモーション再生(PID_モーヴ, Sad)\nキャラモーション再生(PID_ヴェイル_黒_悪, Smile, IdleNormal)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_モーヴ, cam_anim_track_r_normal)
MID_ED3_#020	キャラモーション再生(PID_ヴェイル_黒_悪, Strike, EmoTalk,, 0.5)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_ヴェイル_黒_悪, cam_anim_zoom_in_slow)
MID_ED3_#021	キャラモーション再生(PID_ヴェイル_黒_悪, Die)
MID_ED3_#022	キャラモーション再生(PID_セピア, Smile, EmoTalk2,, 0.5)\nキャラモーション再生(PID_ヴェイル_黒_悪, Strike, IdleNormal)\n\nキャラカメラ(CharaCam_Front_Center_Top, PID_セピア, cam_anim_zoom_out_normal)
MID_ED3_#023	キャラモーション再生(PID_グリ, Smile, EmoSad,, 0.5)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_グリ, cam_anim_track_l_normal)
MID_ED3_#024	キャラモーション再生(PID_ヴェイル_黒_悪, Normal)\nキャラモーション再生(PID_セピア, Smile, IdleNormal)\nキャラモーション再生(PID_グリ, Smile, IdleNormal)\n\nキャラ視線リセット(PID_セピア)\nキャラ視線リセット(PID_グリ)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴェイル_黒_悪, cam_anim_track_l_normal)
MID_ED3_#025	キャラモーション再生(PID_セピア, Normal, EmoRelax,, 0.5)\n\nキャラカメラ(CharaCam_Side_Right_Mid, PID_グリ, cam_anim_track_l_normal)
MID_ED3_#026	\n*\nパペット会話中断()\nキャラモーション再生(PID_セピア, Normal, TurnL,, 0.5)\nキャラモーション再生(PID_グリ, Smile, TurnR, 0.3)\n\nキャラ回転(PID_セピア, 190, 1.7)\n\nウェイト(0.3)\nキャラ回転(PID_グリ, 180, 1.6)\n\nウェイト(1.3)\nキャラモーション再生(PID_セピア, Normal, WalkOut,, 1)\n\nウェイト(0.2)\nキャラモーション再生(PID_グリ, Smile, WalkOut,, 1)\n\nウェイト(1)
MID_ED3_#027	キャラモーション再生(PID_ヴェイル_黒_悪, Die)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_ヴェイル_黒_悪, cam_anim_zoom_in_normal)\n\nキャラ表示切替(PID_セピア, False)\nキャラ表示切替(PID_グリ, False)\nキャラ表示切替(PID_M021_異形兵_ソードマスター, True)\nキャラ表示切替(PID_M021_異形兵_ハルバーディア, True)\nキャラ表示切替(PID_M021_異形兵_ベルセルク, True)\nキャラ表示切替(PID_M021_異形兵_ウォーリアー, True)\n\n*\nパペット会話中断()\n\nキャラモーション再生(PID_ヴェイル_黒_悪, Normal,, 2, 0.5)\nキャラ武器装備(PID_M021_異形兵_ソードマスター, IID_銀の剣)\nキャラ武器装備(PID_M021_異形兵_ハルバーディア, IID_ブリューナク)\nキャラ武器装備(PID_M021_異形兵_ベルセルク, IID_ポールアクス)\nキャラ武器装備(PID_M021_異形兵_ウォーリアー, IID_銀の大斧)\n\nウェイト(1.2)\nキャラモーション再生(PID_M021_異形兵_ソードマスター, Normal, WalkIn, 0, 0)\nキャラモーション再生(PID_M021_異形兵_ハルバーディア, Normal, WalkIn, 0.2, 0)\nキャラモーション再生(PID_M021_異形兵_ベルセルク, Normal, WalkIn, 0.4, 0)\nキャラモーション再生(PID_M021_異形兵_ウォーリアー, Normal, WalkIn, 0.6, 0)\n//キャラモーション再生(PID_M021_異形兵_ハルバーディア, Normal, WalkIn, 0.4, 0)\n//キャラモーション再生(PID_M021_異形兵_ベルセルク, Normal, WalkIn, 0.6, 0)\n//キャラモーション再生(PID_M021_異形兵_ウォーリアー, Normal, WalkIn, 0.7, 0)\nウェイト(0.4)\n\n//ウェイト(2.7)\n\nキャラ表示切替(PID_モーヴ, False)\nキャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_ヴェイル_黒_悪, cam_anim_pan_d_slow)\n\nウェイト(1.2)\nキャラ配置調整(PID_M021_異形兵_ソードマスター, 0.2, 0, 0.5, 0)\nキャラ配置調整(PID_M021_異形兵_ハルバーディア, 0.3, 0, -0.1, 0)\nキャラ配置調整(PID_M021_異形兵_ウォーリアー, 0.7, 0, 0, 0)\nキャラカメラ(CharaCam_Back_Center_Mid, PID_ヴェイル_黒_悪, cam_anim_zoom_out_slow)\nキャラモーション再生(PID_ヴェイル_黒_悪, Normal, TurnR,, 0.3)\nキャラ回転(PID_ヴェイル_黒_悪, 180, 1.8)\n\nウェイト(1)
MID_ED3_#028	キャラモーション再生(PID_ヴェイル_黒_悪, Smile, IdleNormal, 1, 0.8)
MID_ED3_#029	キャラカメラ(CharaCam_Front_Center_Top, PID_ディアマンド, cam_anim_track_l_normal)\nキャラ回転(PID_アイビー, 15, 0.2)
MID_ED3_#030	キャラモーション再生(PID_ミスティラ, Sad)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_ミスティラ, cam_anim_zoom_in_normal)\n\n
MID_ED3_#031	キャラモーション再生(PID_ヴェイル_黒_悪, Smile, EmoThink,, 0.5)\n\nキャラカメラ(CharaCam_Shoulder_Right_Mid, PID_ヴェイル_黒_悪, cam_anim_pan_d_slow)
MID_ED3_#032	
MID_ED3_#033	キャラモーション再生(PID_アイビー, Sad, EmoThink,, 0.5)\nキャラモーション再生(PID_ヴェイル_黒_悪, Smile, IdleNormal)\n\n//キャラ配置調整(PID_M021_異形兵_ソードマスター, 0.2, 0, 0.5, 0)\n//キャラ配置調整(PID_M021_異形兵_ハルバーディア, 0.3, 0, -0.1, 0)\n//キャラ配置調整(PID_M021_異形兵_ウォーリアー, 0.7, 0, 0, 0)\n\nキャラ視線(PID_ヴェイル_黒_悪, PID_ミスティラ, PID_ミスティラ)\n\nキャラカメラ(CharaCam_Side_Left2_Mid, PID_アイビー, cam_anim_track_r_normal)
MID_ED3_#034	//シーンカメラ(SceneCam_FrontYou_Center_Mid, cam_anim_pan_d_slow)\nキャラカメラ(CharaCam_Back_Center_Top, PID_ヴェイル_黒_悪, cam_anim_pan_d_slow)\n\nキャラ表示切替(PID_ヴァンドレ, False)
MID_ED3_#035	キャラモーション再生(PID_ヴェイル_黒_悪, Strike, EmoSad2,, 0.5)
MID_ED3_#036	キャラモーション再生(PID_アルフレッド, Sad, EmoSad2,, 0.5)\n\nキャラカメラ(CharaCam_Side_Left3_Top, PID_アルフレッド, cam_anim_track_l_slow)
MID_ED3_#037	\n\n*\n\nフェードアウト()
