MID_OP1_#001	キャラ配置(PID_セピア, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_ED1_#035	キャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)
MID_ED1_#036	キャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_エル, Angry, EmoTalk2,0, 0.5)
MID_ED1_#037	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E002_エル, cam_anim_zoom_out_slow)\n\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_リュール, Sad)
MID_ED1_#038	キャラモーション再生(PID_E002_エル, Angry, EmoDeny2,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#039	キャラモーション再生(PID_E002_エル, Angry, IdleNormal,0,1)
MID_ED1_#040	キャラモーション再生(PID_E002_イル, Angry, EmoTalk2,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#041	キャラカメラ(CharaCam_Front_Center_Mid, PID_E002_イル, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_E002_イル, Sad, EmoDeny2,0,1)\n\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)
MID_ED1_#042	キャラカメラ(CharaCam_Side_Right_Mid, PID_E002_Boss, cam_anim_pan_r_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_イル, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_エル, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Boss, Sad, EmoTalk2,0, 0.5)\nキャラモーション再生(PID_E002_Hide, Sad)
MID_ED1_#043	
MID_ED1_#044	キャラモーション再生(PID_E002_Boss, Angry, EmoRelax,0,1)\nキャラモーション再生(PID_E002_イル, Angry)
MID_ED1_#045	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_イル, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_エル, Normal, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E002_Boss, Angry, IdleNormal,0,1)
MID_ED1_#046	キャラモーション再生(PID_リュール, Surprise)
MID_ED1_#047	キャラモーション再生(PID_E002_イル, Angry, EmoTalk,0, 0.5)
MID_ED1_#048	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_E002_エル, cam_anim_track2_r_normal)\n\nキャラモーション再生(PID_E002_イル, Angry, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E002_Boss, Surprise)
MID_ED1_#049	キャラモーション再生(PID_E002_Boss, Angry, EmoTalk2,0, 0.5)
MID_ED1_#050	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E002_エル, Angry)\nキャラモーション再生(PID_リュール, Angry)
MID_ED1_#051	キャラモーション再生(PID_E002_エル, Normal, EmoRelax,1, 0.5)
MID_ED1_#052	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_u_normal)\n\nキャラ視線(PID_E002_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_Boss, Sad, EmoSad2,0, 0.5)
MID_ED1_#053	キャラモーション再生(PID_E002_Hide, Sad, EmoTalk2,0, 0.5)\n\nキャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)\nキャラ視線(PID_リュール, PID_E002_Hide, PID_E002_Hide)\n\nキャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_E002_Boss, Sad, IdleNormal,0,1)
MID_ED1_#054	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_エル, cam_anim_pan_l_slow)
MID_ED1_#055	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E002_Hide, Sad, EmoDeny2,0, 0.5)
MID_ED1_#056	キャラモーション再生(PID_E002_Hide, Normal, EmoTalk2,0,1)\nキャラモーション再生(PID_E002_Boss, Angry)
MID_ED1_#057	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_エル, cam_anim_pan_l_slow)\n\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_E002_エル, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_リュール, Normal)\nキャラモーション再生(PID_E002_Hide, Angry, IdleNormal,0,1)
MID_ED1_#058	
MID_ED1_#059	キャラモーション再生(PID_E002_エル, Normal, EmoTalk2,0,1)\nキャラモーション再生(PID_リュール, Surprise)
MID_ED1_#060	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E002_Hide, cam_anim_pan_u_normal)\n\nキャラ視線(PID_E002_Hide, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_Hide, Sad)
MID_ED1_#061	キャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoThink,0, 0.5)
MID_ED1_#062	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\n\nキャラモーション再生(PID_リュール, Normal)
MID_ED1_#063	キャラカメラ(CharaCam_Side_Right2_Top, PID_E002_Boss, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E002_Boss, Angry, EmoDeny2,0, 0.5)
MID_ED1_#064	キャラ視線(PID_E002_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_Boss, Sad, IdleNormal,0,1)
MID_ED1_#065	キャラ視線(PID_E002_Boss, PID_リュール, PID_リュール)\nキャラ視線(PID_リュール, PID_E002_Boss, PID_E002_Boss)\n\nキャラモーション再生(PID_E002_Boss, Angry)
MID_ED1_#066	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E002_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_リュール, Normal, EmoNod,0, 0.5)
MID_ED1_#067	キャラモーション再生(PID_E002_Boss, Sad, EmoTalk,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)
MID_ED1_#068	キャラモーション再生(PID_E002_Boss, Sad, EmoNod,0,1)\nキャラモーション再生(PID_E002_Boss, Sad, EmoDeny2, 3.5,1)\nキャラモーション再生(PID_リュール, Surprise)\n\n*\nウェイト(1)
MID_ED1_#069	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E002_Boss, Sad, IdleNormal,0,1)
MID_ED1_#070	キャラモーション再生(PID_リュール, Sad, EmoTalk2,0, 0.5)\n*\nウェイト(1)
MID_ED1_#071	キャラカメラ(CharaCam_Front_Center_Top, PID_E002_Boss, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E002_Boss, Surprise)
MID_ED1_#072	キャラモーション再生(PID_E002_Boss, Serious, EmoSad,0,1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#073	キャラ視線(PID_E002_Boss, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E002_Boss, Sad, EmoDeny2,0,1)\n\nキャラ削除(PID_デモ用_視線設定用)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#074	キャラ配置(PID_デモ用_視線設定用, YOU_IN_C, [服装], Normal, IdleNormal, 0)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_視線設定用, cam_anim_pan_d_slow)\n\nキャラ視線(PID_E002_Hide, PID_E002_Boss, PID_E002_Boss)\nキャラ視線(PID_E002_Boss, PID_E002_Hide, PID_E002_Hide)\n\nキャラ回転(PID_E002_Hide, 45,0.5,0)\n\nキャラモーション再生(PID_E002_Boss, Shy, IdleNormal, 2.5,1)\nキャラモーション再生(PID_E002_Hide, Relax, EmoJoy,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#075	キャラ視線(PID_E002_Hide, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_Boss, PID_E002_エル, PID_E002_エル)\n\nキャラ回転(PID_E002_Hide, -45,0.5,0)\n\nキャラモーション再生(PID_E002_Hide, Normal, TurnL,0, 0.5)\nキャラモーション再生(PID_E002_Boss, Angry)
MID_ED1_#076	キャラモーション再生(PID_E002_Hide, Relax, EmoTalk,0,1)
MID_ED1_#077	キャラモーション再生(PID_E002_Boss, Relax, EmoRelax,0, 0.5)\n\n*\nフェードアウト()
MID_ED2_#001	サウンドイベント(Env_Evt_Wind3_Start)\n\nキャラ配置(PID_E002_セレスティア, YOU_IN_B, [服装], Normal, IdleNormal, 0)\nキャラ配置(PID_リュール, YOU_IN_C, [服装], Normal, IdleNormal, 0)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_IN_BC, [服装], Normal, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5, -1.5)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_E002_イル, ME_IN_B, [服装], Normal, IdleNormal, 180)\nキャラ配置(PID_E002_エル, ME_IN_C, [服装], Normal, IdleNormal, 180)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)\n\n背景(Map_Event_M004_04)\nライト(CharaLight_E002, 0, 0, 0)\n\nキャラモーション再生(PID_リュール, Sad, WalkIn2)\nキャラモーション再生(PID_E002_セレスティア, Normal, WalkIn)\nキャラモーション再生(PID_E002_イル, Normal, WalkIn2)\nキャラモーション再生(PID_E002_エル, Normal, WalkIn2)\n\nキャラカメラ(CharaCam_Side_Right2_Mid, PID_リュール, cam_anim_track_l_slow)\n\nフェードイン()\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_E002_エル)\n\nキャラ回転(PID_E002_セレスティア, -30, 0.5,0)\nキャラ回転(PID_E002_イル, -179, 1.5,0)\nキャラ回転(PID_E002_エル, 160, 1.5,0)\n\nキャラモーション再生(PID_E002_セレスティア, Normal, TurnR,0, 0.5)\nキャラモーション再生(PID_E002_イル, Normal, TurnL,0, 0.5)\nキャラモーション再生(PID_E002_エル, Normal, TurnR,0, 0.5)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nウェイト(0.5)
MID_ED2_#002	キャラモーション再生(PID_E002_イル, Shy, EmoTalk2,0,1)\n\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_エル, PID_E002_イル, PID_E002_イル)
MID_ED2_#003	キャラモーション再生(PID_E002_イル, Shy, IdleNormal,0,1)\nキャラモーション再生(PID_E002_エル, Serious, EmoDeny2,0, 0.5)
MID_ED2_#004	シーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_pan_r_slow)\n\nキャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_リュール, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_イル, Normal)\nキャラモーション再生(PID_E002_エル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Angry, EmoTalk,0, 0.5)
MID_ED2_#005	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E002_エル, Angry, EmoTalk2,0, 0.5)\n\nキャラ配置調整(PID_E002_セレスティア, -0.5,0,-1)
MID_ED2_#006	キャラカメラ(CharaCam_Side_Right2_Mid, PID_リュール, cam_anim_track_l_slow)\nキャラ表示切替(PID_E002_セレスティア, False)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk2,0,1)
MID_ED2_#007	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_イル, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_E002_エル, False)\nキャラ表示切替(PID_E002_セレスティア, True)\n\nキャラモーション再生(PID_E002_セレスティア, Sad, WalkIn2)\n\nキャラ回転(PID_E002_セレスティア, -120,1,1)\nキャラモーション再生(PID_E002_セレスティア, Sad, TurnL,1, 0.5)\n\nキャラ視線(PID_E002_セレスティア, PID_E002_イル, PID_E002_イル)\nキャラ視線リセット(PID_リュール)\n\n*\nウェイト(0.5)
MID_ED2_#008	キャラ視線(PID_E002_イル, PID_E002_セレスティア, PID_E002_セレスティア)\n\nキャラ回転(PID_E002_イル, -15, 0.5,0)\nキャラモーション再生(PID_E002_イル, Shy, TurnL,0, 0.5)\n\nキャラ配置調整(PID_E002_エル,1,0,0)\nキャラ配置調整(PID_リュール,1,0,0)
MID_ED2_#009	キャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_イル, Sad, EmoSad2,0,1)
MID_ED2_#010	キャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_セレスティア, Sad, EmoThinkIn,0, 0.5)
MID_ED2_#011	キャラモーション再生(PID_E002_セレスティア, Sad, EmoThinkOut,0, 0.5)
MID_ED2_#012	キャラカメラ(CharaCam_Front_Center_Mid, PID_E002_エル, cam_anim_zoom_in_fast)\n\nキャラ表示切替(PID_E002_エル, True)\n\nキャラ視線(PID_E002_エル, PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)\n\nキャラ回転(PID_E002_エル, -30, 0.5,0)\nキャラモーション再生(PID_E002_エル, Angry, TurnL,0, 0.5)\n\nキャラ回転(PID_E002_イル, -25, 0.5,0)\nキャラモーション再生(PID_E002_イル, Surprise, TurnR,0, 0.5)\nキャラモーション再生(PID_E002_セレスティア, Surprise)
MID_ED2_#013	キャラ回転(PID_E002_イル, 70,0,0)\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_イル, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_E002_イル, Shy)\nキャラモーション再生(PID_E002_セレスティア, Shy, EmoSurprise2)\n\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_リュール, cam_anim_track_r_slow, 1.5)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_リュール, Sad)\n\nキャラ視線リセット(PID_リュール)\n\n*\nキャラモーション再生(PID_リュール, Sad, EmoLook,0, 0.5)\nウェイト(0.5)
MID_ED2_#014	
MID_ED2_#015	キャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_リュール, Sad, EmoThinkIn,0,1)\nキャラモーション再生(PID_E002_セレスティア, Normal, IdleNormal,0,1)\n\nキャラ配置調整(PID_E002_エル,-1,0,0,30)
MID_ED2_#016	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラ配置調整(PID_リュール,-1,0,0,30)\nキャラ表示切替(PID_リュール, False)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_セレスティア, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E002_イル, Angry, EmoTalk,0, 0.5)
MID_ED2_#017	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_E002_エル, cam_anim_track_r_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラ視線(PID_リュール, PID_E002_イル, PID_E002_イル)\n\nキャラモーション再生(PID_リュール, Normal, EmoThinkOut,0, 0.5)
MID_ED2_#018	キャラモーション再生(PID_E002_イル, Surprise, EmoTalk2,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED2_#019	キャラモーション再生(PID_リュール, Normal, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E002_イル, Normal, IdleNormal,0,1)
MID_ED2_#020	
MID_ED2_#021	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E002_エル, Normal, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\n\nキャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)
MID_ED2_#022	キャラモーション再生(PID_E002_セレスティア, Surprise)\nキャラモーション再生(PID_E002_イル, Sad)
MID_ED2_#023	キャラモーション再生(PID_E002_エル, Normal, EmoTalk2,0,1)
MID_ED2_#024	キャラモーション再生(PID_E002_エル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)
MID_ED2_#025	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E002_イル, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_リュール, False)\n\nキャラ視線(PID_E002_エル, PID_E002_セレスティア, PID_E002_セレスティア)\nキャラ視線(PID_E002_イル, PID_E002_セレスティア, PID_E002_セレスティア)\n\nキャラモーション再生(PID_E002_セレスティア, Surprise, EmoTalk2,0 ,0.5)
MID_ED2_#026	
MID_ED2_#027	キャラモーション再生(PID_E002_イル, Shy, EmoTalk,0, 0.5)
MID_ED2_#028	キャラモーション再生(PID_E002_セレスティア, Shy, EmoPray,0 ,0.5)
MID_ED2_#029	キャラモーション再生(PID_E002_イル, Shy, EmoShy,0, 0.5)\nキャラモーション再生(PID_E002_イル, Shy, EmoNod,1,1)
MID_ED2_#030	キャラカメラ(CharaCam_Side_Left_Mid, PID_E002_エル, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_E002_イル, Normal, IdleNormal,0,1)\nキャラモーション再生(PID_E002_エル, Normal, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E002_セレスティア, Shy, IdleNormal,0,1)\n\nキャラ視線(PID_E002_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E002_セレスティア, PID_E002_エル, PID_E002_エル)\nキャラ視線(PID_E002_イル, PID_リュール, PID_リュール)\nウェイト(0.3)\nキャラ視線(PID_E002_イル, PID_E002_エル, PID_E002_エル)
MID_ED2_#031	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_リュール, cam_anim_pan_r_slow)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_リュール, Angry, EmoPray,0,1)\n\n*\n\nサウンドイベント(Env_Evt_Wind3_End)\nフェードアウト()
MID_ED3_#001	サウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence)\n一枚絵表示(Tex_Event_DLC_Recollection_2, picture_fade_in_slow)\nテロップエフェクト表示(Effects/Telop/Prefabs/Eff_Telop_Recollection_Loop, False)\nフェードイン()
MID_ED3_#002	
MID_ED3_#003	
MID_ED3_#004	
MID_ED3_#005	
MID_ED3_#006	
MID_ED3_#007	
MID_ED3_#008	
MID_ED3_#009	
MID_ED3_#010	
MID_ED3_#011	
MID_ED3_#012	
MID_ED3_#013	
MID_ED3_#014	
MID_ED3_#015	*\nフェードアウト()\nサウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence_Stop_Slow)\nテロップエフェクト削除
