MID_OP1_#001	キャラ配置(PID_E001_エル, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_ED2_#003	キャラ表示切替(PID_E001_エル,False)\nキャラ表示切替(PID_E001_イル,False)\n\nキャラカメラ(CharaCam_Side_Left2_Bot, PID_リュール, cam_anim_track_r_slow)\n\n一枚絵非表示()\nウェイト(0.5)\nウェイト(0.5)\n\nキャラ視線(PID_リュール, PID_E001_エル, PID_E001_エル)\n\n*\nウェイト(1)
MID_ED2_#004	キャラ表示切替(PID_E001_エル,True)\nキャラ表示切替(PID_E001_イル,True)\n\nシーンカメラ(SceneCam_ViewFromYou_Center_Mid, cam_anim_zoom_in_normal)\n\nキャラモーション再生(PID_E001_エル, Serious, EmoDeny2,0,0.5)
MID_ED2_#005	キャラ回転(PID_E001_イル,130,1.5,0)\nキャラ配置調整(PID_デモ用_視線設定用,0.15,0,2)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E001_イル, Shy, TurnR,0,1.5)\nキャラモーション再生(PID_E001_イル, Shy, EmoTalk2,1,0.5)\n\nキャラモーション再生(PID_E001_エル, Normal, IdleNormal,0,1)
MID_ED2_#006	キャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラ表示切替(PID_E001_エル,False)\nキャラ表示切替(PID_E001_イル,False)\n\nキャラ配置調整(PID_E001_イル, -0.2 ,0,0,15)\nキャラ配置調整(PID_E001_エル, 0.2,0, 0.15, -30)\n\nキャラモーション再生(PID_リュール, Angry)\nキャラモーション再生(PID_E001_エル, Normal)
MID_ED2_#007	キャラモーション再生(PID_リュール, Angry, WalkOut,1,1)\n\n*\nパペット会話中断()\nキャラモーション待ち(PID_リュール)\n\nキャラ配置調整(PID_リュール, -0.05,0, 3,0)\n\nウェイト(1)\nキャラモーション再生(PID_リュール, Sad, WalkIn2)\n\nキャラ表示切替(PID_E001_エル,True)\nキャラ表示切替(PID_E001_イル,True)\n\nキャラ視線リセット(PID_E001_イル)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow,1)
MID_ED2_#008	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E001_イル, Shy, TurnL,0,1.5)\nキャラ回転(PID_E001_イル,-115,1.5,0)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E001_エル, Die, EmoPray,0,1)\n\nウェイト(1.5)
MID_ED2_#009	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_リュール, cam_anim_zoom_out_slow)\nキャラ視線(PID_E001_イル, PID_リュール, PID_リュール)
MID_ED2_#010	キャラ配置調整(PID_デモ用_視線設定用, 1.5, 0.2, -1)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E001_エル, Normal)\nキャラ視線(PID_E001_エル, PID_リュール, PID_リュール)
MID_ED2_#011	キャラ視線(PID_E001_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ回転(PID_E001_エル,15,1,0)\nキャラモーション再生(PID_E001_エル, Die, TurnR,0,0.5)\n\nウェイト(1.5)
MID_ED2_#012	キャラ配置調整(PID_デモ用_視線設定用, -1.5, -0.2,1)\n\nキャラモーション再生(PID_リュール, Angry, EmoNod,0,1)\nキャラモーション再生(PID_E001_エル, Normal)\nキャラモーション再生(PID_E001_イル, Normal)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E001_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E001_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)
MID_ED2_#013	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Die, EmoPray,0,1)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,3,1)\n\n*\nサウンドイベント(Env_Evt_Wind3_End)\nフェードアウト()\n
MID_ED3_#001	一枚絵表示(Tex_Event_DLC_Recollection_1, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence)\nテロップエフェクト表示(Effects/Telop/Prefabs/Eff_Telop_Recollection_Loop, False)\nフェードイン()
MID_ED3_#002	
MID_ED3_#003	
MID_ED3_#004	
MID_ED3_#005	
MID_ED3_#006	
MID_ED3_#007	
MID_ED3_#008	フェードアウト()\nウェイト(0.3)\n一枚絵非表示()\n一枚絵表示(Tex_Event_DLC_Recollection_1a, picture_fade_in_slow)\nフェードイン()\nウェイト(0.3)
MID_ED3_#009	一枚絵非表示()
MID_ED3_#010	*\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)
MID_ED3_#011	一枚絵表示(Tex_Event_DLC_Recollection_1a, picture_fade_in_slow)
MID_ED3_#012	
MID_ED3_#013	
MID_ED3_#014	*\nフェードアウト()\nテロップエフェクト削除\nサウンドイベント(SE_DLC_Evt_E001_ED3_Reminiscence_Stop_Slow)
