MID_OP1_#001	キャラ配置(PID_マロン, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_ED1_#021	サウンドイベント(SE_DLC_Evt_E004_ED1_Damage1)\nキャラモーション再生(PID_E004_Boss, Pain)\n\n*\nウェイト(2)\nサウンドイベント(SE_DLC_Evt_E003_ED3_FallDown)\n\nパペット会話中断()\nウェイト(1.5)
MID_ED1_#022	キャラ削除(PID_E004_Boss)\nキャラ表示切替(PID_E004_Hide, True)\nキャラ回転(PID_E004_Hide,30,0,0)\nキャラ視線(PID_E004_Hide, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラカメラ(CharaCam_Front_Center_Top, PID_E004_Hide, cam_anim_zoom_in_slow)\n一枚絵非表示()\nフェードイン(0.5)\nウェイト(0.5)\nキャラモーション再生(PID_E004_Hide, Surprise, EmoSurprise2,0, 0.5)\n\nキャラ配置(PID_E004_エル, YOU_IN_CD, [服装], Angry, IdleNormal,180)\nキャラ回転(PID_リュール,30,0,0)\n\n*\nパペット会話中断()
MID_ED1_#023	キャラモーション再生(PID_E004_Hide, Pain, EmoSurprise,0,1)\nウェイト(1)\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E004_ED1_Damage2)\n\n*\nウェイト(2)\nサウンドイベント(SE_DLC_Evt_E003_ED3_FallDown)\n\nパペット会話中断()\nウェイト(2)\nキャラ削除(PID_E004_Hide)
MID_ED1_#024	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_E004_エル, cam_anim_track_l_slow)\n\nキャラ配置調整(PID_デモ用_視線設定用,0.4, -3.35,3)\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_エル, Normal, EmoGive)\n\nウェイト(0.8)\n一枚絵非表示()\nウェイト(0.5)\n\nキャラモーション再生(PID_E004_イル, Surprise)\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_マデリーン, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Surprise)
MID_ED1_#025	
MID_ED1_#026	キャラモーション再生(PID_リュール, Angry, EmoSurprise2,0, 0.5)
MID_ED1_#027	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラ回転(PID_E004_エル,90,1,0)\nキャラモーション再生(PID_E004_エル, Angry, TurnR,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise)
MID_ED1_#028	キャラ回転(PID_E004_エル,-90,1,0)\nキャラ視線リセット(PID_E004_エル)\nキャラモーション再生(PID_E004_エル, Serious, TurnL,0, 0.5)\n\nキャラモーション再生(PID_E004_エル, Normal, WalkOut, 1.5,1)\n\n*\nウェイト(1)
MID_ED1_#029	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Angry)\n\n*\nウェイト(0.5)\nフェードアウト()
MID_ED2_#001	キャラ配置(PID_E004_イル, ME_IN_B, [服装], Normal, IdleNormal,5)\nキャラ配置調整(PID_E004_イル,0,0, -0.3)\nキャラ配置(PID_E004_エル, ME_IN_C, [服装], Normal, IdleNormal,-10)\nキャラ配置調整(PID_E004_エル,0,0, -0.3)\nキャラ配置(PID_リュール, ME_IN_D, [服装], Angry, IdleNormal,-30)\nキャラ配置調整(PID_リュール,0,0, -0.3)\n\nキャラ配置(PID_M011_モーヴ, ME_MID_AB, [服装], Angry, IdleNormal,20)\nキャラ配置調整(PID_M011_モーヴ, 0.2,0,-0.7)\nキャラ配置(PID_E004_グレゴリー, ME_MID_BC, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_E004_グレゴリー, 0.1,0,-0.5)\nキャラ配置(PID_E004_セレスティア, ME_MID_CD, [服装], Angry, IdleNormal, 0)\nキャラ配置調整(PID_E004_セレスティア,0.15,0,-0.8)\nキャラ配置(PID_E004_マデリーン, ME_MID_DE, [服装], Angry, IdleNormal,-20)\nキャラ配置調整(PID_E004_マデリーン, -0.1,0,-0.5)\n\nキャラ配置(GID_E004_敵セネリオ, YOU_IN_C, [服装], Normal, IdleNormal,0)\nキャラ配置(GID_E004_敵カミラ, YOU_IN_D, [服装], Normal, IdleNormal,0)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_D, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5,0)\nキャラ表示切替(PID_デモ用_視線設定用, False)\n\nキャラ配置(PID_デモ用_視線設定用2, YOU_IN_CD, [服装], Angry, IdleNormal,0)\nキャラ配置調整(PID_デモ用_視線設定用2, 0.7, 0.07, 0.55)\nキャラ表示切替(PID_デモ用_視線設定用2, False)\n\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\n背景(Map_Event_M009_04)\nライト(CharaLight_E004, 0, 0, 0)\n\nキャラ視線(PID_E004_イル, GID_E004_敵セネリオ, GID_E004_敵セネリオ)\nキャラ視線(PID_E004_エル, GID_E004_敵セネリオ, GID_E004_敵セネリオ)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E004_グレゴリー, GID_E004_敵セネリオ, GID_E004_敵セネリオ)\nキャラ視線(PID_E004_セレスティア, GID_E004_敵セネリオ, GID_E004_敵セネリオ)\nキャラ視線(PID_E004_マデリーン, GID_E004_敵セネリオ, GID_E004_敵セネリオ)\n\nキャラ視線(GID_E004_敵セネリオ, PID_E004_エル, PID_E004_エル)\nキャラ視線(GID_E004_敵カミラ, PID_E004_エル, PID_E004_エル)\n\nシーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E004_エル, Die, EmoPray,0, 0.5)\nキャラモーション再生(PID_E004_エル, Normal, IdleNormal,3,1)\n\nサウンドイベント(Env_Evt_Ircion_Snow_Start)\n\nフェードイン()
MID_ED2_#002	キャラカメラ(CharaCam_Side_Right_Mid, GID_E004_敵セネリオ, cam_anim_pan_r_slow)\n\nキャラモーション再生(GID_E004_敵セネリオ, Die)
MID_ED2_#003	キャラモーション再生(GID_E004_敵セネリオ, Normal, EmoNod,0, 0.5)
MID_ED2_#004	キャラカメラ(CharaCam_SideLong_Right_Mid, GID_E004_敵カミラ, cam_anim_track_l_slow)\n\nキャラモーション再生(GID_E004_敵カミラ, Shy, EmoThinkIn,0, 0.5)\nキャラモーション再生(GID_E004_敵セネリオ, Normal, IdleNormal,0,1)
MID_ED2_#005	キャラモーション再生(GID_E004_敵カミラ, Shy, EmoThinkOut,0, 0.5)\n\n*\nパペット会話中断()\n一枚絵表示(Tex_Event_Effect_White, picture_fade_in_slow)\nサウンドイベント(SE_DLC_Evt_E001_Ring_Sleep)\nサウンドイベント(BGM_DLC_Evt_Past_Stop_Normal)\n\nキャラモーション再生(PID_E004_エル, Die, EmoPray,0, 0.5)\n\nウェイト(1)\nキャラ表示切替(GID_E004_敵セネリオ,False)\nキャラ表示切替(GID_E004_敵カミラ,False)
MID_ED2_#006	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\n\n一枚絵非表示()\n白フェードイン(2)\nウェイト(0.5)\n\nキャラモーション再生(PID_E004_エル, Die, EmoNod,0,1)
MID_ED2_#007	キャラモーション再生(PID_E004_エル, Normal, IdleNormal,0,1)\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_M011_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_マデリーン, PID_リュール, PID_リュール)
MID_ED2_#008	キャラ回転(PID_リュール,-45,0.5,0)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\nキャラモーション再生(PID_リュール, Angry, TurnL,0, 0.5)\nキャラモーション再生(PID_E004_イル, Angry)
MID_ED2_#009	キャラモーション再生(PID_リュール, Angry, EmoSurprise2,0, 0.5)
MID_ED2_#010	キャラモーション再生(PID_E004_エル, Normal, EmoTalk2,0, 0.5)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)
MID_ED2_#011	キャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)
MID_ED2_#012	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_E004_エル, cam_anim_zoom_out_normal)\n\nキャラモーション再生(PID_E004_エル, Normal, EmoDeny,0, 0.5)\n\nサウンドイベント(Env_Evt_Ircion_Snow_End)
MID_ED2_#013	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E004_イル, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_マデリーン, Surprise)
MID_ED2_#014	キャラモーション再生(PID_E004_エル, Normal, EmoSad2,0, 0.5)
MID_ED2_#015	キャラモーション再生(PID_リュール, Sad, EmoTalk,0, 0.5)
MID_ED2_#016	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_E004_マデリーン, cam_anim_pan_u_normal)\n\nキャラ表示切替(PID_リュール, False)\nキャラ表示切替(PID_E004_エル, False)\nキャラ表示切替(PID_E004_イル, False)\n\nキャラモーション再生(PID_E004_グレゴリー, Pain, EmoSad,0, 0.5)\nキャラモーション再生(PID_M011_モーヴ, Angry)\n\nキャラ視線(PID_E004_グレゴリー, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_セレスティア, PID_E004_グレゴリー, PID_E004_グレゴリー)\nキャラ視線(PID_E004_マデリーン, PID_E004_グレゴリー, PID_E004_グレゴリー)
MID_ED2_#017	キャラモーション再生(PID_E004_セレスティア, Angry, EmoThink,0, 0.5)\nキャラモーション再生(PID_E004_グレゴリー, Angry)\n\nキャラ視線(PID_E004_グレゴリー, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_M011_モーヴ, PID_E004_セレスティア, PID_E004_セレスティア)\nキャラ視線(PID_E004_マデリーン, PID_E004_セレスティア, PID_E004_セレスティア)
MID_ED2_#018	キャラモーション再生(PID_E004_マデリーン, Angry, EmoDeny,0, 0.5)\n\nキャラ視線(PID_E004_グレゴリー, PID_E004_マデリーン, PID_E004_マデリーン)\nキャラ視線(PID_M011_モーヴ, PID_E004_グレゴリー, PID_E004_マデリーン)\nキャラ視線(PID_E004_セレスティア, PID_E004_マデリーン, PID_E004_マデリーン)\n\n*\nウェイト(0.5)
MID_ED2_#019	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E004_イル, cam_anim_track_r_slow)\n\nキャラ表示切替(PID_リュール, True)\nキャラ表示切替(PID_E004_エル, True)\nキャラ表示切替(PID_E004_イル, True)\n\nキャラ視線(PID_E004_グレゴリー, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_M011_モーヴ, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_セレスティア, PID_M011_モーヴ, PID_M011_モーヴ)\nキャラ視線(PID_E004_マデリーン, PID_M011_モーヴ, PID_M011_モーヴ)\n\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_M011_モーヴ, Angry, EmoTalk2,0, 0.5)\n\nキャラ回転(PID_E004_イル, 30,1,0)\nキャラモーション再生(PID_E004_イル, Angry, TurnR,0, 0.5)
MID_ED2_#020	キャラ視線(PID_E004_セレスティア, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_マデリーン, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_イル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_イル, Angry, EmoTalk,0, 0.5)\nキャラモーション再生(PID_E004_イル, Angry, EmoThinkIn, 2,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#021	キャラモーション再生(PID_E004_イル, Sad)\n\n*\nパペット会話中断()\nウェイト(1.5)
MID_ED2_#022	キャラカメラ(CharaCam_Side_Left2_Top, PID_E004_エル, cam_anim_track_r_slow)\n\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\n\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_エル, Serious)\nキャラモーション再生(PID_E004_イル, Angry, EmoThinkOut, 2.5,1)
MID_ED2_#023	キャラモーション再生(PID_E004_エル, Normal, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_E004_イル, Angry, IdleNormal,0,1)
MID_ED2_#024	キャラ配置調整(GID_E004_敵カミラ,-0.3,0,-1.5)\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, GID_E004_敵カミラ, cam_anim_track_l_slow)\n\nキャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_リュール, Sad)
MID_ED2_#025	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoTalk,0, 0.5)
MID_ED2_#026	キャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_リュール, Angry, EmoTalk,0, 0.5)
MID_ED2_#027	キャラモーション再生(PID_E004_エル, Serious, EmoNod,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,0,1)
MID_ED2_#028	キャラ視線(PID_E004_エル, GID_E004_敵セネリオ, GID_E004_敵セネリオ)\nキャラモーション再生(PID_E004_エル, Normal)
MID_ED2_#029	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E004_エル, cam_anim_track_l_slow)\n\nキャラ視線(PID_E004_エル, PID_リュール, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_エル, Angry)
MID_ED2_#030	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_E004_エル, Angry, EmoTalk,0, 0.5)
MID_ED2_#031	キャラカメラ(CharaCam_Side_Right_Mid, PID_リュール, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラ削除(PID_E004_エル)\n\n*\nパペット会話中断()\nウェイト(1)\nキャラ配置(PID_E004_エル, YOU_MID_CD, [服装], Normal, IdleNormal,180)\n\nキャラ回転(PID_リュール,75,0,0)\nキャラ回転(PID_E004_イル,-30,0,0)\n\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)
MID_ED2_#032	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E004_エル, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E004_エル, Sad, WalkIn2)
MID_ED2_#033	キャラモーション再生(PID_E004_エル, Sad, EmoDeny,0, 0.5)
MID_ED2_#034	キャラカメラ(CharaCam_Shoulder_Right_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラ回転(PID_E004_エル,90,1,0)\nキャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\nキャラモーション再生(PID_E004_エル, Sad, TurnR,0, 0.5)
MID_ED2_#035	
MID_ED2_#036	キャラモーション再生(PID_リュール, Sad, EmoTalk2,0, 0.5)
MID_ED2_#037	キャラモーション再生(PID_E004_エル, Die, EmoDeny2,0, 0.5)
MID_ED2_#038	
MID_ED2_#039	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール)\nキャラ視線(PID_M011_モーヴ, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_グレゴリー, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_セレスティア, PID_リュール, PID_リュール)\nキャラ視線(PID_E004_マデリーン, PID_リュール, PID_リュール)\n\nキャラモーション再生(PID_リュール, Sad, EmoRelax,0, 0.5)\nキャラモーション再生(PID_E004_イル, Sad)\nキャラモーション再生(PID_M011_モーヴ, Sad)\nキャラモーション再生(PID_E004_グレゴリー, Sad)\nキャラモーション再生(PID_E004_セレスティア, Sad)\nキャラモーション再生(PID_E004_マデリーン, Sad)
MID_ED2_#040	キャラ視線(PID_リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_リュール, Sad, EmoSad2,0,1)
MID_ED2_#041	
MID_ED2_#042	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_リュール, Relax, EmoTalk,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED2_#043	*\nパペット会話中断()\n白フェードアウト()\n\n背景(Map_Event_M002_03)\nライト(CharaLight_M002, 0, 0, 0)\nエフェクト削除(Effect01)\n\nキャラ配置(PID_青リュール, YOU_IN_A, [服装], Smile, IdleNormal,0, True)\n一枚絵表示(Tex_Event_Effect_FrameFade_White, picture_fade_in_slow)\n\nキャラカメラ(CharaCam_FrontLong_CenterDLC_Mid, PID_青リュール, cam_anim_pan_u_slow)\n\nキャラモーション再生(PID_青リュール, Smile, EmoTalk,0, 0.5)\n\n白フェードイン()\nウェイト(1)
MID_ED2_#044	白フェードアウト()\nサウンドイベント(SE_DLC_Evt_E004_ED2_Flash)\nウェイト(0.5)\n一枚絵非表示()\nキャラ削除(PID_青リュール)\n\n背景(Map_Event_M009_04)\nライト(CharaLight_E004, 0, 0, 0)\nエフェクト表示(Effect01, Effects/Event/M009_MID_ED1/Prefabs/M009_MID_ED1)\n\nキャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_fix)\nフェードイン()\n\nキャラ視線リセット(PID_E004_エル)\nキャラ回転(PID_E004_エル,65,0,0)\nキャラモーション再生(PID_E004_エル, Surprise)\nキャラカメラ(CharaCam_Side_Right_Mid, PID_E004_エル, cam_anim_pan_r_slow,1)\n\nキャラ配置調整(PID_デモ用_視線設定用,0,0,-0.5)\n\n*\nパペット会話中断()\nウェイト(1.5)
MID_ED2_#045	キャラモーション再生(PID_E004_エル, Pain, EmoSad,0, 0.5)\n\nキャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_pan_l_slow,4)\n\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise2,4, 0.5)\nキャラモーション再生(PID_E004_イル, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_マデリーン, Surprise)\n\n*\nウェイト(1)
MID_ED2_#046	キャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_リュール, Sad, WalkOut,1,1)\n\n*\nウェイト(1)
MID_ED2_#047	キャラ配置調整(PID_デモ用_視線設定用, -0.3, 1.5, 0.85)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_zoom_out_fast)\n\nキャラモーション再生(PID_E004_エル, Pain, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)\n\nキャラ配置調整(PID_リュール,0,0,1.5)\nキャラ表示切替(PID_リュール, False)\n\n*\nウェイト(0.5)\nサウンドイベント(SE_DLC_Evt_E004_ED2_Blow)\nキャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E004_エル, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_リュール, True)\nキャラモーション再生(PID_リュール, Surprise, EmoSurprise)\n\nウェイト(1)
MID_ED2_#048	キャラ配置調整(PID_デモ用_視線設定用, 0.3, -1.5, -0.85)\nキャラモーション再生(PID_リュール, Sad, EmoTalk, 0.5,1)\n\nキャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#049	*\nパペット会話中断()\nウェイト(1)
MID_ED2_#050	キャラカメラ(CharaCam_Side_Right2_Mid, PID_E004_エル, cam_anim_track_l_slow)\nキャラ表示切替(PID_リュール, False)\n\nキャラ視線(PID_M011_モーヴ, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_グレゴリー, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_マデリーン, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_リュール, PID_E004_エル, PID_E004_エル)\n\nキャラモーション再生(PID_E004_エル, Serious, EmoNod,0, 0.5)\n\nキャラ削除(PID_E004_セレスティア)
MID_ED2_#051	キャラモーション再生(PID_E004_エル, Pain, EmoDeny2,0, 0.5)\n\nキャラ配置(PID_E004_セレスティア, ME_IN_C, [服装], Normal, IdleNormal, -40)\nキャラ配置調整(PID_E004_セレスティア,0,0, -0.3)\n\nキャラ表示切替(PID_E004_セレスティア, False)
MID_ED2_#052	キャラ配置調整(GID_E004_敵セネリオ,-0.3,-0.2,-1)\n\nキャラカメラ(CharaCam_Shoulder_Left_Mid, GID_E004_敵セネリオ, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E004_イル, Angry, EmoSurprise2,0 ,0.5)
MID_ED2_#053	キャラ表示切替(PID_E004_セレスティア, True)\n\nキャラ視線(PID_E004_セレスティア, PID_E004_イル, PID_E004_イル)\nキャラ視線(PID_E004_イル, PID_E004_セレスティア, PID_E004_セレスティア)\n\nキャラモーション再生(PID_E004_セレスティア, Angry, WalkIn2)\nキャラモーション再生(PID_E004_イル, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Sad)\nキャラモーション再生(PID_E004_マデリーン, Sad)\nキャラモーション再生(PID_E004_グレゴリー, Sad)\n\n*\nウェイト(1)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nキャラ視線(PID_E004_イル, PID_リュール, PID_リュール, 0.5)\nウェイト(1)\nキャラ視線(PID_E004_イル, PID_E004_エル, PID_E004_エル)\nウェイト(1)
MID_ED2_#054	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E004_エル, cam_anim_zoom_in_slow)\nキャラモーション再生(PID_E004_エル, Sad)\nキャラモーション再生(PID_E004_イル, Sad)\n\nキャラ視線(PID_E004_セレスティア, PID_E004_エル, PID_E004_エル)\n\nキャラ回転(PID_E004_セレスティア,20,0,0)\nキャラ配置調整(PID_E004_マデリーン, -0.4,0, -0.1)
MID_ED2_#055	キャラモーション再生(PID_E004_エル, Serious)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#056	キャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラモーション再生(PID_E004_エル, Pain)
MID_ED2_#057	キャラモーション再生(PID_E004_エル, Shy, EmoDeny2,0, 0.5)
MID_ED2_#058	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール)\n\nキャラ回転(PID_リュール,-15,0,0)\n\nキャラモーション再生(PID_E004_エル, Shy, EmoDeny2,0, 0.5)
MID_ED2_#059	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\nキャラ表示切替(PID_リュール, True)\n\nキャラモーション再生(PID_リュール, Sad, EmoTalk,0, 0.5)
MID_ED2_#060	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_視線設定用2, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E004_エル, Pain, EmoSurprise2,0, 0.5)\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)
MID_ED2_#061	キャラ視線(PID_E004_エル, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_E004_エル, Serious, EmoSad,0.5,1)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#062	キャラカメラ(CharaCam_Side_Left2_Mid, PID_リュール, cam_anim_zoom_in_fast)\n\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E004_イル, Surprise)\nキャラモーション再生(PID_M011_モーヴ, Surprise)\nキャラモーション再生(PID_E004_グレゴリー, Surprise)\nキャラモーション再生(PID_E004_セレスティア, Surprise)\nキャラモーション再生(PID_E004_マデリーン, Surprise)
MID_ED2_#063	キャラ配置調整(PID_デモ用_視線設定用,0, 1.55, 0.4)\nキャラカメラ(CharaCam_Side_Right2_Top, PID_デモ用_視線設定用, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E004_エル, Pain, EmoDeny2,0, 0.5)
MID_ED2_#064	キャラモーション再生(PID_E004_エル, Pain, EmoSad2,0,1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED2_#065	キャラ視線(PID_E004_エル, PID_リュール, PID_リュール, 0.5)\n\nキャラモーション再生(PID_E004_イル, Sad)\nキャラモーション再生(PID_M011_モーヴ, Sad)\nキャラモーション再生(PID_E004_グレゴリー, Sad)\nキャラモーション再生(PID_E004_セレスティア, Sad)\nキャラモーション再生(PID_E004_マデリーン, Sad)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED2_#066	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E004_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Sad, EmoTalk,0, 0.5)
MID_ED2_#067	キャラモーション再生(PID_E004_エル, Sad, EmoDeny2,0, 0.5)\nキャラモーション再生(PID_リュール, Sad, IdleNormal,0,1)
