MID_OP1_#001	キャラ配置(PID_青リュール, ME_IN_C, [服装], Normal, IdleNormal, 0)\n\n背景(Map_Event_S010_01)\nライト(CharaLight_S010, 0, 0, 0)\n\nフェードイン()
MID_ED1_#036	キャラカメラ(CharaCam_Side_Left2_Bot, PID_E006_エル, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_リュール, PID_E006_エル, PID_E006_エル)\nキャラ視線(PID_E006_セレスティア, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_E006_エル, Sad)
MID_ED1_#037	キャラカメラ(CharaCam_ShoulderLong_Right_Mid, PID_リュール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_E005_Boss, Angry, IdleNormal,0, 1)
MID_ED1_#038	キャラ視線(PID_E006_エル, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\n\nキャラモーション再生(PID_E006_エル, Angry)
MID_ED1_#039	
MID_ED1_#040	キャラモーション再生(PID_E006_エル, Serious)\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E006_エル, cam_anim_zoom_in_slow)
MID_ED1_#041	キャラ視線(PID_E006_エル, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_E006_エル, Shy)
MID_ED1_#042	キャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_l_slow)\nキャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_E005_Boss, Surprise)\nキャラモーション再生(PID_E005_Boss, Angry, EmoDeny2, 3.2, 0.5)
MID_ED1_#043	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_E005_Boss, cam_anim_track2_l_normal)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E006_セレスティア, Sad)\n\nキャラモーション再生(PID_E006_エル, Sad, EmoSad2,0, 0.5)\nキャラモーション再生(PID_E005_Boss, Angry, IdleNormal,0,1)
MID_ED1_#044	キャラモーション再生(PID_E006_エル, Shy)
MID_ED1_#045	キャラモーション再生(PID_E006_エル, Shy, EmoTalk2,0,1)
MID_ED1_#046	
MID_ED1_#047	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_track_l_slow)
MID_ED1_#048	キャラモーション再生(PID_E006_エル, Sad, EmoDeny2,0,1)
MID_ED1_#049	
MID_ED1_#050	キャラモーション再生(PID_E006_エル, Die)
MID_ED1_#051	キャラモーション再生(PID_E006_エル, Shy, EmoTalk,0,1)
MID_ED1_#052	キャラカメラ(CharaCam_Side_Left2_Mid, PID_E006_エル, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Sad)\nキャラモーション再生(PID_E006_セレスティア, Sad)\n\nキャラモーション再生(PID_E006_エル, Shy, EmoSad2,0, 0.5)
MID_ED1_#053	キャラ視線(PID_E006_エル, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\nキャラモーション再生(PID_E006_エル, Serious)
MID_ED1_#054	キャラモーション再生(PID_E006_エル, Sad)
MID_ED1_#055	キャラカメラ(CharaCam_Side_Right_Mid, PID_E005_Boss, cam_anim_pan_r_slow)\n\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用2, PID_デモ用_視線設定用2)\n\nキャラモーション再生(PID_E005_Boss, Serious)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#056	キャラ視線(PID_E005_Boss, PID_E006_エル, PID_E006_エル)\nキャラ視線(PID_E006_エル, PID_E005_Boss, PID_E005_Boss)\n\nキャラモーション再生(PID_E005_Boss, Normal)
MID_ED1_#057	キャラカメラ(CharaCam_Front_Center_Mid, PID_E006_エル, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E006_エル, Serious)
MID_ED1_#058	キャラカメラ(CharaCam_Front_Center_Mid, PID_E005_Boss, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_E005_Boss, Shy)\nキャラアニメーター切替(PID_E006_エル, Unit/Anim/Demo/AOC_Demo_Hum0F)
MID_ED1_#059	キャラモーション再生(PID_E005_Boss, Die)\n\nキャラモーション再生(PID_E006_エル, Strike)\nキャラ武器装備(PID_E006_エル, 鉄のナイフ)\nキャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_E006_セレスティア, Surprise)\n\n*\nキャラカメラ(CharaCam_Front_Center_Mid, PID_E006_エル, cam_anim_zoom_in_slow)
MID_ED1_#060	ウェイト(1)\n\n*\nパペット会話中断()\nキャラモーション再生(PID_E006_エル, Strike, EmoWave,0, 0.45)\nキャラモーション再生(PID_E006_エル, Strike, EmoSad, 0.5, 2.2)\nウェイト(0.5)\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\n\nウェイト(2.5)
MID_ED1_#061	フェードアウト()\n\nサウンドイベント(SE_DLC_Evt_E006_ED1_Stab)\n一枚絵表示(Tex_Event_DLC_Picture_10)\n\nウェイト(0.8)\n\nフェードイン()
MID_ED1_#062	キャラアニメーター切替(PID_E006_エル, Unit/Anim/Hub/AOC_Hub_Hum0F)\nキャラモーション再生(PID_E006_エル, Die, RestLie1)\n\nキャラ武器装備解除(PID_E006_エル)\n\nキャラ表示切替(PID_E005_Boss,True)\n\nキャラモーション再生(PID_リュール, Pain)\nキャラモーション再生(PID_E006_セレスティア, Pain)\nキャラモーション再生(PID_E005_Boss, Surprise, Reserve1)\n\nキャラ配置調整(PID_デモ用_視線設定用3,0,1, -1)\n\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)
MID_ED1_#063	キャラ表示切替(PID_E006_セレスティア, False)
MID_ED1_#064	
MID_ED1_#065	キャラ配置調整(PID_デモ用_視線設定用, 0.27,0,0)\nキャラ配置調整(PID_デモ用_視線設定用2,0, 1,0)\nキャラ配置調整(PID_E006_エル,0,0.15, 0.06, 112)\nキャラ配置調整(PID_リュール,0,0, -0.5, -30)\nキャラ配置調整(PID_E006_セレスティア,0,0, -0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#066	フェードアウト()\n一枚絵非表示()\nウェイト(0.7)\n\nキャラカメラ(CharaCam_FrontLong_Center_Top, PID_デモ用_視線設定用, cam_anim_shake_loop)\nフェードイン()\n\n*\nパペット会話中断()\nウェイト(3)\n\n一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\nフェードアウト()
MID_ED1_#067	サウンドイベント(SE_DLC_Evt_E006_ED1_FallDwon)\n\nキャラ配置調整(PID_デモ用_視線設定用, -0.27,0,0)\nキャラ配置調整(PID_デモ用_視線設定用3,0, -1,1)\nキャラ視線(PID_E005_Boss, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\nキャラ視線(PID_リュール, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用3, PID_デモ用_視線設定用3)\n\nウェイト(1)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_zoom_in_normal)\n背景(Map_Event_E006_02)\n一枚絵非表示()\nキャラモーション再生(PID_E005_Boss, Pain, EmoSurprise2)\n\nフェードイン()
MID_ED1_#068	キャラ配置調整(PID_ソラ, -1.4, -0.65, 0.8)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_ソラ, cam_anim_pan_l_slow)\nキャラモーション再生(PID_E006_エル, Sad)\n*\nパペット会話中断()
MID_ED1_#069	キャラモーション再生(PID_E006_エル, Shy)
MID_ED1_#070	
MID_ED1_#071	//キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E005_Boss, cam_anim_track_l_slow)\nキャラカメラ(CharaCam_Side_Right2_Bot, PID_E005_Boss, cam_anim_track_l_slow)\n\nキャラモーション再生(PID_E005_Boss, Pain, EmoDeny2,0, 0.5)
MID_ED1_#072	キャラモーション再生(PID_E005_Boss, Pain, EmoSurprise2,0,1)
MID_ED1_#073	キャラ配置調整(PID_ソラ, -0.05, 0.15, 0.05)\nキャラカメラ(CharaCam_Side_Left_Mid, PID_ソラ, cam_anim_zoom_in_slow)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#074	キャラモーション再生(PID_E006_エル, Pain)
MID_ED1_#075	キャラモーション再生(PID_E006_エル, Die, RestLie1,0,1)\n\n*\nウェイト(2.5)\nサウンドイベント(SE_DLC_Evt_E006_ED1_Stone_Break)\n一枚絵表示(Tex_Event_DLC_Picture_11, picture_fade_in_slow)\nウェイト(0.5)\n\nキャラ削除(PID_E005_Boss)\nキャラ表示切替(PID_デモ用_竜石なし_ラファール, True)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Pain, IdleNormal)\n\nパペット会話中断()\nウェイト(3.5)\nフェードアウト()\n\n背景(Map_Event_E006_01)
MID_ED1_#076	一枚絵表示(Tex_Event_Effect_Black, picture_fade_in_slow)\nウェイト(1)\nフェードイン(0.5)\n\nキャラ表示切替(PID_E006_セレスティア, True)\nキャラ配置調整(PID_E006_セレスティア,0,0, 0.3)\nキャラアニメーター切替(PID_E006_セレスティア, Unit/Anim/Hub/AOC_Hub_Hum0F)\nキャラモーション再生(PID_E006_セレスティア, Pain, SitNormal1)
MID_ED1_#077	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\nキャラ視線(PID_デモ用_竜石なし_ラファール, PID_E006_エル, PID_E006_エル)\n一枚絵非表示()\nウェイト(0.7)
MID_ED1_#078	キャラカメラ(CharaCam_Shoulder_Left_Top, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_out_slow)
MID_ED1_#079	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Sad, EmoSad,3,0.5)
MID_ED1_#080	
MID_ED1_#081	キャラカメラ(CharaCam_Side_LeftBackDLC_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_pan_r_slow)\n\n*\nパペット会話中断()\nウェイト(1.5)
MID_ED1_#082	*\nパペット会話中断()
MID_ED1_#083	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Sad, EmoTired,0, 0.5)\nキャラ視線(PID_リュール,PID_デモ用_視線設定用3,PID_デモ用_視線設定用3)\nキャラモーション再生(PID_リュール, Sad)\n\nウェイト(0.5)\nキャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow,1)\n\n*\nパペット会話中断()\nウェイト(1)\nキャラアニメーター切替(PID_デモ用_竜石なし_ラファール, Unit/Anim/Demo/AOC_Demo_c049)\nウェイト(0.5)
MID_ED1_#084	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Pain, Reserve1)
MID_ED1_#085	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_d_slow)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Sad)
MID_ED1_#086	
MID_ED1_#087	キャラカメラ(CharaCam_ShoulderLong_Left_Bot, PID_デモ用_視線設定用, cam_anim_zoom_in_slow)\nキャラ配置調整(PID_ソラ, 0.1, 0.55,0)
MID_ED1_#088	
MID_ED1_#089	
MID_ED1_#090	キャラカメラ(CharaCam_Side_Left2_Top, PID_リュール, cam_anim_track_r_slow)\nキャラ視線(PID_リュール, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラモーション再生(PID_リュール, Serious)\n\nキャラ配置調整(PID_E006_セレスティア,0,0, 0.2)\nキャラ配置調整(PID_E006_エル,0,0, 0.2)\nキャラ配置調整(PID_デモ用_竜石なし_ラファール,0,0, -0.2)\n\nキャラ視線(PID_E006_セレスティア, PID_E006_エル, PID_E006_エル)\nキャラモーション再生(PID_E006_セレスティア, Serious)
MID_ED1_#091	
MID_ED1_#092	キャラモーション再生(PID_リュール, Surprise)\nキャラモーション再生(PID_リュール, Angry, IdleNormal, 2.5,1)\n\nキャラモーション再生(PID_E006_セレスティア, Angry)
MID_ED1_#093	キャラカメラ(CharaCam_FrontLong_Center_Top, PID_ソラ, cam_anim_zoom_in_slow)
MID_ED1_#094	キャラ視線(PID_E006_セレスティア, PID_デモ用_竜石なし_ラファール, PID_デモ用_竜石なし_ラファール)\nキャラ回転(PID_デモ用_竜石なし_ラファール,10,0,0)
MID_ED1_#095	キャラ視線(PID_デモ用_竜石なし_ラファール, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Surprise)\n\nキャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_d_slow)\nキャラ配置調整(PID_リュール,0,0, 0.2)
MID_ED1_#096	シーンカメラ(SceneCam_SideYou_Right_Mid, cam_anim_pan_d_normal)\n\nキャラ回転(PID_デモ用_竜石なし_ラファール,-10,0,0)\n\nキャラ視線(PID_リュール, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラモーション再生(PID_リュール, Surprise, EmoTalk,0, 0.5)
MID_ED1_#097	ウェイト(0.5)\nキャラ視線(PID_リュール,PID_デモ用_竜石なし_ラファール,PID_デモ用_竜石なし_ラファール)\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_E006_エル,PID_E006_エル)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious)\nキャラモーション再生(PID_リュール, Surprise, IdleNormal,0,1)\n\n*\nパペット会話中断()\nキャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoTired)\nキャラ配置調整(PID_デモ用_視線設定用2,0, -5,0)
MID_ED1_#098	ウェイト(1)\nキャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Angry, EmoSurprise2,0, 1)
MID_ED1_#099	キャラカメラ(CharaCam_Front_Center_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_in_fast)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_リュール,PID_リュール)\nキャラ視線(PID_リュール,PID_デモ用_竜石なし_ラファール,PID_デモ用_竜石なし_ラファール)
MID_ED1_#100	キャラカメラ(CharaCam_Side_Right2_Top,PID_デモ用_竜石なし_ラファール, cam_anim_zoom_in_normal)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_デモ用_視線設定用2,PID_デモ用_視線設定用2)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Angry, EmoDeny2,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#101	キャラカメラ(CharaCam_ShoulderLong_Left_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_normal)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Angry, EmoSurprise2,0, 0.5)
MID_ED1_#102	キャラカメラ(CharaCam_Side_Right2_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_in_fast)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_リュール,PID_リュール)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Angry, IdleNormal,0, 1)\n\n*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#103	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\n*\nウェイト(1)
MID_ED1_#104	キャラカメラ(CharaCam_Side_Right2_Bot, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_in_fast)\n//キャラカメラ(CharaCam_Shoulder_Right_Mid,PID_リュール, cam_anim_track2_r_normal)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoPray,0, 0.5)\n\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#105	キャラ視線(PID_デモ用_竜石なし_ラファール, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Sad)\n\n*\nパペット会話中断()\nウェイト(2)
MID_ED1_#106	
MID_ED1_#107	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_slow)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_リュール,PID_リュール)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal)
MID_ED1_#108	キャラモーション再生(PID_リュール, Normal, EmoTalk2,0, 0.5)
MID_ED1_#109	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal, EmoTalk,0, 0.5)
MID_ED1_#110	
MID_ED1_#111	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)\n\nキャラモーション再生(PID_リュール, Angry, EmoNod,0, 0.5)\nキャラモーション再生(PID_リュール, Angry, IdleNormal,1,1)
MID_ED1_#112	キャラカメラ(CharaCam_Side_Right2_Bot, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_slow)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_デモ用_視線設定用2,PID_デモ用_視線設定用2)
MID_ED1_#113	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoPray,0, 0.5)
MID_ED1_#114	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal, IdleNormal,0.5,1)
MID_ED1_#115	キャラ配置調整(PID_ソラ, 0.13, -0.64, -0.5)\nキャラカメラ(CharaCam_FrontLong_Center_Top, PID_ソラ, cam_anim_zoom_in_slow)
MID_ED1_#116	
MID_ED1_#117	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Sad)
MID_ED1_#118	キャラモーション再生(PID_リュール, Shy, EmoDeny2,0, 0.5)\n\n*\nウェイト(1.5)
MID_ED1_#119	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Sad)
MID_ED1_#120	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_slow)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_リュール,PID_リュール)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk,0, 0.5)
MID_ED1_#121	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal, EmoTalk2,0, 0.5)
MID_ED1_#122	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal, IdleNormal,0,1)
MID_ED1_#123	キャラモーション再生(PID_リュール, Die, EmoPray,0, 0.5)
MID_ED1_#124	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Relax, EmoTalk,0, 0.5)
MID_ED1_#125	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Relax, EmoThink,0, 1)
MID_ED1_#126	
MID_ED1_#127	キャラカメラ(CharaCam_Shoulder_Left_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_track_r_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk,0, 0.5)
MID_ED1_#128	*\nパペット会話中断()\nウェイト(0.5)
MID_ED1_#129	キャラカメラ(CharaCam_Front_Center_Mid, PID_リュール, cam_anim_zoom_in_slow)
MID_ED1_#130	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoSad,0, 0.5)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoDeny2,4,1)
MID_ED1_#131	キャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal)\n*\nパペット会話中断()\nウェイト(1)
MID_ED1_#132	キャラ配置調整(PID_デモ用_視線設定用2,0, 3,0)\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_デモ用_視線設定用2,PID_デモ用_視線設定用2)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Relax, IdleNormal,0,1)
MID_ED1_#133	*\nパペット会話中断()\nウェイト(1)
MID_ED1_#134	キャラカメラ(CharaCam_Front_Center_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_in_slow)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール,PID_リュール,PID_リュール)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal, EmoNod,0, 0.5)
MID_ED1_#135	キャラカメラ(CharaCam_Side_Left_Mid, PID_リュール, cam_anim_pan_l_slow)\n\nキャラモーション再生(PID_リュール, Smile, EmoNod,0, 0.5)
MID_ED1_#136	キャラカメラ(CharaCam_FrontLong_Center_Mid, PID_デモ用_竜石なし_ラファール, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_E006_セレスティア,False)\nキャラ配置調整(PID_E006_セレスティア,0,0, -0.5)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Serious, EmoDeny,0, 0.5)\n\nウェイト(0.5)
MID_ED1_#137	キャラカメラ(CharaCam_SideLong_Left_Mid, PID_リュール, cam_anim_track_l_slow)\nキャラ表示切替(PID_E006_セレスティア,True)\n\nキャラモーション再生(PID_リュール, Smile, EmoTalk,0, 0.5)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Pain, Reserve1,0, 0.5)
MID_ED1_#138	キャラモーション再生(PID_E006_セレスティア, Angry, Sit1ToStand,0, 0.5)\n\nキャラ視線(PID_リュール, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラモーション再生(PID_リュール, Normal, IdleNormal,0,1)\n\n*\nパペット会話中断()\nウェイト(0.2)\nキャラモーション待ち(PID_E006_セレスティア)
MID_ED1_#139	キャラ配置調整(PID_デモ用_視線設定用, 0.3,0,0)\nキャラカメラ(CharaCam_SideLong_Right_Mid, PID_デモ用_視線設定用, cam_anim_pan_r_normal)\nキャラアニメーター切替(PID_E006_セレスティア, Unit/Anim/Demo/AOC_Demo_c553b)\nキャラ配置調整(PID_E006_セレスティア,0,0, 0.5)\nキャラ視線(PID_リュール, PID_E006_セレスティア, PID_E006_セレスティア)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Normal)
MID_ED1_#140	キャラカメラ(CharaCam_SideLong_Right_Mid, PID_E006_セレスティア, cam_anim_pan_r_slow)\n\nキャラモーション再生(PID_E006_セレスティア, Die, EmoRelax,0, 0.5)\nキャラモーション再生(PID_リュール, Smile)
MID_ED1_#141	キャラモーション再生(PID_E006_セレスティア, Smile, EmoTalk,0,1)
MID_ED1_#142	キャラカメラ(CharaCam_Side_Right_Mid, PID_デモ用_視線設定用, cam_anim_track_l_slow)\n\nキャラ視線(PID_デモ用_竜石なし_ラファール, PID_E006_エル, PID_E006_エル)\n\nキャラモーション再生(PID_デモ用_竜石なし_ラファール, Die)\n\n*\nパペット会話中断()\nウェイト(1)\nフェードアウト()
MID_ED2_#001	サウンドイベント(Field_Castle)\nサウンドイベント(Env_Evt_Indoor_Air2_Start)\n\nキャラ配置(PID_デモ用_神竜王リュール, ME_IN_B, [服装], Sad, IdleNormal, 180)\n\nキャラ配置(PID_E006_セレスティア, YOU_IN_B, [服装], Sad, IdleNormal, 0)\nキャラ配置(PID_E006_グレゴリー, YOU_MID_AB, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_E006_グレゴリー, -0.2,0, -0.2)\nキャラ配置(PID_E006_マデリーン, YOU_MID_BC, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_E006_マデリーン, 0.2,0, -0.2)\n\nキャラ配置(PID_デモ用_視線設定用, YOU_MID_B, [服装], Sad, IdleNormal, 0)\nキャラ配置調整(PID_デモ用_視線設定用,0, -1.5, -1)\nキャラ表示切替(PID_デモ用_視線設定用,False)\n\nキャラ配置(PID_青リュール, YOU_OUT_B, [服装], Normal, IdleNormal, 0, True)\nキャラ表示切替(PID_青リュール,False)\n\n背景(Map_Event_M000_02)\nライト(CharaLight_E001, 0, 0, 0)\n\nシーンカメラ(SceneCam_SideMe_Right_Mid, cam_anim_zoom_out_slow)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Normal, WalkIn2)\nキャラモーション再生(PID_E006_セレスティア, Normal, WalkIn2)\nキャラモーション再生(PID_E006_マデリーン, Normal, WalkIn)\nキャラモーション再生(PID_E006_グレゴリー, Normal, WalkIn)\n\nフェードイン()
MID_ED2_#002	キャラモーション再生(PID_E006_セレスティア, Sad, EmoPray,0,1)
MID_ED2_#003	キャラカメラ(CharaCam_Side_Left2_Bot, PID_デモ用_神竜王リュール, cam_anim_track_r_slow)\nキャラ回転(PID_デモ用_神竜王リュール, 180, 1.5,0)\nキャラモーション再生(PID_デモ用_神竜王リュール, Sad, TurnR,0, 0.5)
MID_ED2_#004	キャラ視線(PID_デモ用_神竜王リュール, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n\nキャラモーション再生(PID_デモ用_神竜王リュール, Serious)\n\nキャラ視線(PID_E006_セレスティア, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\nキャラ視線(PID_E006_グレゴリー, PID_E006_セレスティア, PID_E006_セレスティア)\nキャラ視線(PID_E006_マデリーン, PID_E006_セレスティア, PID_E006_セレスティア)
MID_ED2_#005	キャラカメラ(CharaCam_FrontLong_Center_Bot, PID_E006_セレスティア, cam_anim_zoom_out_slow)\nキャラ表示切替(PID_デモ用_神竜王リュール, False)\n\nキャラモーション再生(PID_E006_セレスティア, Sad)\nキャラモーション再生(PID_E006_グレゴリー, Sad)\nキャラモーション再生(PID_E006_マデリーン, Sad)\n*\nウェイト(0.5)
MID_ED2_#006	キャラ視線(PID_E006_マデリーン, PID_デモ用_視線設定用, PID_デモ用_視線設定用)\n*\nウェイト(1)
MID_ED2_#007	キャラモーション再生(PID_E006_セレスティア, Sad, EmoThinkIn,0, 0.5)\n\nキャラ視線(PID_E006_マデリーン, PID_E006_セレスティア, PID_E006_セレスティア)
MID_ED2_#008	キャラモーション再生(PID_E006_グレゴリー, Angry, EmoThinkIn,0, 0.5)\nキャラモーション再生(PID_E006_マデリーン, Angry)\n\nキャラ視線(PID_E006_マデリーン, PID_E006_グレゴリー, PID_E006_グレゴリー)\nキャラ視線(PID_E006_セレスティア, PID_E006_グレゴリー, PID_E006_グレゴリー)
MID_ED2_#009	キャラモーション再生(PID_E006_グレゴリー, Angry, EmoThinkOut,0, 0.5)\nキャラモーション再生(PID_E006_グレゴリー, Angry, EmoTalk2, 1.5,1)
MID_ED2_#010	キャラモーション再生(PID_E006_グレゴリー, Angry, IdleNormal,0,1)\nキャラモーション再生(PID_E006_マデリーン, Angry, EmoDeny,0, 0.5)\nキャラモーション再生(PID_E006_セレスティア, Sad, EmoThinkOut,0, 0.5)\n\nキャラ視線(PID_E006_グレゴリー, PID_E006_マデリーン, PID_E006_マデリーン)\nキャラ視線(PID_E006_セレスティア, PID_デモ用_神竜王リュール, PID_デモ用_神竜王リュール)\nウェイト(0.3)\nキャラ視線(PID_E006_セレスティア, PID_E006_マデリーン, PID_E006_マデリーン)
