MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDoit-on conserver son innocence, en s'attachant\naux préceptes enseignés par sa maison ?\x0E\x04\x02\x00
MID_ED1_#139	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nOui ?\x0E\x04\x00\x00
MID_ED1_#140	\x0E\x03\x02\x18\x16E006_セレスティア\nEn dépit des récents événements, je garde\nun précieux souvenir des moments que\nnous avons partagés...\x0E\x04\x02\x00
MID_ED1_#141	J'espère que nous nous retrouverons un jour\nen tant qu'alliés.\x0E\x04\x00\x00
MID_ED1_#142	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nJe suis indigne d'une telle mansuétude.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16デモ用_神竜王リュール\x021\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\n\x0E\x03\x00\x1C\x16E006_セレスティア\x022\n\x0E\x03\x00\x1A\x14E006_マデリーン\x023\n\x0E\x03\x00\x1A\x14E006_グレゴリー\x024\n\x0E\x03\x02\x18\x16デモ用_神竜王リュール\nNous voici de retour au château de Lythos.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x18\x16E006_セレスティア\nC'est comme si une éternité s'était écoulée...\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nTant de choses se sont passées depuis\nma rencontre initiale avec Nel et Nil.\x0E\x04\x02\x00
MID_ED2_#004	Les familles royales, les Emblèmes...\nIls ont tous disparu.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x18\x16E006_セレスティア\nMauvier également...\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x16\x14E006_マデリーン\n...\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E006_セレスティア\nQue va-t-on faire, à présent ?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x16\x14E006_グレゴリー\nEh bien... Les différentes nations ont perdu leur\nsouverain... et sans doute tous leurs habitants.\x0E\x04\x02\x00
MID_ED2_#009	Nous devrions peut-être rebâtir les royaumes ?\nOu occuper chacun un trône vacant ?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x16\x14E006_マデリーン\nEt régner sans sujets ? Nous aurons le loisir\nde nous morfondre en attendant nous-mêmes\nle trépas...\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nQue diriez-vous de vous joindre à moi ?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x18\x16E006_セレスティア\nVotre Divinité...\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nIl ne reste rien en ce monde. Vous l'avez dit\nvous-mêmes, il ne reste personne.\x0E\x04\x02\x00
MID_ED2_#014	Quant à moi, je ne suis que de passage.\nMon monde m'attend.\x0E\x04\x02\x00
MID_ED2_#015	Si je vous laisse ici, j'ignore combien de temps\nvous survivrez...\x0E\x04\x02\x00
MID_ED2_#016	Vous serez certes amenés à livrer de nouvelles\nbatailles... mais j'espère que vous considérerez\nmon offre.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x16\x14E006_グレゴリー\nJe suis partant. Cela vaudra mieux que\nd'attendre ici notre dernière heure.\x0E\x04\x02\x00
MID_ED2_#018	Allons-y.\x0E\x04\x02\x00
MID_ED2_#019	Un nouveau monde, de nouveaux ennemis...\nC'est à la fois effrayant et excitant !\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x02\x16\x14E006_マデリーン\nVotre proposition est certes séduisante, mais...\nje ne suis pas sûre.\x0E\x04\x02\x00
MID_ED2_#021	Qu'en penserait Mauvier ? Nous pardonnerait-il\nde le laisser seul ici ?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x18\x16E006_セレスティア\nQue veux-tu dire ?\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x16\x14E006_マデリーン\nNous sommes sa famille. En quittant ce monde,\nc'est comme si nous l'abandonnions.\x0E\x04\x02\x00
MID_ED2_#024	Ne serait-ce point le trahir ? Méritons-nous\nvraiment un meilleur sort que lui ?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x16\x14E006_グレゴリー\nNous méritons de trouver le bonheur, je crois.\x0E\x04\x02\x00
MID_ED2_#026	Madeline... Te rappelles-tu les dernières paroles\nde Mauvier ?\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x16\x14E006_マデリーン\nIl m'a souhaité de connaître une vie heureuse.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x16\x14E006_グレゴリー\nTu as là ta réponse.\x0E\x04\x02\x00
MID_ED2_#029	Il te dirait certainement d'aller de l'avant,\nsans te retourner. Sans penser à lui.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x16\x14E006_マデリーン\nTu ne peux pas parler à sa place !\nTu ne le connaissais pas comme moi !\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x16\x14E006_グレゴリー\nTu te trompes, j'ai passé beaucoup de temps\nà ses côtés. Il était comme un frère pour moi...\x0E\x04\x02\x00
MID_ED2_#032	Admets-le, il n'aimerait certainement pas te voir\nte morfondre de la sorte !\x0E\x04\x00\x00
MID_ED2_#033	\x0E\x03\x02\x16\x14E006_マデリーン\nJe sais...\x0E\x04\x02\x00
MID_ED2_#034	Mauvier me dirait de partir. De trouver\nmon bonheur sans lui...\x0E\x04\x00\x00
MID_ED2_#035	\x0E\x03\x02\x18\x16E006_セレスティア\nNe retiens pas tes larmes, Madeline. Nous\nn'avons pas encore eu le temps de pleurer\nsa disparition...\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nVeuillez me pardonner. Ce monde est le vôtre,\net je vous demande de le laisser derrière vous.\x0E\x04\x02\x00
MID_ED2_#037	Sachez que j'ai fait la même proposition à Rafal.\nIl envisage de me rejoindre également. Un jour.\x0E\x04\x02\x00
MID_ED2_#038	Vous pourriez l'attendre avec moi.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x18\x16E006_セレスティア\nVotre Divinité... Je partage les doutes\nde Madeline.\x0E\x04\x02\x00
MID_ED2_#040	L'idée de quitter ce monde en y abandonnant\nnos seigneurs me chagrine.\x0E\x04\x00\x00
MID_ED2_#041	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nJe comprends.\x0E\x04\x00\x00
MID_ED2_#042	\x0E\x03\x02\x18\x16E006_セレスティア\nCela dit, nous ne pouvons pas nous languir\néternellement ici, quand nous pourrions mettre\nà profit nos talents ailleurs.\x0E\x04\x02\x00
MID_ED2_#043	Et après tout ce qui est arrivé, il est difficile\npour nous d'ignorer votre requête.\x0E\x04\x02\x00
MID_ED2_#044	Nous avons traversé tant d'épreuves ensemble.\x0E\x04\x00\x00
MID_ED2_#045	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nPersonne ne peut le nier.\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x18\x16E006_セレスティア\nJe suis disposée à vous suivre.\nVous êtes d'accord ?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x16\x14E006_グレゴリー\nOui.\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x16\x14E006_マデリーン\nMoi aussi.\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x18\x16E006_セレスティア\nDésormais, les Quatre Zéphyrs jurent de vous\nservir fidèlement.\x0E\x04\x02\x00
MID_ED2_#050	C'est décidé. Nous vous accompagnons,\nVotre Divinité.\x0E\x04\x00\x00
MID_ED2_#051	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nJe vous remercie. Je me réjouis de vous avoir\nà mes côtés.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x18\x16E006_セレスティア\nIl en va de même pour nous.\x0E\x04\x02\x00
MID_ED2_#053	Et rappelez-vous, vous deux. Nous resterons\ntoujours les Quatre Zéphyrs, dans ce monde\ncomme dans l'autre !\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x16\x14E006_グレゴリー\nÀ ce propos, ne devrions-nous pas nous\nrebaptiser les Trois Zéphyrs, désormais ?\x0E\x04\x00\x00
MID_ED2_#055	\x0E\x03\x02\x16\x14E006_マデリーン\nTu connais déjà la réponse.\x0E\x04\x00\x00
MID_ED2_#056	\x0E\x03\x02\x18\x16E006_セレスティア\nNous quatre formions une famille, et il en sera\ntoujours ainsi.\x0E\x04\x02\x00
MID_ED2_#057	Rien ne pourra nous séparer.\x0E\x04\x00\x00
MID_ED2_#058	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nParfait. Il est temps de partir !\x0E\x04\x02\x00
MID_ED2_#059	Nel, Rafal... J'espère vous revoir un jour.\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x00\x10\n青リュール\x024\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0C\n青リュール\nMerci à toi, mon très cher Dragon divin.\nQue ton avenir soit radieux et sans nuage.\x0E\x04\x02\x00
MID_ED2_#061	Et surtout... prends bien soin d'eux.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x023\n\x0E\x03\x02\x0A\x08リュール\nLe ciel est magnifique, aujourd'hui.\x0E\x04\x02\x00
MID_ED3_#002	Cette clarté laisse augurer un événement\nheureux.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nVous avez sans doute raison.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x02\x00
MID_ED3_#005	Nel ! Rafal ! Je ne m'attendais pas à vous\nrevoir de sitôt !\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE006_エル\nJe suis heureuse de vous retrouver enfin,\nVotre Divinité.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nMille ans se sont écoulés pour moi... Quand Nel\ns'est enfin réveillée, nous nous sommes\nempressés de vous rejoindre, comme promis.\x0E\x04\x02\x00
MID_ED3_#008	Ma sœur et moi sommes à votre service.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08リュール\nSoyez les bienvenus.\x0E\x04\x02\x00
MID_ED3_#010	Quelle journée magnifique, en effet.\x0E\x04\x00\x00
