MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06セピア\x021\x0E\x03\x02\x08\x06セピア\nAuf einem Schlachtfeld fern von allem, was Ihr\nkennt – wie werdet Ihr Eure Tapferkeit beweisen?\x0E\x04\x02\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE002_エル\x022\n\x0E\x03\x00\x14\x0EE002_イル\x023\n\x0E\x03\x00\x1C\x16E002_セレスティア\x024\n\x0E\x03\x02\x0A\x08リュール\nGing es Alfred wirklich gut? Er benahm sich ein\nwenig merkwürdig.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x10\x0EE002_イル\nEr hatte vielleicht einfach Angst. Meine\nSchwester löst das bei anderen aus, wenn sie\nwütend wird.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x10\x0EE002_エル\nIch war nicht wütend.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x0A\x08リュール\nNil hat aber nicht ganz unrecht. Deine Worte\nwaren zu harsch.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x10\x0EE002_エル\nIch habe ihr Angebot, sich uns anzuschließen,\naus Prinzip abgelehnt. Ihr hattet nicht das\nRecht, sie einzuladen.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x0A\x08リュール\nDafür habe ich mich bereits entschuldigt, oder?\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E002_セレスティア\nAh... Mylord Nil? Stimmt etwas nicht zwischen\nden beiden?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x10\x0EE002_イル\nSie hatten von Beginn an ein angespanntes\nVerhältnis. Das wird langsam zu einem Problem.\x0E\x04\x02\x00
MID_ED2_#009	Ich wünschte, ich könnte sie davon überzeugen,\ngut miteinander auszukommen.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x18\x16E002_セレスティア\nVielleicht ist es schwer zu akzeptieren, dass\n\x0E\x0A\x00\x1A\x0Cdieser\ndiese eine andere Person ist. Das kam recht\nunerwartet.\x0E\x04\x02\x00
MID_ED2_#011	Milady Nel war in der Vergangenheit so...\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x10\x0EE002_エル\nIch kann dich hören, weißt du?\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16E002_セレスティア\nÄh... Verzeiht.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x0A\x08リュール\nWenigstens gab es dort dieses Mal keine\nAssassinen.\x0E\x04\x02\x00
MID_ED2_#015	Ich denke nicht, dass ich mit denen fertig\ngeworden wäre. Es war schon schwer genug,\ngegen Alfred und Céline zu kämpfen.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x10\x0EE002_イル\nDas bedeutet nicht, dass sie sich nicht wieder\nzeigen werden. Wir sollten wachsam bleiben.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x0A\x08リュール\nIhr glaubt doch nicht, dass wir gegen Zwillinge\nkämpfen, oder?\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x02\x10\x0EE002_イル\nZwillinge?\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x02\x0A\x08リュール\nIn Lythos erwähnte Nel, dass die Kinder des\nDämonendrachen stets als Zwillinge geboren\nwerden.\x0E\x04\x02\x00
MID_ED2_#020	Das war nur so ein Gedanke.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x02\x10\x0EE002_エル\nEs wäre möglich.\x0E\x04\x02\x00
MID_ED2_#022	Aber fast alle Kinder des Dämonendrachen\nverlieren ihren Zwilling, während sie erwachsen\nwerden.\x0E\x04\x02\x00
MID_ED2_#023	Ich glaube nicht, dass es sehr wahrscheinlich\nist.\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08リュール\nVerzeihung... Sagtest du, „verlieren ihren\nZwilling“?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x18\x16E002_セレスティア\nDavon höre ich zum ersten Mal.\x0E\x04\x02\x00
MID_ED2_#026	Milady Nel und Mylord Nil, Ihr seid noch\nzusammen.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x10\x0EE002_イル\nWir haben ausgesprochenes Glück, dass dies\nso ist.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x18\x16E002_セレスティア\nDann bin ich froh, dass niemand von Euch seine\nandere Hälfte verloren hat. Das wäre furchtbar\ngewesen.\x0E\x04\x00\x00
MID_ED2_#029	\x0E\x03\x02\x10\x0EE002_イル\nHahaha. Nett, dass du das sagst.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x10\x0EE002_エル\nHaltlose Spekulationen bringen uns nicht weiter.\nKonzentrieren wir uns darauf, Brodias Armring\nzurückzuholen.\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x0A\x08リュール\nStimmt. Das Brodia deiner Welt... Ich bin\nbegierig darauf zu sehen, wie es aussieht.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04エル\x021\n\x0E\x03\x00\x0A\x04イル\x022\n\x0E\x03\x02\x06\x04エル\nWir scheinen jeden Tag mehr und mehr\nGeschwister zu verlieren.\x0E\x04\x02\x00
MID_ED3_#002	Zwillingspaare wie wir werden immer seltener.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x06\x04イル\nIch sehe immer öfter, wie sie untereinander\nreden – davon, sich gegenseitig zu töten.\x0E\x04\x02\x00
MID_ED3_#004	Jeder nennt den anderen schwach. Sie lachen\nüber Zwillinge, die noch nicht bis auf den Tod\nmiteinander gekämpft haben.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x06\x04エル\nUnvorstellbar.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x06\x04イル\nIch bin der Nächste. Ganz sicher.\x0E\x04\x02\x00
MID_ED3_#007	Sie könnten sich jederzeit einen Fehlschlag\nwie mich greifen.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x06\x04エル\nSag so etwas nicht!\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x06\x04イル\nAber es stimmt doch!\x0E\x04\x02\x00
MID_ED3_#010	Geschwister, die stärker waren als ich, sind\nbereits tot. Geschwister, die für Vater viel\nnützlicher waren als ich.\x0E\x04\x02\x00
MID_ED3_#011	Selbst wenn ich nicht der Nächste bin, ist es\nnur noch eine Frage der Zeit.\x0E\x04\x02\x00
MID_ED3_#012	Ich habe so eine Angst.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x06\x04エル\nNil.\x0E\x04\x02\x00
MID_ED3_#014	Hör mich an.\x0E\x04\x02\x00
MID_ED3_#015	Egal, was immer auch geschieht, ich werde dich\nbeschützen. Das schwöre ich.\x0E\x04\x00\x00
