MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nDer letzte Kampf steht an. Wenn Ihr bereit seid,\nbewegen wir das Somniel selbst zum Portal.\x0E\x04\x02\x00
MID_BT18_#002	Der Fluss der Zeit mag uns beide hierhergeführt\nhaben, doch jetzt werde ich Eure Reise\nbeenden.\x0E\x04\x00\x00
MID_BT19_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x0C\x06カムイ\x02t\n\x0E\x05\x01\x14\x06カムイ\nAngry\n\x0E\x03\x02\x08\x06カムイ\nIch wollte Euch nicht begegnen. Aber wenn es\nstimmt, dass Ihr am Ende jeder meiner Wege\nsteht...\x0E\x04\x02\x00
MID_BT19_#002	Dann werde ich Euch jedes Mal aufhalten. Ich\nwerde nicht aufgeben!\x0E\x04\x00\x00
MID_BT20_#001	\x0E\x02\x01\x00\n\x0E\x03\x00\x10\nエイリーク\x02t\n\x0E\x03\x02\x0C\nエイリーク\nIch spüre ein Miasma des Bösen, das von Euch\nausgeht... Seid Ihr etwa der Dämonenkönig?\x0E\x04\x02\x00
MID_BT20_#002	\x0E\x05\x01\x18\nエイリーク\nAngry\nWenn Ihr es seid, werde ich Euch bezwingen,\nbevor Ihr irgendjemanden täuscht oder eine\nTragödie verursacht.\x0E\x04\x00\x00
MID_BT21_#001	\x0E\x02\x01\x00\n\x0E\x03\x00,&M026_異形兵_マスター_メディウス\x02b\n\x0E\x03\x02(&M026_異形兵_マスター_メディウス\nWie? Wie wurde ich so leicht besiegt?\x0E\x04\x00\x00
MID_BT22_#001	\x0E\x02\x01\x00\n\x0E\x03\x00,&M026_異形兵_マスター_ロプトウス\x02b\n\x0E\x03\x02(&M026_異形兵_マスター_ロプトウス\nAbschaum...\x0E\x04\x00\x00
MID_BT23_#001	\x0E\x02\x01\x00\n\x0E\x03\x00("M026_異形兵_マスター_ドーマ\x02b\n\x0E\x03\x02$"M026_異形兵_マスター_ドーマ\nNur Macht hat Gewicht. Nur Stärke bedeutet\nHerrschaft...\x0E\x04\x00\x00
MID_BT24_#001	\x0E\x02\x01\x00\n\x0E\x03\x00,&M026_異形兵_マスター_アスタルテ\x02b\n\x0E\x03\x02(&M026_異形兵_マスター_アスタルテ\nIch bin vollkommen... und doch habt Ihr mich\nbesiegt. Unmöglich...\x0E\x04\x00\x00
MID_BT25_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_イドゥン\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_イドゥン\nIch... Ich bin allein... Allein in der Dunkelheit...\x0E\x04\x00\x00
MID_BT26_#001	\x0E\x02\x01\x00\n\x0E\x03\x00("M026_異形兵_マスター_ベルド\x02b\n\x0E\x03\x02$"M026_異形兵_マスター_ベルド\nDas habe ich mir selbst zuzuschreiben...\x0E\x04\x00\x00
MID_BT27_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ギムレー\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ギムレー\nIhr seid alle machtlos! Schwach! Unbedeutend!\nIhr... seid... wie... Würmer...\x0E\x04\x00\x00
MID_BT28_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ネルガル\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ネルガル\nWarum? Warum muss ich verlieren?\nMehr... Macht...\x0E\x04\x00\x00
MID_BT29_#001	\x0E\x02\x01\x00\n\x0E\x03\x00.(M026_異形兵_マスター_アシュナード\x02b\n\x0E\x03\x02*(M026_異形兵_マスター_アシュナード\nMehr... Mehr, sage ich! In dieser Zeit des\nAufstiegs reicht es nicht aus... Ist es nicht\ngenug...\x0E\x04\x00\x00
MID_BT30_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ネメシス\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ネメシス\nIhr erbärmlichen Schwächlinge. Zu feige, mich\nohne diese Meute anzugreifen...\x0E\x04\x00\x00
MID_BT31_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ハイドラ\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ハイドラ\nWarum bin ich aber nun der, der leidet?\nWarum bin ich der, der allein sterben soll?\x0E\x04\x00\x00
MID_BT32_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_フォデス\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_フォデス\nIhr elenden Narren...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08リュール\nWir haben gewonnen, Sombron.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08ソンブル\nJetzt werde ich niemals nach Hause zurück-\nkehren. Vielleicht ist es auch gut so.\x0E\x04\x02\x00
MID_ED1_#003	Ich bin es leid... Ich bin es leid, in jedem\nSchatten zu suchen.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nNach... dem Emblem des Ursprungs?\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08ソンブル\nIch habe in finsteren Wäldern gesucht... in\ndüsteren Höhlen... im Schatten eines toten\nBaumes.\x0E\x04\x02\x00
MID_ED1_#006	An solchen Orten spürte ich mein Emblem\nwieder. Jetzt ist all das vorbei.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nIhr habt Euch entschieden, allein zu sein, und\ndoch suchtet Ihr weiter nach diesem Emblem.\nWarum?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08ソンブル\nVielleicht brauchte ich jemanden, der anerkennt,\nwie weit ich es ganz allein geschafft habe.\x0E\x04\x02\x00
MID_ED1_#009	Jemanden, der mich sieht – so, wie ich bin –\nnachdem ich Jahrtausende verstoßen war.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nIch hätte diese Person sein können. Oder Veyle,\noder unsere Geschwister. Warum habt Ihr das\nnicht zugelassen?\x0E\x04\x02\x00
MID_ED1_#011	Warum habt Ihr diese Kriege begonnen?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ソンブル\nPah! Ich brauche keine Verbindungen. Nicht in\ndeiner Welt.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nNicht einmal ganz am Schluss wollt Ihr uns\nein Vater sein. Nun gut.\x0E\x04\x02\x00
MID_ED1_#014	Ihr werdet nur der Dämonendrache sein – ein\nÜbel, das wir beseitigt haben. So werden wir\nEuch in Erinnerung behalten.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08ソンブル\nTu, was du willst. Ich war all diese Zeit allein.\nWarum sollte es bei meinem Tod anders sein?\x0E\x04\x02\x00
MID_ED1_#016	Ich brauche weder Gnade noch Mitleid. Ich\nwerde hier sterben, getrennt von der Person,\nnach der ich mich sehne.\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nErinnert Ihr Euch an die Anrufung?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08ソンブル\nWas?\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nDie Anrufung für das Emblem des Ursprungs.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x0A\x08ソンブル\nIch habe es versucht. Wieder und wieder habe\nich die Worte gesprochen. Es war zwecklos.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\nTrotzdem... Es kann nicht schaden, es zu\nversuchen. Ein letztes Mal.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08ソンブル\nNun gut... Verbrenne...\x0E\x04\x02\x00
MID_ED1_#023	Verbrenne uns, Emblem des Ursprungs.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08ソンブル\nOh! Dieses Licht! Oh... Endlich...\x0E\x04\x02\x00
MID_ED1_#026	Endlich treffen wir uns wieder...\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0A\x08ヴェイル\nPapa? Ich... Ich sehe niemanden...\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nIch auch nicht. Es muss jemand sein, den nur er\nsehen kann.\x0E\x04\x02\x00
MID_ED1_#029	Ein alter Freund. Die einzige Person, der er sich\njemals geöffnet hat.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x0A\x08ソンブル\nDu und ich... Lass uns gemeinsam gehen... ein\nletztes Mal.\x0E\x04\x02\x00
MID_ED1_#031	Bündnis!
MID_ED1_#032	\x0E\x03\x01\x0A\x08ソンブル\n\x0E\x03\x02\x0A\x08ヴェイル\nPapa...\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nEr ist weg. Und der Ring für das Emblem des\nUrsprungs... Er ist mit ihm verschwunden.\x0E\x04\x02\x00
MID_ED1_#034	Unser Kampf ist vorbei. Gehen wir nach Hause.\x0E\x04\x02\x00
MID_ED1_#035	Es ist an der Zeit, dieses Portal ein für alle Mal\nzu schließen.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x0A\x08リュール\nDas Portal schließt sich.\x0E\x04\x02\x00
MID_ED2_#002	Sobald es geschlossen ist, endet der Krieg und\ndas Gleichgewicht der Welt wird wiederher-\ngestellt.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x08\x06マルス\nWir haben es geschafft, \x0E\x06\x03\x00!\x0E\x04\x02\x00
MID_ED2_#004	Hahaha.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x02\x00
MID_ED2_#006	Es ist wirklich Zeit, sich zu verabschieden.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06マルス\nDas war eine wundervolle Reise. Danke, dass\nwir sie mit Euch teilen durften, \x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x0A\x08リュール\nNein, ich danke Euch, Marth.\x0E\x04\x02\x00
MID_ED2_#009	Ich bin so traurig, dass Ihr geht. Aber es ist Zeit,\nsich erhobenen Hauptes zu verabschieden.\x0E\x04\x02\x00
MID_ED2_#010	Danke, dass Ihr Euer Versprechen gehalten habt.\nIhr wart tatsächlich bis zum Ende mein\nVerbündeter – mein Freund.\x0E\x04\x02\x00
MID_ED2_#011	Ich hoffe nur, dass ich stark genug sein werde\nfür das, was vor mir liegt.\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x08\x06マルス\nDas werdet Ihr. Ihr seid bereits viel stärker als\nvor tausend Jahren – oder am Tag Eures\nErwachens.\x0E\x04\x02\x00
MID_ED2_#013	Ich weiß, dass Ihr das Erbe der Embleme und\ndas Eurer Mutter fortführen werdet.\x0E\x04\x02\x00
MID_ED2_#014	Wir werden nicht mehr hier sein, um Euch zu\nhelfen.\x0E\x04\x02\x00
MID_ED2_#015	Jetzt seid Ihr an der Reihe, anderen zu helfen.\nAls \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin und als Emblem.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x0A\x08リュール\nDas werde ich.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nDu bist nicht allein. Wir werden dich dabei\nunterstützen, Bruder.\x0E\x04\x00\x00
MID_ED2_#017_F	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nDu bist nicht allein. Wir werden dich dabei\nunterstützen, Schwester.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nWir können Marth und die anderen zwar nicht\nersetzen, aber wir werden unser Bestes geben.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nJa... Bitte macht Euch keine Sorgen...\nOh nein. Mir kommen die Tränen.\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nHnng... Ich wünschte, wir würden Euch nicht\nverlieren.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nWir haben Euch gerade erst kennengelernt, und\njetzt... heißt es Lebewohl?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nBitte weint nicht.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x0A\x08リュール\nAber...\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08シグルド\nIhr tragt die Verantwortung für diese Welt. Tut\nes mit Stolz!\x0E\x04\x02\x00
MID_ED2_#025	Ihr sollt Eure Tränen nicht auf ewig zurück-\nhalten. Aber in diesem Moment versucht es\nbitte.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x02\x08\x06マルス\nDa stimme ich zu. Ich möchte, dass wir uns mit\neinem Lächeln auf dem Gesicht verabschieden.\x0E\x04\x02\x00
MID_ED2_#027	So wünsche ich mir, dass wir einander in\nErinnerung bleiben. Mit Freude und ohne\nTrauer.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x0A\x08リュール\nDas wünsche ich mir auch.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x02\x08\x06ベレト\nDies ist unser Abschied, aber wir werden uns\nniemals davon verabschieden, was wir\ngemeinsam gelernt haben.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x00\x0C\x06カムイ\x021\n\x0E\x03\x02\x08\x06カムイ\nIch werde Euch vermissen... Aber ich weiß,\ndass Ihr die richtigen Pfade wählen werdet.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x00\x0C\x06ルキナ\x021\n\x0E\x03\x02\x08\x06ルキナ\nAuch wenn unsere Wege sich trennen, werden\nwir im Geiste immer verbunden bleiben. Bitte\nsorgt für eine gute Zukunft.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x00\x0C\x06ミカヤ\x021\n\x0E\x03\x02\x08\x06ミカヤ\nKeine Sorge. Ich sehe, dass Eure Leben voller\nHoffnung und Glück sein werden.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x0C\x06アイク\x021\n\x0E\x03\x02\x08\x06アイク\nGeht und verbessert die Welt. Ich weiß, dass Ihr\ndas könnt... Ich weiß, dass Ihr das WERDET.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x00\x10\nエイリーク\x021\n\x0E\x03\x02\x0C\nエイリーク\nIch werde für Euch beten. Dafür, dass Eure Welt\nein Ort der Güte und des Lachens ist.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x00\x0A\x04リン\x021\n\x0E\x03\x02\x06\x04リン\nWohin Ihr auch geht, mögen die Segen von\nMutter Erde und Vater Himmel Euch folgen.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x00\x0A\x04ロイ\x021\n\x0E\x03\x02\x06\x04ロイ\nIch bin froh, Euch kennengelernt zu haben. Ich\nhoffe, Ihr macht aus diesem Land ein Arcadia.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x00\x0C\x06リーフ\x021\n\x0E\x03\x02\x08\x06リーフ\nWenn sich Eure Nationen verbünden, gibt es\nkeine Herausforderung, die Ihr nicht bewältigen\nkönnt.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nKennt Liebe ebenso wie Trauer. Haltet Eure\nBande in Ehren und tragt das Licht bei Euch,\ndann wird Euch nichts unmöglich sein.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x00\x0C\x06セリカ\x021\n\x0E\x03\x02\x08\x06セリカ\nGeht mit Güte voran, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Und möge Euer\nGlück ewig andauern.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nDies ist der Augenblick.\x0E\x04\x00\x00
MID_ED4_#002	\x0E\x03\x02\x0A\x08リュール\nDas ist er.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x02\x08\x06マルス\nDanke, \x0E\x06\x03\x00. Ihr seid ein Mitglied\nunserer Familie – das Emblem, das uns alle\nverbindet.\x0E\x04\x02\x00
MID_ED4_#004	Falls wir uns jemals wiedertreffen... Nein.\nBIS wir uns wiedertreffen...\x0E\x04\x02\x00
MID_ED4_#005	hoffe ich, dass Ihr Euch an uns erinnert. Wir, die\nwir für diese Zeit gemeinsam existierten.\x0E\x04\x02\x00
MID_ED4_#006	Die 13 Embleme.\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x0A\x08リュール\nNatürlich werde ich Euch in Erinnerung behal-\nten. Alles von Euch – und alle Momente, die wir\nmiteinander teilten.\x0E\x04\x02\x00
MID_ED4_#008	Selbst wenn wir getrennt sind, werden wir\nimmer miteinander verbunden sein.\x0E\x04\x02\x00
MID_ED4_#009	Danke, dass Ihr bis zum Ende an meiner Seite\nwart.\x0E\x04\x00\x00
MID_ED4_#010	\x0E\x03\x02\x08\x06マルス\nHahaha.\x0E\x04\x02\x00
MID_ED4_#011	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x02\x0A\x08リュール\nLebt wohl, Embleme... Meine Familie.\x0E\x04\x02\x00
MID_ED4_#012	Ihr habt mir Mut, Kraft und Inspiration gegeben.\nIch werde Eurem Beispiel folgen.\x0E\x04\x02\x00
MID_ED4_#013	Für immer. Das verspreche ich.\x0E\x04\x02\x00
MID_ED4_#014	Gehen wir nach Hause. Zurück nach Elyos.\x0E\x04\x00\x00
MID_MOVIE1_#001	Heute ist der Tag meiner Krönung.\nIch werde zum Wyrmgottkönig ernannt.
MID_MOVIE1_#001_F	Heute ist der Tag meiner Krönung.\nIch werde zur Wyrmgottkönigin ernannt.
MID_MOVIE1_#002	Ich hatte gehofft, Ihr alle würdet zu dieser\nGelegenheit an meiner Seite stehen.
MID_MOVIE1_#003	Aber das ist wohl nicht möglich.
MID_MOVIE1_#004	Strahle hell, Emblem der Anfänge!
MID_MOVIE1_#005	Es war einen Versuch wert.
MID_MOVIE1_#006	Ob wir uns wohl je wiedersehen werden?
MID_MOVIE1_#007	Aha! Wusste ich doch,\ndass ich Euch hier finden würde!
MID_MOVIE1_#008	Wir haben überall nach Euch gesucht.
MID_MOVIE1_#009	Ihr seid es...
MID_MOVIE1_#010	Die Krönung wird jeden Moment beginnen.
MID_MOVIE1_#011	Also gut. Zeit zum Umziehen.\nEs sei denn, Ihr wollt das anbehalten.
MID_MOVIE1_#012	Ja, das sollte ich wohl...
MID_MOVIE1_#013	Na dann, Beeilung! Komm schon!
MID_MOVIE1_#014	Na gut! Ich komm ja schon, ich komm ja schon!
MID_MOVIE1_#015	Irgendwann in der Zukunft...
MID_MOVIE1_#016	werden sich unsere Wege vielleicht\nein weiteres Mal kreuzen.
MID_MOVIE1_#017	Wenn Ihr wünscht, können unsere Bande jederzeit\nneu geknüpft werden. Sagt einfach nur:
MID_MOVIE1_#018	Bündnis!
MID_MOVIE2_#001	\x0E\x03\x02\x0A\x08リュール\nWas ist geschehen?\x0E\x04\x00\x00
MID_MOVIE2_#002	\x0E\x03\x02\x0A\x08ソンブル\nAlle, die dir etwas bedeuten...\nSie sind alle tot.\x0E\x04\x00\x00
MID_MOVIE2_#003	\x0E\x03\x02\x0A\x08ヴェイル\nLieber Bruder. Es ist Zeit zu gehen.\x0E\x04\x00\x00
MID_MOVIE2_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nLiebe Schwester. Es ist Zeit zu gehen.\x0E\x04\x00\x00
MID_MOVIE2_#004	\x0E\x03\x02\x0A\x08ソンブル\nHahahahaha!\x0E\x04\x00\x00
