MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x18\x12E005_Boss\x021\n\x0E\x03\x02\x14\x12E005_Boss\nWirst du dem Schicksal trotzen, Verzweiflung\nzurückweisen, Bande mit Verbündeten knüpfen?\x0E\x04\x02\x00
MID_ED3_#032	\x0E\x03\x02\x16\x14E004_マデリーン\nWieso? Hast du Angst, dass ich der Aufgabe\nnicht gewachsen bin?\x0E\x04\x00\x00
MID_ED3_#033	\x0E\x03\x02\x12\x10M011_モーヴ\nNein, das habe ich ganz und gar nicht...\x0E\x04\x00\x00
MID_ED3_#034	\x0E\x03\x02\x16\x14E004_マデリーン\nDann lehne ich deinen Vorschlag ab. Ich will\ndas Schicksal meiner Windgenossen teilen, was\nauch immer es für eines sein mag.\x0E\x04\x02\x00
MID_ED3_#035	Abgesehen davon basiert dein Plan darauf, dass\ndie vier Säulen zeitgleich zerstört werden.\x0E\x04\x00\x00
MID_ED3_#036	\x0E\x03\x02\x12\x10M011_モーヴ\nDu darfst dieses Opfer nicht bringen, nur um als\nHeldin bekannt zu werden. Die Toten hören\nihr Lob nicht.\x0E\x04\x00\x00
MID_ED3_#037	\x0E\x03\x02\x16\x14E004_マデリーン\nDas weiß ich. Mein Mentor lehrte mich, dass\nnicht das Lob wichtig ist, sondern das, was man\nim Leben erreicht.\x0E\x04\x02\x00
MID_ED3_#038	Und vor allem, dass man ein Leben führt, auf\ndas man stolz sein kann.\x0E\x04\x00\x00
MID_ED3_#039	\x0E\x03\x02\x12\x10M011_モーヴ\nAus dir ist wirklich eine vortreffliche Ritterin\ngeworden.\x0E\x04\x00\x00
MID_ED3_#040	\x0E\x03\x02\x16\x14E004_マデリーン\nDeine Worte geben mir Kraft, mich dem zu\nstellen, was auch immer vor mir liegt.\x0E\x04\x00\x00
MID_ED3_#041	\x0E\x03\x00"\x1CE005_異形兵_ベルセルク\x022\n\x0E\x03\x02\x1E\x1CE005_異形兵_ベルセルク\nRoaaaaaaaaar!\x0E\x04\x00\x00
MID_ED3_#042	\x0E\x03\x02\x16\x14E004_グレゴリー\nNun, Freunde. Unsere Zeit scheint abgelaufen\nzu sein.\x0E\x04\x00\x00
MID_ED3_#043	\x0E\x03\x02\x18\x16E004_セレスティア\nIch bin froh, dass wir noch ein letztes Mal\nbeisammen sein konnten.\x0E\x04\x02\x00
MID_ED3_#044	Ich liebe euch alle.\x0E\x04\x02\x00
MID_ED3_#045	Nun... lasst sie uns vernichten!\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16E004_セレスティア\x021\n\x0E\x03\x00\x1A\x14E004_グレゴリー\x022\n\x0E\x03\x00\x1A\x14E004_マデリーン\x023\n\x0E\x03\x00\x16\x10M011_モーヴ\x024\n\x0E\x03\x02\x18\x16E004_セレスティア\nMilady Nel... Wir sind am Ende angekommen.\nVergebt uns, dass wir Eurem letzten Befehl\nnicht gehorchen können.\x0E\x04\x02\x00
MID_ED4_#002	Ich hoffe, Ihr und \x0E\x0A\x00\x10\x06der\x06die \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin findet einen\nWeg, Mylord Nil zu retten... und glücklich zu\nwerden.\x0E\x04\x02\x00
MID_ED4_#003	Hergehört, Vier Winde! Dies ist unsere letzte\nMission!\x0E\x04\x02\x00
MID_ED4_#004	Zerstört die Säulen!\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x16\x14E004_グレゴリー\nHmpf.\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x16\x14E004_マデリーン\nHyaaah.\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x12\x10M011_モーヴ\nHngh!\x0E\x04\x00\x00
MID_ED5_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE005_エル\x022\n\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x0A\x08リュール\nWas war das? Ich habe etwas gehört.\x0E\x04\x00\x00
MID_ED5_#002	\x0E\x03\x02\x10\x0EE005_エル\nMeine Winde... Nein...\x0E\x04\x00\x00
MID_ED5_#003	\x0E\x03\x02\x14\x12E005_Boss\nHahaha. AHAHAHAHAHAAA!\x0E\x04\x00\x00
MID_ED5_#004	\x0E\x03\x02\x0A\x08リュール\nNil.\x0E\x04\x00\x00
MID_ED5_#005	\x0E\x03\x02\x14\x12E005_Boss\nMeine Verzerrten haben bessere Arbeit geleistet,\nals ich erhofft hatte. Der Tempel ist eingestürzt.\x0E\x04\x02\x00
MID_ED5_#006	Und sofern mich meine Sinne nicht täuschen,\nhat in den Trümmern nichts und niemand über-\nlebt.\x0E\x04\x02\x00
MID_ED5_#007	Die Vier Winde existieren nicht mehr.\x0E\x04\x00\x00
MID_ED5_#008	\x0E\x03\x02\x10\x0EE005_エル\nNein!\x0E\x04\x00\x00
MID_ED5_#009	\x0E\x03\x02\x0A\x08リュール\nWie konnte dies nur passieren?\x0E\x04\x00\x00
MID_ED5_#010	\x0E\x03\x02\x10\x0EE005_エル\nWir wurden hintergangen. Die Vier Winde und\nich wurden im Inneren des Tempels von Ver-\nzerrten angegriffen.\x0E\x04\x02\x00
MID_ED5_#011	Sie sind dort geblieben, damit ich fliehen und\nmich zu Euch durchschlagen konnte.\x0E\x04\x00\x00
MID_ED5_#012	\x0E\x03\x02\x0A\x08リュール\nNein...\x0E\x04\x00\x00
MID_ED5_#013	\x0E\x03\x02\x14\x12E005_Boss\nIhr wolltet vorhin nicht mit mir kooperieren,\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche. Vielleicht wird Euch dies zum\nHandeln zwingen.\x0E\x04\x00\x00
MID_ED5_#014	\x0E\x03\x02\x10\x0EE005_エル\nAaah!\x0E\x04\x00\x00
MID_ED5_#015	\x0E\x03\x02\x0A\x08リュール\nNel!\x0E\x04\x00\x00
MID_ED5_#016	\x0E\x03\x02\x14\x12E005_Boss\nSollte Euch an ihrem Leben etwas liegen,\nwerdet Ihr zu mir auf die Insel kommen, die\neinst in den Wolken schwebte.\x0E\x04\x00\x00
MID_ED5_#017	\x0E\x03\x02\x0A\x08リュール\nNil! Warte!\x0E\x04\x02\x00
MID_ED5_#018	Hngh! Was soll ich tun?\x0E\x04\x02\x00
MID_ED5_#019	Eine Insel, die einst in den Wolken schwebte...\x0E\x04\x00\x00
MID_ED6_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nEs ist eine Weile her, seit die Zwillinge mich\nverraten haben.\x0E\x04\x02\x00
MID_ED6_#002	Bald schon wird mein Feind mich nieder-\nstrecken. Vielleicht werde ich ihn dabei gleich-\nfalls töten.\x0E\x04\x02\x00
MID_ED6_#003	Aber das spielt keine Rolle. Alles ist in Bewe-\ngung. Mein Kind wird meine Wünsche wahr\nwerden lassen.\x0E\x04\x02\x00
MID_ED6_#004	Derweil wird \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott kinderlos sterben,\nohne Erben und ohne ein Vermächtnis. \x0E\x0A\x00\x1A\nDiese\x0CDieser\n\x0E\x0A\x00\x18\x0CNärrin\x08Narr.\x0E\x04\x02\x00
MID_ED6_#005	Meine Schachfiguren bewegen sich so, wie ich\ndas will, ganz ohne Zweifel.\x0E\x04\x02\x00
MID_ED6_#006	Aber ich frage mich... Wie lange wird mein\nSohn das Spiel noch weiterspielen und\nvorgeben, Nels Zwilling zu sein?\x0E\x04\x02\x00
MID_ED6_#007	Denn schließlich existiert ihr echter Zwilling\nnicht mehr.\x0E\x04\x02\x00
MID_ED6_#008	Dieser Fehlschlag starb schon vor langer Zeit.\x0E\x04\x00\x00
