MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マロン\x021\n\x0E\x03\x02\x08\x06マロン\nIhr plant Strategien im Dienste eines Einzelnen.\nWerdet Ihr für sein Glück in den Kampf ziehen?\x0E\x04\x00\x00
MID_ED2_#063	\x0E\x03\x02\x10\x0EE004_エル\nIhr habt versprochen, dass Ihr zurückkommen\nwürdet. Ihr habt versprochen, nach Hause zu\nkommen.\x0E\x04\x02\x00
MID_ED2_#064	Wir haben es uns in die Hand versprochen.\nEure Hand war so warm. Und als ich sie das\nnächste Mal hielt, war sie kalt.\x0E\x04\x02\x00
MID_ED2_#065	Euer Auftreten, Eure Worte, Eure freundliche\nEinstellung... Sie alle erinnern mich an das,\nwas ich verloren habe.\x0E\x04\x00\x00
MID_ED2_#066	\x0E\x03\x02\x0A\x08リュール\nMeine bloße Anwesenheit fügt dir Leid zu.\x0E\x04\x00\x00
MID_ED2_#067	\x0E\x03\x02\x10\x0EE004_エル\nEs ist nicht Eure Schuld. Selbst ich weiß das.\x0E\x04\x02\x00
MID_ED2_#068	Aber je mehr Zeit ich mit Euch verbringe, desto\nähnlicher werden meine Gefühle denen, die ich\neinst verspürte.\x0E\x04\x02\x00
MID_ED2_#069	Und das ist unverzeihlich, denn Ihr seid nicht\n\x0E\x0A\x00\x10\x06die\x06der, \x0E\x0A\x00\x10\x06die\x06den ich einst liebte.\x0E\x04\x00\x00
MID_ED2_#070	\x0E\x03\x02\x10\x0EE004_イル\nDeswegen bist du so barsch und distanziert\ngegenüber \x0E\x0A\x00\x10\x06dem\x06der \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin...\x0E\x04\x00\x00
MID_ED2_#071	\x0E\x03\x02\x10\x0EE004_エル\n...\x0E\x04\x02\x00
MID_ED2_#072	Ich muss meinen Kopf frei bekommen.\x0E\x04\x00\x00
MID_ED2_#073	\x0E\x03\x02\x18\x16E004_セレスティア\nMilady Nel! Wartet!\x0E\x04\x00\x00
MID_ED2_#074	\x0E\x03\x02\x10\x0EE004_イル\nEs ist für Nel zu gefährlich, dort draußen allein\nzu sein. Vier Winde, würdet ihr ihr bitte folgen?\x0E\x04\x02\x00
MID_ED2_#075	Ich warte hier, wo es sicher ist.\x0E\x04\x00\x00
MID_ED2_#076	\x0E\x03\x02\x18\x16E004_セレスティア\nSelbstverständlich, Mylord Nil.\x0E\x04\x00\x00
MID_ED2_#077	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE004_イル\x022\n\x0E\x03\x02\x10\x0EE004_イル\nNel hat die Armringe zurückgelassen, als sie\ndavongestürmt ist.\x0E\x04\x02\x00
MID_ED3_#002	Nun ja.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x0A\x08リュール\nJa...\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE004_イル\nWollt Ihr ihr nicht folgen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x0A\x08リュール\nIch denke, ich sollte besser hierbleiben.\x0E\x04\x02\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE004_イル\nVermutlich habt Ihr da recht.\x0E\x04\x02\x00
MID_ED3_#007	Es wird Nel schwerfallen, zurückzukommen.\nVerletzlichkeit zu zeigen, war niemals leicht für\nsie.\x0E\x04\x02\x00
MID_ED3_#008	Und nun kommt sie her und gesteht vor allen\nihre Liebe. Ich bin sicher, sie bereut das.\x0E\x04\x02\x00
MID_ED3_#009	Es ist gut, dass die Vier Winde bei ihr sind, um\nsie zu verhätscheln.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x0A\x08リュール\nDu kennst sie wirklich gut.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x02\x10\x0EE004_イル\nDas nehme ich an, ja, immerhin bin ich ihr\nZwillingsbruder.\x0E\x04\x02\x00
MID_ED3_#012	Ich weiß, was sie mag, ich kenne ihre Gewohn-\nheiten und Lieblingsbeschäftigungen. Ich weiß,\nwie zerbrechlich sie sein kann.\x0E\x04\x02\x00
MID_ED3_#013	\x0E\x03\x00\x18\x12E005_Boss\x023\n\x0E\x03\x02\x14\x12E005_Boss\nAber es gibt eine Sache, die ich noch nicht von\nihr weiß, und ich bin begierig darauf, sie zu\nerfahren.\x0E\x04\x02\x00
MID_ED3_#014	Wie wird sie es verkraften, wenn sie jene\nPerson, die ihr am meisten bedeutet, ein\nzweites Mal verliert?\x0E\x04\x00\x00
MID_ED3_#015	\x0E\x03\x02\x0A\x08リュール\nHm?\x0E\x04\x00\x00
MID_ED3_#016	\x0E\x03\x02\x14\x12E005_Boss\nIch muss es einfach herausfinden.\x0E\x04\x02\x00
MID_ED3_#017	Ich hoffe, das macht Euch nichts aus.\x0E\x04\x00\x00
MID_ED3_#018	\x0E\x03\x02\x0A\x08リュール\nWovon redest du?\x0E\x04\x00\x00
MID_ED3_#019	\x0E\x03\x02\x14\x12E005_Boss\nSeht Euch um, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED3_#020	\x0E\x03\x02\x0A\x08リュール\nEmblem Tiki!\x0E\x04\x00\x00
MID_ED3_#021	\x0E\x03\x02\x14\x12E005_Boss\nIch habe sie aus ihrem Schlaf geweckt.\x0E\x04\x02\x00
MID_ED3_#022	Hahaha, überrascht? Das war der Grund für\nmeine Frage, ob Ihr meiner Schwester folgen\nwollt.\x0E\x04\x02\x00
MID_ED3_#023	Wie schade, Ihr habt Euch entschlossen,\nhierzubleiben. Bei mir.\x0E\x04\x02\x00
MID_ED3_#024	Und nun lebt wohl, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x0A\x04イル\x021\n\x0E\x03\x00\x0E\x08ソンブル\x022\n\x0E\x03\x02\x06\x04イル\nIch habe es geschafft!\x0E\x04\x02\x00
MID_ED4_#002	Ich habe ein Emblem aufgeweckt! Endlich\nverfüge auch ich über eine eigene Macht!\x0E\x04\x02\x00
MID_ED4_#003	Nun bin ich endlich auch von Nutzen. Ich werde\nnicht länger ein Fehlschlag sein!\x0E\x04\x02\x00
MID_ED4_#004	Das muss ich sofort Nel zeigen.\x0E\x04\x00\x00
MID_ED4_#005	\x0E\x03\x02\x0A\x08ソンブル\nDas wäre unklug.\x0E\x04\x00\x00
MID_ED4_#006	\x0E\x03\x02\x06\x04イル\nVater!\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x0A\x08ソンブル\nSpiele weiter die Rolle des Schwächlings.\nVerbirg deine wahre Stärke. Überliste die\nanderen.\x0E\x04\x00\x00
MID_ED4_#008	\x0E\x03\x02\x06\x04イル\nAber...\x0E\x04\x00\x00
MID_ED4_#009	\x0E\x03\x02\x0A\x08ソンブル\nDu bist begabt.\x0E\x04\x02\x00
MID_ED4_#010	Vielleicht bist du in der Lage, mein wahrer\nErbe zu werden...\x0E\x04\x02\x00
MID_ED4_#011	Deine Macht übersteigt selbst die deiner\nSchwester.\x0E\x04\x00\x00
MID_ED4_#012	\x0E\x03\x02\x06\x04イル\n...\x0E\x04\x00\x00
