MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn der tiefsten Finsternis der Einsamkeit...\nwürdet Ihr Euch das Licht zu eigen machen?\x0E\x04\x02\x00
MID_ED1_#058	\x0E\x03\x02\x10\x0EE003_エル\n\x0E\x0A\x00\x10\x06Die\x06Der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott war stark. Und \x0E\x0A\x00\x10\x06die\x06der \x0E\x0A\x00(\x14Wyrmgöttin\x10Wyrmgott\nstarb.\x0E\x04\x00\x00
MID_ED1_#059	\x0E\x03\x02\x0A\x08リュール\nNel...\x0E\x04\x00\x00
MID_ED1_#060	\x0E\x03\x02\x10\x0EE003_イル\nNun gut, das war jetzt genug Schwarzmalerei!\nWir wollen \x0E\x0A\x00\x1A\x0Cdiesen\ndiese \x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin doch nicht beun-\nruhigen!\x0E\x04\x02\x00
MID_ED1_#061	Die Dinge haben sich verändert. Jeder von uns\nhat bewiesen, dass er einer Schlacht gewachsen\nist.\x0E\x04\x02\x00
MID_ED1_#062	Und das verdanken wir zum größten Teil Euch.\nEure Führung war ein Segen.\x0E\x04\x00\x00
MID_ED1_#063	\x0E\x03\x00\x1C\x16E003_セレスティア\x024\n\x0E\x03\x02\x18\x16E003_セレスティア\nDas stimmt.\x0E\x04\x00\x00
MID_ED1_#064	\x0E\x03\x00\x1A\x14E003_グレゴリー\x024\n\x0E\x03\x02\x16\x14E003_グレゴリー\nJepp, Ihr wart eine große Hilfe.\x0E\x04\x00\x00
MID_ED1_#065	\x0E\x03\x02\x10\x0EE003_エル\nIch bin Euch ebenfalls dankbar für Eure Hilfe.\x0E\x04\x02\x00
MID_ED1_#066	Für Eure bisherige Hilfe.\x0E\x04\x00\x00
MID_ED1_#067	\x0E\x03\x02\x0A\x08リュール\nHa... Ich hätte wissen müssen, dass noch eine\nEinschränkung folgen würde.\x0E\x04\x02\x00
MID_ED1_#068	Aber ich weiß, dass du es gut meinst. Und ich\nfreue mich, dass ich eine Hilfe sein kann.\x0E\x04\x00\x00
MID_ED1_#069	\x0E\x03\x02\x10\x0EE003_イル\nNun, wir haben noch viel zu tun. Wir sollten\njetzt nicht unseren Schwung verlieren.\x0E\x04\x00\x00
MID_ED1_#070	\x0E\x03\x02\x0A\x08リュール\nWohin gehen wir als Nächstes?\x0E\x04\x00\x00
MID_ED1_#071	\x0E\x03\x02\x10\x0EE003_エル\nZum Reich des Wissens im Westen, zum König-\nreich Elusia.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x09\x00\n\x0E\x03\x00\x1E\x18デモ用_邪竜のきょうだい\x021\n\x0E\x03\x00\x0A\x04エル\x022\n\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nHe, sieh mal, da ist Nel. Der Stolz der ganzen\nNachkommenschaft.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nSie kann sich nicht nur verwandeln, sondern\nauch Embleme in Schlaf versetzen. Stimmt\ndoch, oder, Nel?\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nEs muss schwer für dich sein, diesen Fehlschlag\nals Zwilling zu haben.\x0E\x04\x00\x00
MID_ED2_#004	\x0E\x03\x02\x06\x04エル\nSprichst du da über Nil?\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nOh, ist das der Name des Fehlschlags?\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nIch mache mir normalerweise nicht die Mühe,\nmir ihre Namen zu merken.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nHast du keine Angst, dass seine Schwäche auf\ndich abfärbt?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nWir könnten ihn ganz einfach loswerden. Das\nwäre kein Problem.\x0E\x04\x00\x00
MID_ED2_#009	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nEr bremst dich doch nur.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nStimmst du nicht zu, Nel?\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nWas sagst du dazu?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x06\x04エル\nHmpf.\x0E\x04\x02\x00
MID_ED2_#013	Das kann nicht euer Ernst sein.\x0E\x04\x00\x00
MID_ED2_#014	\x0E\x03\x02\x1A\x18デモ用_邪竜のきょうだい\nBitte?\x0E\x04\x00\x00
MID_ED2_#015	\x0E\x03\x02\x06\x04エル\nIch sagte, dass das sicher nicht euer Ernst ist.\x0E\x04\x02\x00
MID_ED2_#016	Solltet ihr wirklich beabsichtigen, meinen\nBruder zu töten, müsste ich...\x0E\x04\x02\x00
MID_ED2_#017	Müsste ich...\x0E\x04\x02\x00
MID_ED2_#018	...!\x0E\x04\x02\x00
MID_ED2_#019	Was... Was ist passiert?\x0E\x04\x02\x00
MID_ED2_#020	War ich... das?\x0E\x04\x02\x00
MID_ED2_#021	Was hab ich nur getan?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nDie Schwachen ausgemerzt.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x06\x04エル\n...!\x0E\x04\x02\x00
MID_ED2_#024	Vater, verzeiht mir. Ich wollte nicht...\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x0A\x08ソンブル\nDa gibt es nichts zu verzeihen.\x0E\x04\x02\x00
MID_ED2_#026	Bitte, mach weiter. Ich wollte das Töten nicht\nunterbrechen.\x0E\x04\x02\x00
MID_ED2_#027	Ich glaube, du wirst eine angemessene Erbin\nsein.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x06\x04エル\nIch...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE003_エル\x021\n\x0E\x03\x00\x18\x12E003_Boss\x022\n\x0E\x03\x00\x18\x12E003_Hide\x023\n\x0E\x03\x02\x14\x12E003_Hide\nDu!\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x14\x12E003_Boss\nIch habe dir doch schon gesagt, dass Brodia\neinen Konflikt vermeiden wird. Was willst du\ndenn noch?\x0E\x04\x02\x00
MID_ED3_#003	Und wieso haben die Wachen dich überhaupt\nhineingelassen?\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE003_エル\nIch habe sie getötet.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x14\x12E003_Boss\nEh!\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE003_エル\nIhnen Eure Sicherheit anzuvertrauen, war ein\nschwerer Irrtum.\x0E\x04\x02\x00
MID_ED3_#007	Und nun will ich wissen, ob Ihr hinter dem\nAngriff auf Schloss Lythos steckt. Antwortet.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x14\x12E003_Boss\nWovon sprichst du? Ein Angriff auf Lythos?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x14\x12E003_Hide\nWelches Land könnte es wagen, einen Konflikt\nzu provozieren? Firene? Nein... Gewiss Elusia.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x10\x0EE003_エル\nIhr scheint wirklich nichts darüber zu wissen.\nSo sei es.\x0E\x04\x02\x00
MID_ED3_#011	Ich habe für Euch keine weitere Verwendung\nmehr.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x14\x12E003_Hide\nHngh.\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x14\x12E003_Boss\nAlcryst... Alcryst! Du Monster! Du widerliche\nSchlange!\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x14\x12E003_Boss\nUaaah!\x0E\x04\x02\x00
MID_ED3_#015	Ich verstehe das nicht... Wir haben dir doch\ngegeben, was du wolltest...\x0E\x04\x02\x00
MID_ED3_#016	Es gibt keinen Grund hierfür...\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x10\x0EE003_エル\nIch habe sehr wohl einen Grund, König Diamant.\x0E\x04\x02\x00
MID_ED3_#018	Normalerweise würde ich mich niemals auf\ndiese Art anschleichen, aber ich konnte mir\ndiese Gelegenheit nicht entgehen lassen.\x0E\x04\x02\x00
MID_ED3_#019	Nun ja, ich muss vor Sonnenaufgang wieder\nzurück sein. Es wäre nicht gut, wenn die\nanderen argwöhnisch würden.\x0E\x04\x02\x00
MID_ED3_#020	...\x0E\x04\x02\x00
MID_ED3_#021	König Alfred und Prinzessin Céline haben sich\nebenfalls kaum gewehrt...\x0E\x04\x00\x00
