MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nWünscht ihr, unschuldig zu bleiben, euch fest\nan die Lehren, denen ihr folgt, zu halten?\x0E\x04\x02\x00
MID_ED1_#109	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nIch habe gehört, dass Drachen von großer\nMacht ihre Lebenskraft an andere weitergeben\nkönnen.\x0E\x04\x02\x00
MID_ED1_#110	Glaubt Ihr, dass das stimmt?\x0E\x04\x00\x00
MID_ED1_#111	\x0E\x03\x02\x0A\x08リュール\nJa... Meine Mutter tat genau das für mich. Aber\nes dauerte tausend Jahre, bis ich aufgewacht\nbin.\x0E\x04\x00\x00
MID_ED1_#112	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nDann werde ich dasselbe tun. Ich werde Nel\nins Leben zurückholen, selbst wenn es so\nlange dauern sollte.\x0E\x04\x02\x00
MID_ED1_#113	Ich werde allein in dieser leeren Welt verweilen,\nin der Hoffnung, dass sie eines Tages wieder\naufwacht.\x0E\x04\x02\x00
MID_ED1_#114	Vielleicht ist das die passende Bestrafung für\ndas, was ich getan habe.\x0E\x04\x02\x00
MID_ED1_#115	Und vielleicht... Falls und wenn du aufwachst...\x0E\x04\x02\x00
MID_ED1_#116	Werden wir dann wahrlich zwei Hälften eines\nGanzen.\x0E\x04\x00\x00
MID_ED1_#117	\x0E\x03\x02\x0A\x08リュール\nDas werdet ihr.\x0E\x04\x02\x00
MID_ED1_#118	Nein... Ihr seid es schon.\x0E\x04\x00\x00
MID_ED1_#119	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nIst dem so...?\x0E\x04\x00\x00
MID_ED1_#120	\x0E\x03\x02\x0A\x08リュール\nRafal, wenn Nel aufgewacht ist... Warum kommt\nihr nicht zu mir, um in meinem Elyos zu leben?\x0E\x04\x00\x00
MID_ED1_#121	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nWas?\x0E\x04\x00\x00
MID_ED1_#122	\x0E\x03\x02\x0A\x08リュール\nIch habe das Gefühl, dass es für euch möglich\nist, von hier ins Somniel zu reisen.\x0E\x04\x02\x00
MID_ED1_#123	Es ist schwer zu erklären, aber ich kann meine\nWelt spüren. Sie fühlt sich... näher an.\x0E\x04\x00\x00
MID_ED1_#124	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nJa... Es scheint, dass uns der Weg zu anderen\nWelten offensteht. Vielleicht liegt es an den\nArmringen.\x0E\x04\x02\x00
MID_ED1_#125	Ich wollte den Bestrebungen meines Vaters\nnachkommen. Wenn die Eroberung anderer\nWelten Teil seines Planes war...\x0E\x04\x02\x00
MID_ED1_#126	Aber ich glaube, es ist so, wie Ihr sagtet. Es\nsollte möglich sein, von hier aus in andere\nWelten zu reisen.\x0E\x04\x00\x00
MID_ED1_#127	\x0E\x03\x02\x0A\x08リュール\nDann verleihe ich euch beiden meinen Schutz,\ndamit ihr zu uns reisen könnt. Sobald ihr dazu\nbereit seid.\x0E\x04\x02\x00
MID_ED1_#128	Das Somniel kann ohne meinen Segen als\n\x0E\x0A\x00(\x10Wyrmgott\x14Wyrmgöttin nicht betreten werden.\x0E\x04\x02\x00
MID_ED1_#129	Also, kommt zu mir. Die Einladung steht, egal,\nwie lange ihr auch braucht, bis ihr sie annehmt.\x0E\x04\x00\x00
MID_ED1_#130	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nIhr wollt wirklich jemanden zu Eurem Ver-\nbündeten machen, der Euch gerade noch töten\nwollte?\x0E\x04\x02\x00
MID_ED1_#131	Wenn Ihr mich hier und jetzt fragt, dann\nlautet meine Antwort nein.\x0E\x04\x02\x00
MID_ED1_#132	Aber tausend Jahre sind eine lange Zeit.\x0E\x04\x02\x00
MID_ED1_#133	Ich sage Euch dies: Sollte Nel, wie durch ein\nWunder, wieder aufwachen und sollte sie mir\ndann vergeben können...\x0E\x04\x02\x00
MID_ED1_#134	Dann – und nur dann – reise ich zu Euch.\x0E\x04\x00\x00
MID_ED1_#135	\x0E\x03\x02\x0A\x08リュール\nIn Ordnung.\x0E\x04\x00\x00
MID_ED1_#136	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nNun, mehr gibt es nicht zu sagen.\nGeht nun.\x0E\x04\x00\x00
MID_ED1_#137	\x0E\x03\x02\x0A\x08リュール\nWie du wünschst. Aber ich hoffe, wir werden\nuns wiedersehen.\x0E\x04\x00\x00
MID_ED1_#138	\x0E\x03\x02\x18\x16E006_セレスティア\nMylord Rafal?\x0E\x04\x00\x00
MID_ED1_#139	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nJa?\x0E\x04\x00\x00
MID_ED1_#140	\x0E\x03\x02\x18\x16E006_セレスティア\nTrotz allem, was passiert ist, bin ich dankbar\nfür die Zeit, die wir gemeinsam verbracht haben.\x0E\x04\x02\x00
MID_ED1_#141	Ich hoffe, wir werden uns als Verbündete\nwiedersehen.\x0E\x04\x00\x00
MID_ED1_#142	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nDu verschwendest deine Freundlichkeit.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x1C\x16デモ用_神竜王リュール\x021\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\n\x0E\x03\x00\x1C\x16E006_セレスティア\x022\n\x0E\x03\x00\x1A\x14E006_マデリーン\x023\n\x0E\x03\x00\x1A\x14E006_グレゴリー\x024\n\x0E\x03\x02\x18\x16デモ用_神竜王リュール\nWir sind da. Wir sind wieder auf Schloss Lythos.\x0E\x04\x00\x00
MID_ED2_#002	\x0E\x03\x02\x18\x16E006_セレスティア\nEs fühlt sich an, als seien wir eine Ewigkeit\nfort gewesen.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nEs ist so viel passiert, seit ich Nel und Nil hier\nzum ersten Mal getroffen habe.\x0E\x04\x02\x00
MID_ED2_#004	Die Könige und Königinnen, die Embleme...\nSie sind alle fort.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x18\x16E006_セレスティア\nJa... Und auch Mauvier.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x16\x14E006_マデリーン\nHach.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E006_セレスティア\nWas sollen wir denn jetzt tun?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x16\x14E006_グレゴリー\nKeine Ahnung. Jede Nation hat ihren Herrscher\nverloren. Und vermutlich auch das gesamte\nVolk.\x0E\x04\x02\x00
MID_ED2_#009	Vielleicht könnten wir versuchen, alles wieder\naufzubauen? Oder jeder von uns schnappt sich\neinen Thron und wird Regent?\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x16\x14E006_マデリーン\nRegenten ohne Untertanen. Hmpf. Ich fürchte,\nuns bleibt nichts anderes übrig, als bis zum\nEnde die Zeit abzusitzen.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nWas haltet ihr davon, mit mir zu kommen?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x18\x16E006_セレスティア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche?\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nDiese Welt lässt sich nicht mehr retten. Ihr habt\nes ja selbst gesagt – es ist niemand mehr da.\x0E\x04\x02\x00
MID_ED2_#014	Ich bin nur \x0E\x0A\x00:\x18ein Besucher\x1Eeine Besucherin. Ich muss bald\nwieder in meine Welt zurückgehen.\x0E\x04\x02\x00
MID_ED2_#015	Aber wenn ich euch zurückließe, wäre ich nicht\nsicher, wie lange ihr überleben würdet.\x0E\x04\x02\x00
MID_ED2_#016	Mit mir zu kommen bedeutet, wieder Schlachten\nzu schlagen... Aber dennoch hoffe ich, dass ihr\nes in Erwägung zieht.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x16\x14E006_グレゴリー\nAlso für mich hört sich das gut an. Zumindest\nbesser als bis zum Grab herumzusitzen und\nDäumchen zu drehen.\x0E\x04\x02\x00
MID_ED2_#018	Ich sage, wir gehen mit.\x0E\x04\x02\x00
MID_ED2_#019	Eine neue Welt könnte furchteinflößende neue\nGegner und Gefahren bedeuten, aber trotzdem.\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x02\x16\x14E006_マデリーン\nDas ist ein verlockendes Angebot, aber... ich bin\nnicht sicher.\x0E\x04\x02\x00
MID_ED2_#021	Was würde Mauvier dazu sagen? Würde er uns\nvergeben?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x18\x16E006_セレスティア\nWas willst du damit sagen?\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x16\x14E006_マデリーン\nWir sind seine Familie, und wenn wir gehen,\ndann bleibt er hier allein zurück. Das scheint\nmir ungerecht zu sein.\x0E\x04\x02\x00
MID_ED2_#024	Warum sollten wir die Glücklichen sein? Womit\nhaben wir das verdient?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x16\x14E006_グレゴリー\nWas verdient? Glücklich zu sein?\x0E\x04\x02\x00
MID_ED2_#026	Madeline, was war das Letzte, was der Große...\nwas Mauvier zu dir gesagt hat?\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x16\x14E006_マデリーン\nEr sagte, er wünsche mir das größtmögliche\nGlück.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x16\x14E006_グレゴリー\nDa hast du es.\x0E\x04\x02\x00
MID_ED2_#029	Er hat dir vermutlich gesagt, du sollst nach\nvorne und nicht zurück blicken. Selbst wenn\ndies bedeutet, ihn zurückzulassen.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x16\x14E006_マデリーン\nDu wirst nicht für ihn sprechen! Du hast ihn\nnicht gekannt, wie ich ihn kannte!\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x16\x14E006_グレゴリー\nIch kannte ihn verdammt gut! Wir haben sehr\nviel Zeit miteinander verbracht. Wir waren\npraktisch Brüder!\x0E\x04\x02\x00
MID_ED2_#032	Wie dem auch sei... Du musst zugeben, dass\ner nicht gewollte hätte, dass du dir auf ewig\nGedanken machst.\x0E\x04\x00\x00
MID_ED2_#033	\x0E\x03\x02\x16\x14E006_マデリーン\nAch, ich weiß.\x0E\x04\x02\x00
MID_ED2_#034	Mauvier würde sagen, ich solle gehen.\nVersuchen, ohne ihn glücklich zu sein...\nSchnief... Schluchz!\x0E\x04\x00\x00
MID_ED2_#035	\x0E\x03\x02\x18\x16E006_セレスティア\nWeine ruhig, Madeline. Seit... es passiert ist,\ngab es keine Gelegenheit, um ihn zu trauern.\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nEs tut mir leid. Ihr wurdet in dieser Welt ge-\nboren und ich frage euch, ob ihr alles hinter\neuch lassen wollt.\x0E\x04\x02\x00
MID_ED2_#037	Aber wenn es euch hilft... Ich habe auch mit\nRafal gesprochen. Er plant, ebenfalls zu\nkommen. Eines Tages.\x0E\x04\x02\x00
MID_ED2_#038	Ihr könntet mit mir auf ihn warten.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x18\x16E006_セレスティア\n\x0E\x0A\x00*\x14Göttlicher\x12Göttliche... Ich teile Madelines Empfindungen.\x0E\x04\x02\x00
MID_ED2_#040	Es fühlt sich falsch an, zu gehen – und unseren\nMylord und unsere Milady zurückzulassen.\x0E\x04\x00\x00
MID_ED2_#041	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nVerstehe.\x0E\x04\x00\x00
MID_ED2_#042	\x0E\x03\x02\x18\x16E006_セレスティア\nAber anstatt hier einfach nur dahinzutreiben,\nkönnten wir in eine Welt gehen, in der unsere\nFähigkeiten von Nutzen sind.\x0E\x04\x02\x00
MID_ED2_#043	Und nach allem, was passiert ist, ist es schwer,\nEuer Angebot auszuschlagen.\x0E\x04\x02\x00
MID_ED2_#044	Wir haben gemeinsam so viel durchgemacht.\x0E\x04\x00\x00
MID_ED2_#045	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nJa, das haben wir.\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x18\x16E006_セレスティア\nIch bin geneigt, mitzugehen. Geht es euch\nbeiden auch so?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x16\x14E006_グレゴリー\nJepp.\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x16\x14E006_マデリーン\nJa.\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x18\x16E006_セレスティア\nDann werden die restlichen Winde von nun an\nin Euren Diensten stehen.\x0E\x04\x02\x00
MID_ED2_#050	Wir werden mit Euch gehen, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED2_#051	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nIch bin froh darüber. Ich freue mich schon\ndarauf, mehr Zeit mit euch allen zu verbringen.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x18\x16E006_セレスティア\nDie Freude ist ganz unsererseits.\x0E\x04\x02\x00
MID_ED2_#053	Also dann! Vergesst nicht, ihr beiden! Wir\nwerden als die Vier Winde gute Arbeit leisten,\nselbst wenn wir in einer anderen Welt sind!\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x16\x14E006_グレゴリー\nWie jetzt? Nennen wir uns nicht die Drei Winde?\x0E\x04\x00\x00
MID_ED2_#055	\x0E\x03\x02\x16\x14E006_マデリーン\nDu wusstest die Antwort doch schon, bevor\ndu die Frage gestellt hast.\x0E\x04\x00\x00
MID_ED2_#056	\x0E\x03\x02\x18\x16E006_セレスティア\nWir vier sind Familie – und wir werden immer\nzusammenbleiben.\x0E\x04\x02\x00
MID_ED2_#057	Nichts wird das ändern können.\x0E\x04\x00\x00
MID_ED2_#058	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nAlso dann. Gehen wir!\x0E\x04\x02\x00
MID_ED2_#059	Nel, Rafal... Ich werde euch eines Tages wieder-\nsehen.\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x00\x10\n青リュール\x024\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0C\n青リュール\nIch danke dir, \x0E\x0A\x00>\x1Amein Wyrmgott meine Wyrmgöttin – mein\nGegenstück. Ich bete dafür, dass deine Zukunft\nvon Hoffnung und Liebe erfüllt sein wird.\x0E\x04\x02\x00
MID_ED2_#061	Und bitte... pass für mich gut auf sie auf.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x023\n\x0E\x03\x02\x0A\x08リュール\nHeute ist so ein herrliches Wetter.\x0E\x04\x02\x00
MID_ED3_#002	Dieser strahlend blaue Himmel fühlt sich wie\nein gutes Omen an.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nDem kann ich nur zustimmen.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x0A\x08リュール\nHuch!\x0E\x04\x02\x00
MID_ED3_#005	Nel! Rafal! Ich hatte nicht erwartet, euch so\nbald wiederzusehen!\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE006_エル\nEs ist eine Weile her, \x0E\x0A\x00*\x14Göttlicher\x12Göttliche.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nFür mich waren es tausend Jahre, doch Nel ist\naufgewacht – und wir sind wie versprochen\nhierhergekommen.\x0E\x04\x02\x00
MID_ED3_#008	Meine Schwester und ich stehen Euch zur\nVerfügung.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08リュール\nWillkommen, ihr beiden.\x0E\x04\x02\x00
MID_ED3_#010	Es ist wirklich ein herrlicher Morgen.\x0E\x04\x00\x00
