MID_TUT_CATEGORY_TITLE_Battle	Kämpfe
MID_TUT_HUB_ARENA_1	Im Standardtraining kämpft ein ausgewählter\nVerbündeter mit einem anderen Verbündeten.\nEs ist kostenlos, aber begrenzt.
MID_TUT_HUB_ARENA_2	Das Emblemtraining stärkt die Bande zwischen\neinem Verbündeten und einem Emblem. Es kos-\ntet Fragmente des Bandes und ist unbegrenzt.
MID_TUT_HUB_ANIMAL_OPEN	Du kannst jetzt Tiere aufnehmen.
MID_TUT_HUB_ANIMAL_TITLE	Tiere
MID_TUT_HUB_ANIMAL_0	Wenn du auf deinen Erkundungstouren Tieren\nbegegnest, kannst du sie aufnehmen und zum\nSomniel bringen.
MID_TUT_HUB_ANIMAL_1	Nachdem du sie aufgenommen hast, finden sie\nauf dem Gehöft ein neues Zuhause. Vielleicht\nhinterlassen sie sogar nützliche Dinge für dich.
MID_TUT_HUB_ANIMAL_2	Wenn du über die Pinnwand an Länder\nspendest, kannst du weitere Tiere aufnehmen.
MID_TUT_HUB_AMIIBO_OPEN	Der amiibo-Pavillon steht jetzt zur Verfügung.
MID_TUT_HUB_AMIIBO_TITLE	amiibo-Pavillon
MID_TUT_HUB_AMIIBO_0	Lies amiibo ein und erhalte Items und\nBelohnungen.
MID_TUT_HUB_AMIIBO_1	Liest du ein Fire Emblem-amiibo ein, winkt dir\neine besondere Belohnung.
MID_TUT_HUB_DRILLINGSHOP_OPEN	Die Schmiede und die Boutique haben geöffnet.
MID_TUT_HUB_DRILLINGSHOP_TITLE	Schmiede
MID_TUT_HUB_DRILLINGSHOP_0	In der Schmiede kannst du deine Waffen im\nTausch gegen Gold und Materialien verstärken.
MID_TUT_HUB_DRILLINGSHOP_1	Werte deine Waffen auf und entwickle sie\nweiter, indem du sie veredelst oder gravierst.
MID_TUT_HUB_DRILLINGSHOP_2	Übertrage mit einer Gravur eine Emblem-Macht\nauf eine Waffe, wobei nie mehr als 1 Emblem\nzur gleichen Zeit verwendet werden kann.
MID_TUT_HUB_DRILLINGSHOP_3	Tipp: Die zum Veredeln benötigten Materialien\nkannst du auch durch andere Materialien\nersetzen.
MID_TUT_HUB_ACCESSORYSHOP_TITLE	Boutique
MID_TUT_HUB_ACCESSORYSHOP_0	Hier kannst du im Tausch gegen Materialien\nund Gold Kleidung und Accessoires in Auftrag\ngeben, die du im Somniel tragen kannst.
MID_TUT_HUB_ACCESSORYSHOP_1	Die meisten Accessoires, die du hier anfertigst,\nkönnen von allen Charakteren getragen werden.
MID_TUT_HUB_ACCESSORYSHOP_2	Im Verlauf des Spiels erweitert sich das Angebot\nder Boutique.
MID_TUT_HUB_COOK_OPEN	Im Café kannst du jetzt gemeinsam mit deinen\nFreunden Mahlzeiten zu dir nehmen.
MID_TUT_HUB_COOK_TITLE	Gemeinsame Mahlzeiten
MID_TUT_HUB_COOK_0	Bestelle Gerichte, um sie mit deinen\nVerbündeten zu essen.
MID_TUT_HUB_COOK_1	Wenn das Gericht gut gelingt, erhalten deine\nVerbündeten einen Wertebonus im nächsten\nKampf.
MID_TUT_HUB_COOK_2	Speise mit deinen Verbündeten, um\nUnterstützungspunkte zu erhalten.
MID_TUT_HUB_COOK_3	Derjenige, der Küchendienst hat, kann dir Reste\neinpacken. Dieses Gericht kannst du als Item\nmit in den Kampf nehmen, um KP zu heilen.
MID_TUT_HUB_CAPERIDGE_OPEN	Du hast nun Zugang zum Turm der Prüfungen.
MID_TUT_HUB_CAPERIDGE_TITLE	Turm der Prüfungen
MID_TUT_HUB_CAPERIDGE_0	In diesem Turm kannst du Belohnungen\nverdienen, indem du Prüfungen absolvierst.
MID_TUT_HUB_CAPERIDGE_1	In der Sturmprüfung musst du mehrere Karten\nhintereinander bewältigen. Zu Beginn kannst du\ndie Schwierigkeit festlegen.
MID_TUT_HUB_CAPERIDGE_2	In Staffelprüfungen spielst du online im Team\nmit anderen Spielern. Ihr kämpft abwechselnd\ngegen Gegner.
MID_TUT_HUB_CAPERIDGE_3	In der Dimensionsprüfung trittst du online auf\nselbst gestalteten Karten gegen die Armeen\nanderer Spieler an.
MID_TUT_HUB_FISHING_OPEN	Du kannst nun angeln!
MID_TUT_HUB_FISHING_TITLE	Angeln
MID_TUT_HUB_FISHING_0	Du kannst nun im Teich angeln. Wirf mit \x0E\x08\x02\x04\x02A den\nKöder aus, wo es dir gefällt! Achte besonders\nauf Wellen – sie weisen auf große Fische hin.
MID_TUT_HUB_FISHING_1	Drücke \x0E\x08\x02\x04\x02A, wenn der Schwimmer vollständig\neingetaucht ist, damit der Fisch anbeißt.
MID_TUT_HUB_FISHING_2	Wenn der Fisch an der Leine in eine bestimmte\nRichtung zerrt, neige \x0E\x08\x02\x0E\x0CStickL in die entgegengesetzte\nRichtung, um die Schnur einzuholen.
MID_TUT_HUB_FISHING_3	Drücke wiederholt \x0E\x08\x02\x04\x02A, um die Ausdauer des\nFisches zu dezimieren, sobald du ihn nah genug\nherangezogen hast.
MID_TUT_HUB_FISHING_4	Wenn seine Ausdauer auf 0 fällt, hast du den\nFisch gefangen. Mit neuen Angelruten kannst\ndu größere Fische fangen.
MID_TUT_HUB_DRAGONRIDE_OPEN	Du kannst jetzt „Wyvernreiten“ spielen!
MID_TUT_HUB_DRAGONRIDE_TITLE	Wyvernreiten
MID_TUT_HUB_DRAGONRIDE_0	Beim Wyvernreiten fliegst du über eine\nRennstrecke und schießt auf fliegende Ziele.
MID_TUT_HUB_DRAGONRIDE_1	Versuche, die Sonderziele zu treffen und eine\nhohe Punktzahl zu erreichen! Im späteren Spiel-\nverlauf werden weitere Strecken freigeschaltet.
MID_TUT_HUB_FLEAMARKET_OPEN	Der Flohmarkt hat nun geöffnet.
MID_TUT_HUB_FLEAMARKET_TITLE	Flohmarkt
MID_TUT_HUB_FLEAMARKET_0	Auf dem Flohmarkt findest du Items, die es in\nnormalen Läden nicht zu kaufen gibt.
MID_TUT_HUB_FLEAMARKET_1	Das Angebot ändert sich, schau also regelmäßig\nvorbei.
MID_TUT_HUB_FORTUNE_OPEN	Der Wahrsager hat jetzt geöffnet.
MID_TUT_HUB_FORTUNE_TITLE	Der Wahrsager
MID_TUT_HUB_FORTUNE_0	Der Wahrsager Seadall betreibt sein Gewerbe\nmithilfe von Karten.
MID_TUT_HUB_FORTUNE_1	Er stellt seine Dienste nur abends zur\nVerfügung. Besuche ihn nach Sonnenuntergang.
MID_TUT_HUB_PROFILE_OPEN	Du kannst nun auf die Ruhmeshalle zugreifen.
MID_TUT_HUB_CAPERIDGE_DETAIL_TITLE	Kämpfe in Prüfungen
MID_TUT_HUB_CAPERIDGE_DETAIL_0	Verbrauchte Items, gefallene Verbündete und\nerlittene Statusveränderungen werden nach\nEnde einer Prüfung zurückgesetzt.
MID_TUT_HUB_CAPERIDGE_DETAIL_1	Am Ende der Prüfung erhältst du für\nabgeschlossene Kämpfe Erfahrung und\nandere Belohnungen.
MID_TUT_HUB_CAPERIDGE_DETAIL_2	Da es keine bleibenden Änderungen an deiner\nArmee gibt, musst du dich nicht zurückhalten!
MID_TUT_CHALLENGE_TITLE	Sturmprüfungen
MID_TUT_CHALLENGE_0	Ziel einer Sturmprüfung ist es, mehrere Karten\nin Folge zu gewinnen.
MID_TUT_CHALLENGE_1	Für jeden abgeschlossenen Kampf erhältst du\nMaterialien und Erfahrung für die Verbündeten,\ndie teilgenommen haben.
MID_TUT_CHALLENGE_2	Die Schwierigkeit einer Prüfung kann bei der\nKartenauswahl festgelegt werden. Bei höherer\nSchwierigkeit gibt es bessere Belohnungen.
MID_TUT_RELAY_TITLE	Staffelprüfungen
MID_TUT_RELAY_0	In Staffelprüfungen wechselst du dich mit einem\nanderen Spieler ab, um Karten abzuschließen.
MID_TUT_RELAY_1	Wähle „Neue Prüfung“, um ein Ticket einzulösen\nund eine neue Prüfung zu beginnen.
MID_TUT_RELAY_2	Wähle „Übernahme“, um den Kampf dort\nfortzuführen, wo ein anderer Spieler aufgehört\nhat.
MID_TUT_RELAY_3	Besteht einer der Spieler die Prüfung, erhalten\nalle eine Belohnung. Über „Ergebnisse“ kannst\ndu dir die Wiederholung einer Prüfung ansehen.
MID_TUT_RELAY_ENTRY_PANEL_TITLE	Eingänge
MID_TUT_RELAY_ENTRY_PANEL_0	Bis zu fünf Verbündete können an einem\nEingang und auf den vier angrenzenden Feldern\nplatziert werden.
MID_TUT_RELAY_ENTRY_PANEL_1	Inaktive Eingänge kannst du aktivieren, indem\ndu einen Verbündeten dort warten lässt.
MID_TUT_RELAY_ENTRY_PANEL_2	Sobald du einen Eingang aktivierst, können\nübernehmende Spieler ihn zum Entsenden\nnutzen. Aktiviere also so viele wie möglich!
MID_TUT_RELAY_DATA_TAKEOVER_TITLE	Die Staffelübergabe
MID_TUT_RELAY_DATA_TAKEOVER_0	Nach einer bestimmten Anzahl von Zügen gibst\ndu das Kommando über die Armee ab. Bei der\nÜbernahme gibt es zwei Optionen.
MID_TUT_RELAY_DATA_TAKEOVER_1	Öffentlich: Jeder beliebige Spieler kann die\nStaffel übernehmen. Privat: Spieler müssen\nfür die Übernahme eine ID eingeben.
MID_TUT_RELAY_DATA_TAKEOVER_2	Sobald jemand deine Prüfung übernimmt,\nkannst du über „Ergebnisse“ den weiteren\nVerlauf mitverfolgen.
MID_TUT_RELAY_NEWDATA_TITLE	Eine neue Staffelprüfung starten
MID_TUT_RELAY_NEWDATA_0	Wenn du eine neue Prüfung startest, bist du der\nerste Spieler, der Einheiten auf das Feld\nentsendet.
MID_TUT_RELAY_NEWDATA_1	Wähle eine der verfügbaren Karten.
MID_TUT_RELAY_NEWDATA_2	Sobald du eine Karte ausgewählt hast, beginnen\ndie Vorbereitungen. Wähle „Los!“, um ein Staf-\nfelticket einzulösen und die Prüfung zu starten.
MID_TUT_RELAY_TAKEOVER_TITLE	Übernahme
MID_TUT_RELAY_TAKEOVER_0	Du kannst von anderen Spielern begonnene\nPrüfungen übernehmen. Für die Übernahme\ngibt es zwei Optionen.
MID_TUT_RELAY_TAKEOVER_1	Zufällig: Übernimm eine zufällig ausgewählte\nPrüfung.
MID_TUT_RELAY_TAKEOVER_2	ID eingeben: Gib eine Übernahme-ID ein, um die\nPrüfung eines bestimmten Spielers zu\nübernehmen.
MID_TUT_RELAY_TAKEOVER_3	Sobald du eine Prüfung ausgewählt hast, kannst\ndu mit „Los!“ den Kampf starten.
MID_TUT_RELAY_FINISH_TITLE	Ergebnisse ansehen
MID_TUT_RELAY_FINISH_0	Sieh dir die Ergebnisse deiner Staffelprüfungen\nan und hole nach Abschluss einer Prüfung\nBelohnungen ab.
MID_TUT_RELAY_FINISH_1	Du kannst die Kämpfe anderer Spieler und deine\neigenen als Wiederholung sehen. Laufende\nKämpfe sind bis zum aktuellen Stand sichtbar.
MID_TUT_RELAY_FINISH_2	Belohnungen gibt es auch, wenn du verlierst,\nSiege bringen jedoch bessere Preise ein.
MID_TUT_MATCH_TITLE	Dimensionsprüfungen
MID_TUT_MATCH_0	In der Dimensionsprüfung kämpfst du gegen Ar-\nmeen anderer Spieler auf Karten, die du selbst\nauswählst oder sogar selbst gestaltet hast.
MID_TUT_MATCH_1	Im Schnellkampf wählst du eine Karte, die dir\ngefällt, und kannst dann sofort zum Kampf\nübergehen.
MID_TUT_MATCH_2	Im Spezialkampf lädst du eine selbst erstellte\nKarte hoch, die du dann zu Kampfbeginn mit\nder Karte eines anderen Spielers verknüpfst.
MID_TUT_MATCH_3	In beiden Spielmodi erhältst du Belohnungen\nam Ende des Kampfes.
MID_TUT_MATCH_EASY_TITLE	Schnellkämpfe
MID_TUT_MATCH_EASY_0	Wähle eine Karte, schicke eine Raubgruppe los\nund kämpfe gegen die Armee eines anderen\nSpielers. Die Gegnerwahl bietet diese Optionen:
MID_TUT_MATCH_EASY_1	Zufällig: Tritt gegen eine zufällig ausgewählte\nArmee eines anderen Spielers an.
MID_TUT_MATCH_EASY_2	Freund: Greife eine Karte an, die von einem\ndeiner Freunde hochgeladen wurde.
MID_TUT_MATCH_EASY_3	ID eingeben: Wähle eine spezifische Karte aus,\nfür die du eine ID kennst.
MID_TUT_MATCH_SERIOUS_TITLE	Spezialkämpfe
MID_TUT_MATCH_SERIOUS_0	Erstelle eine Karte und lade sie hoch, oder\nverknüpfe deine Karte mit der eines anderen\nSpielers und greife an.
MID_TUT_MATCH_SERIOUS_1	Wähle „Karte editieren“, um dein eigenes\nSchlachtfeld zu gestalten.
MID_TUT_MATCH_EDIT_ATTACK_TITLE	Auf deiner Karte kämpfen
MID_TUT_MATCH_EDIT_ATTACK_0	Sobald du eine eigene Karte fertiggestellt hast,\nkannst du sie für Kämpfe verwenden.
MID_TUT_MATCH_EDIT_ATTACK_1	Wähle „Kampf starten“, um deine Karte mit der\neines anderen Spielers zu verbinden. Du entsen-\ndest deine Raubgruppe und der Kampf beginnt.
MID_TUT_MATCH_EDIT_ATTACK_2	Wird deine Karte angegriffen, kannst du unter\n„Ergebnisse“ das Resultat und die Wiederholung\nsehen.
MID_TUT_MATCH_EDIT_ATTACK_3	Teste mithilfe der Funktion „Übungskampf“,\nwie gut du deine Karte gestaltet hast.
MID_TUT_MATCH_ATTACK_TITLE	Kampf starten
MID_TUT_MATCH_ATTACK_0	Verbinde deine Karte mit der eines anderen\nSpielers. Entsende eine Raubgruppe und\nbeginne den Kampf.
MID_TUT_MATCH_ATTACK_1	Zufällig: Kämpfe auf einer zufällig ausgewählten\nKarte eines anderen Spielers.
MID_TUT_MATCH_ATTACK_2	Freund: Wähle aus den Karten, die deine\nFreunde hochgeladen haben.
MID_TUT_MATCH_ATTACK_3	ID eingeben: Kämpfe auf der Karte eines\nbestimmten Spielers, indem du die passende ID\neingibst.
MID_TUT_MATCH_EDIT_TITLE	Karten bearbeiten
MID_TUT_MATCH_EDIT_0	Bedenke beim Erstellen deiner eigenen Karten,\nwie das platzierte Gelände sich auf den\nKampfverlauf auswirken wird.
MID_TUT_MATCH_EDIT_1	Drücke \x0E\x08\x02\x04\x02X, um die Geländeliste zu öffnen. Du\nkannst Gelände mit \x0E\x08\x02\x04\x02A platzieren und mit \x0E\x08\x02\x04\x02L\nund \x0E\x08\x02\x04\x02R den ausgewählten Geländetyp ändern.
MID_TUT_MATCH_EDIT_2	Behalte auch die Verteidigung deiner Karte im\nBlick. Sobald du sie hochgeladen hast, greifen\nGegner an. Gute Verteidigung ist das A und O.
MID_TUT_MATCH_EDIT_3	Öffne das Menü mit \x0E\x08\x02\x0A\x08Plus, um dein Defensivteam\nfestzulegen. Dort kannst du auch deine Karte\nspeichern.
MID_TUT_MATCH_EDIT_SAVE_TITLE	Defensivteams festlegen
MID_TUT_MATCH_EDIT_SAVE_0	Du kannst Einstellungen, Platzierung und\nAusrüstung deines Defensivteams festlegen.
MID_TUT_MATCH_EDIT_SAVE_1	Ändere den Bewegungstyp eines Verbündeten,\nindem du den Cursor auf ihn bewegst und\n\x0E\x08\x02\x04\x02A drückst.
MID_TUT_MATCH_EDIT_SAVE_2	Einheiten, die in deinem Defensivteam sind,\nkönnen nicht in deiner Raubgruppe entsendet\nwerden – entscheide also mit Bedacht.
MID_TUT_MATCH_EDIT_SAVE_3	Wenn du das Gelände und dein Defensivteam\nplatziert hast, wähle „Karte speichern“.
MID_TUT_MATCH_EDIT_SAVE_4	Wähle „Fertigstellen“, wenn du fertig bist.
MID_TUT_MATCH_REPLAY_TITLE	Ergebnisse
MID_TUT_MATCH_REPLAY_0	Greift ein Spieler eine von dir hochgeladene\nKarte an, kommt dein Verteidigungsteam zum\nEinsatz.
MID_TUT_MATCH_REPLAY_1	Wenn es zu einem dieser Verteidigungskämpfe\nkommt, kannst du dir ansehen, wie er\nausgegangen ist.
MID_TUT_MATCH_REPLAY_2	Beobachte den Verlauf des Kampfes, indem du\ndir eine Wiederholung ansiehst.
MID_TUT_MATCH_REPLAY_3	Du kannst sogar bei Niederlagen Belohnungen\nerhalten, Siege bringen jedoch größere Preise\nein.
MID_TUT_MATCH_MOCKCOMBAT_TITLE	Übungskampf
MID_TUT_MATCH_MOCKCOMBAT_0	Teste deine erstellten Karten, um zu sehen, wie\ngut sie für den Kampf geeignet sind.
MID_TUT_MATCH_MOCKCOMBAT_1	Entsende eine Raubgruppe auf deine eigene\nKarte, um deine Verteidigung auf die Probe zu\nstellen.
MID_TUT_MATCH_MOCKCOMBAT_2	Falls du Nachbesserungsbedarf siehst, kannst\ndu „Karte editieren“ wählen und Anpassungen\nvornehmen.
MID_TUT_TIPS_Marth	Emblem Marth
MID_TUT_TIPS_Siglud	Emblem Sigurd
MID_TUT_TIPS_Celica	Emblem Celica
MID_TUT_TIPS_Micaiah	Emblem Micaiah
MID_TUT_TIPS_Roy	Emblem Roy
MID_TUT_TIPS_Lin	Emblem Lyn
MID_TUT_TIPS_Ike	Emblem Ike
MID_TUT_TIPS_Lucina	Emblem Lucina
MID_TUT_TIPS_Leaf	Emblem Leif
MID_TUT_TIPS_Kamui	Emblem Corrin
MID_TUT_TIPS_Eirik	Emblem Eirika
MID_TUT_TIPS_Ephraim	Emblem Ephraim
MID_TUT_TIPS_Byleth	Emblem Byleth
MID_TUT_TIPS_TUTORIAL	Die Grundlagen
MID_TUT_TIPS_ITEM	Items
MID_TUT_TIPS_WEAPON	Waffen
MID_TUT_TIPS_KIZUNA	Erkunden
MID_TUT_TIPS_HUB	Das Somniel
MID_TUT_TIPS_GMAP	Die Weltkarte
MID_TUT_TIPS_ENCOUNTER	Gefechte
MID_TUT_TIPS_UNIT_SKILL	 (Fähigkeit von \x0E\x01\x00\x00)
MID_TUT_TIPS_GOD_SKILL	 (Emblem-Fähigkeit von \x0E\x01\x00\x00)
MID_TUT_TIPS_UNIT_ITEM	 (Einzigartige Waffe von \x0E\x01\x00\x00)
MID_TUT_TIPS_GOD_ITEM	 (Bündniswaffe von \x0E\x01\x00\x00)
MID_TIPS_TUTORIAL_1	Tutorials können unter „System“ jederzeit erneut angesehen werden.
MID_TIPS_TUTORIAL_2	Unter „System“ kannst du Kampfanimationen aktivieren oder deaktivieren.
MID_TIPS_TUTORIAL_3	Mit \x0E\x08\x02\x06\x04ZL kannst du die Angriffsreichweite aller Gegner auf der Karte überprüfen.
MID_TIPS_TUTORIAL_4	Bewege den Cursor auf einen Gegner und drücke \x0E\x08\x02\x04\x02A, um den Gefahrenbereich zu\nüberprüfen.
MID_TIPS_TUTORIAL_5	Über den Menübefehl „Zug beenden“ kannst du die Spielerphase jederzeit beenden.
MID_TIPS_TUTORIAL_6	Drücke und halte \x0E\x08\x02\x04\x02Y, um Dialoge schneller abzuspielen.
MID_TIPS_TUTORIAL_7	Wenn ein Charakter 100 Erfahrungspunkte gesammelt hat, erhöhen sich sein Level und\nseine Grundwerte.
MID_TIPS_TUTORIAL_8	Blende mit \x0E\x08\x02\x04\x02X Details zu ausgewählten Items oder Fähigkeiten ein.
MID_TIPS_TUTORIAL_9	Bewege den Cursor auf eine Einheit und drücke \x0E\x08\x02\x0C\nMinus, um detaillierte Informationen\nüber sie zu erhalten.
MID_TIPS_TUTORIAL_10	Halte in der Schlacht auf der Karte \x0E\x08\x02\x06\x04ZR gedrückt, um die Anzeige der Minikarte\noder die Einheiteninformationen zu ändern.
MID_TIPS_TUTORIAL_50	Drücke auf einer Karte \x0E\x08\x02\x06\x04ZR, um zusätzliche Informationen über Einheiten anzuzeigen.
MID_TIPS_TUTORIAL_11	Ist das Gewicht (Gew.) einer Waffe höher als der Figur-Wert (Fig.) einer Einheit,\nverringert sich ihre Geschwindigkeit (Ges.).
MID_TIPS_TUTORIAL_12	Einheiten mit hohem Glück (Glk.) erleiden seltener kritische Treffer.
MID_TIPS_TUTORIAL_13	Im Gehölz oder in einem Hain ist es leichter, gegnerischen Angriffen auszuweichen.
MID_TIPS_ITEM_0	Verlorene KP können mithilfe eines Heilmittels oder durch die Verwendung von „Heilung“ wiederhergestellt werden.
MID_TIPS_ITEM_1	Heilmittel und Stäbe können nur begrenzt oft angewendet werden und verschwinden,\nwenn ihre Anzahl auf 0 sinkt.
MID_TIPS_TUTORIAL_14	Wähle „Auto-Kampf“, um eine Strategie zu wählen und die Einheiten selbstständig\nkämpfen zu lassen.
MID_TIPS_TUTORIAL_15	Ein Waffenvorteil fügt Gegnern „Bruch“ zu: Schwerter gegen Äxte, Äxte gegen Lanzen\nund Lanzen gegen Schwerter.
MID_TIPS_TUTORIAL_51	Nahkampftechniken brechen die Kampfhaltung von Gegnern, die Bogen, Bücher und\nMesser verwenden.
MID_TIPS_TUTORIAL_16	Gegner mit „Bruch“ können bis nach ihrem nächsten Kampf keinen Gegenangriff\nausführen, sodass du sie gefahrlos angreifen kannst.
MID_TIPS_TUTORIAL_17	Die Fähigkeit „Protektion“ ist gegen Bündnis-Angriffe wirkungslos.
MID_TIPS_SKILL_0	Mit steigendem Band-Level stehen mehr Fähigkeiten zur Verfügung und die Werte einer\nsynchronisierten oder verbundenen Einheit werden erhöht.
MID_TIPS_SKILL_1	Die Bündnisleiste füllt sich auf, wenn du kämpfst.
MID_TIPS_SKILL_28	Eine Einheit kann ihre Bündnisleiste vollständig auffüllen, indem sie auf einem Feld mit\nEmblem-Energie wartet.
MID_TIPS_SKILL_2	Mit Emblem Marths Bündnis-Angriff „Sternenlord-Blitz“ können Drachen zusätzliche\nAngriffe ausführen.
MID_TIPS_ITEM_2	Wenn eine Nahkampftechnik ausgerüstet ist, wird der physische Angriff (Ph. Agr.) von\nzwei Grundwerten beeinflusst: Stärke (Stä.) und Magie (Mag.).
MID_TIPS_TUTORIAL_18	Deine Verbündeten verfügen über einzigartige Fähigkeiten. Drücke \x0E\x08\x02\x04\x02X für Details.
MID_TIPS_TUTORIAL_19	Unter „Einheiten“ kannst du dir Klassen und Level von Verbündeten ansehen.
MID_TIPS_TUTORIAL_20	Deine Verbündeten erhalten Unterstützungspunkte, wenn sie nebeneinander kämpfen.
MID_TIPS_TUTORIAL_21	Wechsle die Waffe eines ausgewählten Verbündeten mit \x0E\x08\x02\x04\x02L oder \x0E\x08\x02\x04\x02R.
MID_TIPS_TUTORIAL_22	Gegner mit \x0E\x08\x02\x12\x10DropItem-Symbol hinterlassen ein Item, wenn sie besiegt werden.
MID_TIPS_ITEM_3	Bogen sind effektiv gegen fliegende Einheiten.
MID_TIPS_ITEM_4	Gepanzerte Einheiten haben hohe Verteidigung (Ver.), sind jedoch anfällig gegen\nmagische Angriffe.
MID_TIPS_OTHER_33	Du kannst die Schwierigkeit des Spiels verringern, indem du bei deinem Bett die Option\n„Schwierigkeit“ wählst.
MID_TIPS_TUTORIAL_24	Wenn du ein Haus besuchst, bevor ein Gegner es erreicht, bekommst du möglicherweise\nein Geschenk.
MID_TIPS_TUTORIAL_25	Bei Einheiten, die auf Festungen oder Schutzfeldern warten, werden in jeder Runde\nKP wiederhergestellt. Sie erleiden keinen Bruch durch Waffenvorteil.
MID_TIPS_TUTORIAL_27	Der Vorrat steht \x0E\x06\x03\x00 und benachbarten Verbündeten zur Verfügung, um\nwährend des Kampfes Items zu lagern und herauszunehmen.
MID_TIPS_TUTORIAL_28	Verdiene Band-Erfahrung, um Gespräche mit Emblemen freizuschalten, die deinen\nBand-Level erhöhen.
MID_TIPS_TUTORIAL_29	Verdiene Unterstützungspunkte, um Gespräche zwischen Verbündeten freizuschalten, die\nihren Unterstützungslevel erhöhen.
MID_TIPS_TUTORIAL_30	Erhöht sich der Unterstützungslevel von Verbündeten, erhalten sie einen Wertebonus,\nwenn sie im Kampf nebeneinander stehen.
MID_TIPS_TUTORIAL_32	Das \x0E\x08\x02\x18\x16EquipCancel-Symbol erscheint auf dem Waffensymbol eines Gegners, wenn du ihm mit deinem\nAngriff „Bruch“ zufügen kannst.
MID_TIPS_TUTORIAL_33	Gegner mit \x0E\x08\x02 \x1EBalloonCritical-Symbol landen mit hoher Wahrscheinlichkeit kritische Treffer.
MID_TIPS_TUTORIAL_34	Mache mit dem Drachenzeitkristall Aktionen rückgängig und ändere deine getroffenen\nEntscheidungen.
MID_TIPS_ITEM_5	Weit entfernte Gegner kannst du nicht nur mit Bogen und Magie, sondern auch mit\nLangspeeren und Wurfbeilen angreifen.
MID_TIPS_ITEM_6	Das Buch „Flut“ kann nur benachbarte Gegner angreifen, trifft jedoch garantiert.
MID_TIPS_OTHER_0	Sammle Fragmente des Bandes, indem du mit Verbündeten sprichst, die sich im Kampf\ngut geschlagen haben.
MID_TIPS_OTHER_1	Kristalle, die du findest, können zum Veredeln von Waffen verwendet werden.\nZutaten, die du findest, kannst du zum Kochen einsetzen.
MID_TIPS_OTHER_2	In der Ringkammer kannst du Fragmente des Bandes verwenden, um Ringe des Bandes\nzu erstellen.
MID_TIPS_OTHER_3	Drücke \x0E\x08\x02\x04\x02X für eine Schnellreise zu deinem Zielort.
MID_TIPS_OTHER_4	Wenn du einem Verbündeten ein besonders passendes Geschenk überreichst, erhältst du\nzusätzliche Unterstützungspunkte.
MID_TIPS_OTHER_6	Ändere die Hintergrundmusik mithilfe der Musiktruhe.
MID_TIPS_OTHER_7	In deinem Zimmer kannst du Musik hören oder vergangene Gespräche und wichtige Ereignisse Revue passieren lassen.
MID_TIPS_OTHER_8	Wenn du dich in deinem Zimmer ausruhst, kommt möglicherweise ein Verbündeter, um\ndich zu wecken.
MID_TIPS_OTHER_9	Verwende FP oder Fragmente des Bandes in der Ringkammer, um Emblem-Fähigkeiten\nzu erben oder Ringe des Bandes zu erstellen.
MID_TIPS_OTHER_10	Gerüchten zufolge erschafft das Schutzwesen des Somniel Fragmente des Bandes.\nWie das Wesen dies tut... Nun, das ist eine andere Geschichte.
MID_TIPS_OTHER_11	Eine hohe Punktzahl im Wyvernreiten bringt dir zusätzliche Fragmente des Bandes ein.
MID_TIPS_OTHER_12	Nach einer Runde Krafttraining werden die Werte von \x0E\x06\x03\x00 in der nächsten\nSchlacht leicht erhöht.
MID_TIPS_OTHER_32	Mit \x0E\x08\x02\x06\x04ZR kannst du mehrere Items auswählen, um sie auf einmal zu verkaufen.
MID_TIPS_TUTORIAL_35	Erreicht ein Gegner eine Schatztruhe vor dir, kannst du an den Inhalt gelangen, indem du\nihn besiegst.
MID_TIPS_TUTORIAL_36	Um durch eine Tür zu gelangen, zerstöre sie oder nutze den Befehl „Tür“ eines Diebes.
MID_TIPS_ITEM_8	Erhöhe die Werte eines Verbündeten im Kampf mit einem stärkenden Item wie\nbeispielsweise einem Trank der KP.
MID_TIPS_ITEM_9	Die Waffe „Rittertod“ und Waffen wie Stabäxte sind effektiv gegen berittene Gegner.
MID_TIPS_OTHER_13	Tiere, die im Somniel grasen, hinterlassen manchmal Items für dich.
MID_TIPS_OTHER_15	In Gefechten und Trainingskämpfen, die von Zeit zu Zeit auf der Weltkarte erscheinen,\nkannst du Gold und Erfahrung verdienen.
MID_TIPS_OTHER_16	Verdiene Erfahrung und stärke deine Bande, indem du in der Arena gegen Verbündete\nund Embleme antrittst.
MID_TIPS_OTHER_17	Verbündete, die in Trainingskämpfen antreten, gewinnen nach deren Abschluss\nnoch mehr Erfahrung.
MID_TIPS_TUTORIAL_39	Dracheneinheiten mit aktivem Bündnis erhalten oft zusätzliche Effekte.
MID_TIPS_TUTORIAL_40	Assistenten unterstützen ihre Verbündeten mit Koop-Schlägen.
MID_TIPS_TUTORIAL_41	Berittene Einheiten haben eine höhere Beweglichkeit.
MID_TIPS_TUTORIAL_42	Magische Angriffe von mystischen Einheiten ignorieren alle geländebedingten Boni auf\nAusweichen (Aw.) eines Gegners.
MID_TIPS_TUTORIAL_43	Qi-Adept-Einheiten können „Protektion“ verwenden, um benachbarte Verbündete zu\nschützen.
MID_TIPS_TUTORIAL_44	Verstohlene Einheiten erhalten doppelte Boni auf Ausweichen (Aw.) durch\nGeländeeffekte.
