MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nIn mezzo alle tenebre della solitudine,\ndesidererai che la luce ti appartenga?\x0E\x04\x02\x00
MID_ED3_#003	Come hai fatto a convincere le guardie a farti\nentrare?\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE003_エル\nLe ho uccise.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x14\x12E003_Boss\n...!\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE003_エル\nÈ stato un grave errore di valutazione affidare\nla vostra sicurezza nelle loro mani.\x0E\x04\x02\x00
MID_ED3_#007	Ora, vorrei sapere se l'attacco al castello di\nLythos è stato opera vostra. Parlate.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x14\x12E003_Boss\nQuale attacco? Di cosa parli?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x14\x12E003_Hide\nQuale nazione oserebbe lanciare una mossa\nostile? Il Firene? No... Dev'essere stata l'Elusia.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x10\x0EE003_エル\nSembrate sinceramente estranei ai fatti.\nE va bene.\x0E\x04\x02\x00
MID_ED3_#011	Non mi servite più.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x14\x12E003_Hide\nUgh...\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x14\x12E003_Boss\nAlcryst... Alcryst!\nSei un mostro! Maledetta serpe!\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x14\x12E003_Boss\nNgh!\x0E\x04\x02\x00
MID_ED3_#015	Non capisco... Ti abbiamo dato ciò che volevi...\x0E\x04\x02\x00
MID_ED3_#016	Che motivo avevi...?\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x10\x0EE003_エル\nSi dà il caso che un motivo ce l'abbia, re\nDiamant.\x0E\x04\x02\x00
MID_ED3_#018	Normalmente non sarei venuta qui di nascosto,\nma le opportunità vanno colte al volo.\x0E\x04\x02\x00
MID_ED3_#019	Ora sarà meglio tornare dagli altri, prima che\nsorga il sole e si insospettiscano.\x0E\x04\x02\x00
MID_ED3_#020	...\x0E\x04\x02\x00
MID_ED3_#021	Neanche re Alfred e la principessa Céline\nsi sono potuti difendere...\x0E\x04\x00\x00
