MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\nDesiderate mantenere l'innocenza, tenendo\nfede agli insegnamenti ricevuti?\x0E\x04\x02\x00
MID_ED2_#004	I re e le regine, gli emblemi... non ci sono più.\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x18\x16E006_セレスティア\nGià, e anche Mauvier.\x0E\x04\x00\x00
MID_ED2_#006	\x0E\x03\x02\x16\x14E006_マデリーン\n...\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x18\x16E006_セレスティア\nE ora cosa faremo?\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x16\x14E006_グレゴリー\nNon chiederlo a me. I regni hanno perso\ni loro sovrani e probabilmente ormai la\npopolazione intera.\x0E\x04\x02\x00
MID_ED2_#009	E se provassimo a rimettere in piedi i vari\npaesi? Potremmo dividerci un regno a testa\ne proclamarci sovrani.\x0E\x04\x00\x00
MID_ED2_#010	\x0E\x03\x02\x16\x14E006_マデリーン\nSovrani senza sudditi. Temo che non avremo\nmolto da fare, se non attendere pazientemente\nla nostra fine.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nPerché non venite con me?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x18\x16E006_セレスティア\nDrago Divino...\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nQuesto mondo ormai è irrecuperabile. Lo avete\ndetto anche voi: non resta più nessuno.\x0E\x04\x02\x00
MID_ED2_#014	Io sono solo di passaggio e sto per tornare\nda dove sono venut\x0E\x0A\x00\x08\x02o\x02a.\x0E\x04\x02\x00
MID_ED2_#015	Ma se vi lasciassi qui, non mi sentirei tranquill\x0E\x0A\x00\x08\x02o\x02a\nsapendo che non sopravvivereste a lungo.\x0E\x04\x02\x00
MID_ED2_#016	Sareste costretti a combattere di nuovo, certo...\nma spero che prenderete in considerazione la\nmia offerta.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x16\x14E006_グレゴリー\nPerché no? Mi sembra più allettante che girarsi\ni pollici fino alla fine dei propri giorni.\x0E\x04\x02\x00
MID_ED2_#018	Per me si può fare.\x0E\x04\x02\x00
MID_ED2_#019	Un nuovo mondo potrebbe nascondere nuovi\nnemici e nuove insidie, ma meglio che niente.\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x02\x16\x14E006_マデリーン\nQuesta proposta ha il suo fascino, ma... non\nsono del tutto sicura.\x0E\x04\x02\x00
MID_ED2_#021	Cosa ne penserebbe Mauvier? Ci perdonerebbe?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x18\x16E006_セレスティア\nPerché dici così?\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x16\x14E006_マデリーン\nSiamo la sua famiglia. Se ce ne andassimo, lui\nrimarrebbe qui da solo. Non è giusto.\x0E\x04\x02\x00
MID_ED2_#024	Perché tocca proprio a noi questa fortuna?\nCe lo meritiamo, forse?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x16\x14E006_グレゴリー\nMeritiamo cosa? Essere felici?\x0E\x04\x02\x00
MID_ED2_#026	Madeline, quali sono le ultime parole che ti ha\ndetto l'omaccione... voglio dire, Mauvier?\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x16\x14E006_マデリーン\nHa detto che mi augurava tanta felicità.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x16\x14E006_グレゴリー\nEsatto.\x0E\x04\x02\x00
MID_ED2_#029	Se fosse qui, ti direbbe di guardare al futuro,\nnon al passato. Anche se questo significasse\nlasciarsi tutto alle spalle, compreso lui.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x16\x14E006_マデリーン\nNon puoi parlare per lui! Non lo conoscevi bene\ncome lo conoscevo io!\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x16\x14E006_グレゴリー\nE invece sì! Abbiamo trascorso tanto di quel\ntempo insieme, che eravamo quasi fratelli!\x0E\x04\x02\x00
MID_ED2_#032	Comunque, ammetterai anche tu che non\nvorrebbe vederti per sempre con il broncio.\x0E\x04\x00\x00
MID_ED2_#033	\x0E\x03\x02\x16\x14E006_マデリーン\nLo so, lo so.\x0E\x04\x02\x00
MID_ED2_#034	Mauvier mi direbbe di andare, di essere felice\nsenza di lui... Sob...\x0E\x04\x00\x00
MID_ED2_#035	\x0E\x03\x02\x18\x16E006_セレスティア\nSfogati pure, Madeline. Non abbiamo ancora\navuto il tempo di piangerlo davvero... da quando\nè successo.\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nMi dispiace tanto. Questo è il mondo dove siete\nnati, e vi sto chiedendo di lasciarvelo alle spalle.\x0E\x04\x02\x00
MID_ED2_#037	Ho parlato con Rafal, se può aiutarvi. Anche lui\nsta pensando di venire nel mio mondo, seppur\nnon subito.\x0E\x04\x02\x00
MID_ED2_#038	Potreste aspettarlo con me.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x18\x16E006_セレスティア\nDrago Divino... Ho gli stessi dubbi di Madeline.\x0E\x04\x02\x00
MID_ED2_#040	Non mi sembra giusto andare via, lasciando\nqui i nostri padroni.\x0E\x04\x00\x00
MID_ED2_#041	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nCapisco.\x0E\x04\x00\x00
MID_ED2_#042	\x0E\x03\x02\x18\x16E006_セレスティア\nTuttavia, non c'è motivo di restare qui a\nlanguire inutilmente. Sarebbe meglio mettere\nle nostre abilità al servizio di un altro mondo.\x0E\x04\x02\x00
MID_ED2_#043	Dopo tutto quello che è accaduto, non me la\nsento di rifiutare la tua richiesta.\x0E\x04\x02\x00
MID_ED2_#044	Ne abbiamo passate tante insieme.\x0E\x04\x00\x00
MID_ED2_#045	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nPuoi ben dirlo.\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x18\x16E006_セレスティア\nSarei propensa ad andare. Siete d'accordo con\nme?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x16\x14E006_グレゴリー\nIo sì.\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x16\x14E006_マデリーン\nAnch'io.\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x18\x16E006_セレスティア\nD'ora in avanti, noi Venti giuriamo fedeltà a\nte. Saremo i tuoi cavalieri.\x0E\x04\x02\x00
MID_ED2_#050	Abbiamo deciso di seguirti, Drago Divino.\x0E\x04\x00\x00
MID_ED2_#051	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nBenissimo, sarò felice di avervi al mio fianco.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x18\x16E006_セレスティア\nLo stesso vale per noi.\x0E\x04\x02\x00
MID_ED2_#053	Ascoltatemi, voi due. Siamo i Quattro Venti e\nanche se saremo in un altro mondo, ci\nimpegneremo a fare il nostro dovere!\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x16\x14E006_グレゴリー\nNon dovremmo essere i Tre Venti, ora?\x0E\x04\x00\x00
MID_ED2_#055	\x0E\x03\x02\x16\x14E006_マデリーン\nSai già la risposta.\x0E\x04\x00\x00
MID_ED2_#056	\x0E\x03\x02\x18\x16E006_セレスティア\nNoi quattro siamo una famiglia, e saremo\nsempre insieme.\x0E\x04\x02\x00
MID_ED2_#057	Niente potrà separarci.\x0E\x04\x00\x00
MID_ED2_#058	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nSiete pronti? È ora di andare!\x0E\x04\x02\x00
MID_ED2_#059	Nel, Rafal... un giorno ci rivedremo.\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x00\x10\n青リュール\x024\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0C\n青リュール\nGrazie, Drago Divino di un altro mondo.\nTi auguro un futuro carico di gioia e di amore.\x0E\x04\x02\x00
MID_ED2_#061	E per favore... prenditi cura di loro, fallo per me.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x023\n\x0E\x03\x02\x0A\x08リュール\nChe bella giornata.\x0E\x04\x02\x00
MID_ED3_#002	Questo cielo così terso sembra di buon auspicio.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nMi trovi proprio d'accordo.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x0A\x08リュール\n...!\x0E\x04\x02\x00
MID_ED3_#005	Nel! Rafal! Non mi aspettavo di vedervi così\npresto!\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE006_エル\nQuanto tempo, Drago Divino.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nPer me sono trascorsi mille anni. Nel si è\nrisvegliata ed eccoci qui, come promesso.\x0E\x04\x02\x00
MID_ED3_#008	Io e mia sorella siamo al tuo servizio.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08リュール\nBenvenuti.\x0E\x04\x02\x00
MID_ED3_#010	È davvero una bellissima giornata.\x0E\x04\x00\x00
