MID_TUT_CATEGORY_TITLE_Battle	Combattimento
MID_TUT_CHALLENGE_TITLE	Prove Tempesta
MID_TUT_CHALLENGE_0	L'obiettivo è superare diverse mappe\nuna dietro l'altra.
MID_TUT_CHALLENGE_1	Per ogni battaglia che completi, ottieni materiali\ned esperienza per gli alleati che vi hanno\npartecipato.
MID_TUT_CHALLENGE_2	Scegli la difficoltà di una prova durante\nla selezione della mappa. Più è alta, migliori\nsono le ricompense.
MID_TUT_RELAY_TITLE	Prove Staffetta
MID_TUT_RELAY_0	L'obiettivo è superare una mappa in cui\ni giocatori controllano l'esercito a turno,\ncome in una corsa a staffetta.
MID_TUT_RELAY_1	Seleziona "Nuova prova" per iniziare una nuova\nprova Staffetta consumando un coupon.
MID_TUT_RELAY_2	Seleziona "Subentra" per continuare da dove\nsi è fermato un altro giocatore.
MID_TUT_RELAY_3	Otterrai le ricompense se uno dei giocatori\ncompleta la battaglia. Puoi rivedere ogni prova\na cui hai partecipato tramite "Vedi risultati".
MID_TUT_RELAY_ENTRY_PANEL_TITLE	Ingressi
MID_TUT_RELAY_ENTRY_PANEL_0	Fino a cinque alleati possono essere schierati su\nun ingresso e sui quattro spazi circostanti.
MID_TUT_RELAY_ENTRY_PANEL_1	Puoi attivare gli ingressi non attivi facendo\nattendere sopra di essi un alleato.
MID_TUT_RELAY_ENTRY_PANEL_2	Una volta attivato un ingresso, i giocatori che\nsubentrano potranno usarlo per schierare unità.\nAttivane più che puoi!
MID_TUT_RELAY_DATA_TAKEOVER_TITLE	Passare il testimone
MID_TUT_RELAY_DATA_TAKEOVER_0	Dopo aver giocato a un numero predeterminato\ndi turni, devi lasciare il controllo della prova a\nun altro giocatore. Decidi tu chi può subentrare.
MID_TUT_RELAY_DATA_TAKEOVER_1	Puoi scegliere tra due modi di passaggio.\nPubblico: può subentrare chiunque.\nPrivato: serve l'ID per subentrare.
MID_TUT_RELAY_DATA_TAKEOVER_2	Una volta che subentra un altro giocatore,\npuoi osservare l'andamento della battaglia\ncon "Vedi risultati".
MID_TUT_RELAY_NEWDATA_TITLE	Iniziare una nuova prova Staffetta
MID_TUT_RELAY_NEWDATA_0	Inizia da zero una prova per poter schierare\nle unità in campo prima dell'avversario.
MID_TUT_RELAY_NEWDATA_1	Scegli una mappa tra quelle a disposizione.
MID_TUT_RELAY_NEWDATA_2	I preparativi inizieranno una volta che scegli\nuna mappa. Seleziona "Combatti!" per usare\nil tuo coupon Staffetta e iniziare la prova.
MID_TUT_RELAY_TAKEOVER_TITLE	Subentrare
MID_TUT_RELAY_TAKEOVER_0	Puoi continuare la prova di un altro giocatore.\nCi sono due modi per trovare una prova in cui\nsubentrare.
MID_TUT_RELAY_TAKEOVER_1	Casuale: subentra in una prova scelta\ncasualmente.
MID_TUT_RELAY_TAKEOVER_2	Inserisci ID: inserisci un ID subentro per\ncontinuare la prova di un giocatore specifico.
MID_TUT_RELAY_TAKEOVER_3	Una volta che hai scelto una prova, seleziona\n"Combatti!" per iniziare.
MID_TUT_RELAY_FINISH_TITLE	Vedere i risultati
MID_TUT_RELAY_FINISH_0	Controlla come sono andate le prove\na cui hai partecipato e ottieni le ricompense\nquando termina una prova.
MID_TUT_RELAY_FINISH_1	Puoi guardare i tuoi replay e quelli degli altri\npartecipanti. Per le battaglie in corso, puoi\nvedere cosa è successo fino a quel momento.
MID_TUT_RELAY_FINISH_2	Puoi ottenere ricompense anche se perdi, ma\nin caso di vittoria i premi sono migliori.
MID_TUT_MATCH_TITLE	Prove Altrotempo
MID_TUT_MATCH_0	Nelle prove Altrotempo, puoi sfidare gli eserciti\ndi altri giocatori su mappe da te scelte o create.
MID_TUT_MATCH_1	Seleziona "Battaglia rapida" per scegliere\nuna mappa che ti piace e iniziare subito.
MID_TUT_MATCH_2	Seleziona "Battaglia personalizzata" per creare e\npubblicare una tua mappa. Poi collegala a quelle\ndi altri giocatori e inizia la battaglia.
MID_TUT_MATCH_3	In entrambe le modalità, ci sono ricompense\nin palio alla fine della battaglia.
MID_TUT_MATCH_EASY_TITLE	Battaglia rapida
MID_TUT_MATCH_EASY_0	Scegli una mappa, invia una squadra offensiva e\naffronta un altro giocatore. Trova l'avversario\ntramite "Casuale", "Amico" o "Inserisci ID".
MID_TUT_MATCH_EASY_1	Casuale: inizia la battaglia contro un esercito di\nun giocatore scelto in modo casuale.
MID_TUT_MATCH_EASY_2	Amico: attacca una mappa pubblicata da uno\ndei tuoi amici.
MID_TUT_MATCH_EASY_3	Inserisci ID: combatti in una mappa specifica\ninserendo il relativo ID.
MID_TUT_MATCH_SERIOUS_TITLE	Battaglia personalizzata
MID_TUT_MATCH_SERIOUS_0	Crea e pubblica la tua mappa o collegala a\nquella di un altro giocatore e poi vai all'attacco.
MID_TUT_MATCH_SERIOUS_1	Seleziona "Crea mappa" per personalizzare\nil campo di battaglia.
MID_TUT_MATCH_EDIT_ATTACK_TITLE	Giocare con le proprie mappe
MID_TUT_MATCH_EDIT_ATTACK_0	Le tue mappe sono pronte per la battaglia\nnon appena finisci di crearle.
MID_TUT_MATCH_EDIT_ATTACK_1	Seleziona "Inizia battaglia" per collegare la tua\nmappa a una pubblicata da un altro giocatore.\nSchiera la squadra offensiva e inizia a giocare.
MID_TUT_MATCH_EDIT_ATTACK_2	Se la tua mappa viene attaccata, seleziona\n"Vedi risultati" per guardare l'esito e i replay.
MID_TUT_MATCH_EDIT_ATTACK_3	Testa l'efficacia della tua mappa con la funzione\n"Simulazione".
MID_TUT_MATCH_ATTACK_TITLE	Iniziare la battaglia
MID_TUT_MATCH_ATTACK_0	Collega la tua mappa a una pubblicata da un\naltro giocatore. Invia una squadra offensiva\ne inizia la battaglia.
MID_TUT_MATCH_ATTACK_1	Casuale: combatti in una mappa di un altro\ngiocatore scelta casualmente.
MID_TUT_MATCH_ATTACK_2	Amico: scegli una mappa tra quelle pubblicate\ndai tuoi amici.
MID_TUT_MATCH_ATTACK_3	Inserisci ID: combatti in una mappa di un\ngiocatore specifico inserendo il relativo ID.
MID_TUT_MATCH_EDIT_TITLE	Creare mappe
MID_TUT_MATCH_EDIT_0	Quando crei le tue mappe, pensa a come\ninfluenzeranno la battaglia i vari tipi di terreni\nche posizioni.
MID_TUT_MATCH_EDIT_1	Premi \x0E\x08\x02\x04\x02X per aprire l'elenco terreni. Usa \x0E\x08\x02\x04\x02A per\nposizionare i terreni e \x0E\x08\x02\x04\x02L\x0E\x08\x02\x04\x02R per scorrere l'elenco.
MID_TUT_MATCH_EDIT_2	Pensa anche alla tenuta difensiva della tua\nmappa. Una volta pubblicata, i nemici possono\niniziare ad attaccarla. La difesa è cruciale.
MID_TUT_MATCH_EDIT_3	Infine, per impostare la tua squadra difensiva,\napri il menu con \x0E\x08\x02\x0A\x08Plus. Da lì, puoi anche salvare\nla tua mappa.
MID_TUT_MATCH_EDIT_SAVE_TITLE	Impostare squadre difensive
MID_TUT_MATCH_EDIT_SAVE_0	Puoi personalizzare impostazioni, posizione ed\nequipaggiamento dei membri della tua squadra\ndifensiva.
MID_TUT_MATCH_EDIT_SAVE_1	Cambia il tipo di comportamento di un'unità\nalleata posizionando il cursore su di essa e\npremendo \x0E\x08\x02\x04\x02A.
MID_TUT_MATCH_EDIT_SAVE_2	I membri della squadra difensiva non possono\nentrare a far parte della squadra offensiva,\nquindi scegli con attenzione le tue unità.
MID_TUT_MATCH_EDIT_SAVE_3	Quando hai finito di posizionare i terreni e la\ntua squadra difensiva, seleziona "Salva mappa".
MID_TUT_MATCH_EDIT_SAVE_4	Seleziona "Termina" quando hai finito.
MID_TUT_MATCH_REPLAY_TITLE	Vedere i risultati
MID_TUT_MATCH_REPLAY_0	Se un giocatore lancia un attacco su una mappa\nche hai pubblicato, la squadra che hai preparato\nla difenderà.
MID_TUT_MATCH_REPLAY_1	Quando si verificano queste battaglie difensive,\npotrai vedere come sono andate.
MID_TUT_MATCH_REPLAY_2	Osserva lo svolgimento della battaglia\nguardando un replay dello scontro.
MID_TUT_MATCH_REPLAY_3	Puoi ricevere ricompense anche se perdi,\nma quelle in palio per la vittoria sono migliori.
MID_TUT_MATCH_MOCKCOMBAT_TITLE	Simulazione
MID_TUT_MATCH_MOCKCOMBAT_0	Prova le mappe che hai creato per vedere come\nresistono alla battaglia.
MID_TUT_MATCH_MOCKCOMBAT_1	Invia una squadra offensiva sulla tua mappa per\nmettere alla prova la resistenza delle tue difese.
MID_TUT_MATCH_MOCKCOMBAT_2	Se individui qualcosa che deve essere\nmigliorato, puoi effettuare le modifiche\ntramite "Crea mappa".
MID_TUT_TIPS_Marth	Emblema Marth
MID_TUT_TIPS_Siglud	Emblema Sigurd
MID_TUT_TIPS_Celica	Emblema Celica
MID_TUT_TIPS_Micaiah	Emblema Micaiah
MID_TUT_TIPS_Roy	Emblema Roy
MID_TUT_TIPS_Lin	Emblema Lyn
MID_TUT_TIPS_Ike	Emblema Ike
MID_TUT_TIPS_Lucina	Emblema Lucina
MID_TUT_TIPS_Leaf	Emblema Leif
MID_TUT_TIPS_Kamui	Emblema Corrin
MID_TUT_TIPS_Eirik	Emblema Erika
MID_TUT_TIPS_Ephraim	Emblema Ephraim
MID_TUT_TIPS_Byleth	Emblema Byleth
MID_TUT_TIPS_TUTORIAL	Le basi
MID_TUT_TIPS_ITEM	Strumenti
MID_TUT_TIPS_WEAPON	Armi
MID_TUT_TIPS_KIZUNA	Esplorazione
MID_TUT_TIPS_HUB	Il Somniel
MID_TUT_TIPS_GMAP	Mappa del mondo
MID_TUT_TIPS_ENCOUNTER	Scaramucce
MID_TUT_TIPS_UNIT_SKILL	 (abilità di \x0E\x01\x00\x00)
MID_TUT_TIPS_GOD_SKILL	 (abilità emblema di \x0E\x01\x00\x00)
MID_TUT_TIPS_UNIT_ITEM	 (arma speciale di \x0E\x01\x00\x00)
MID_TUT_TIPS_GOD_ITEM	 (arma unione di \x0E\x01\x00\x00)
MID_TIPS_TUTORIAL_1	Riguarda le guide dal menu "Sistema".
MID_TIPS_TUTORIAL_2	Puoi attivare o disattivare le animazioni di combattimento dal menu "Sistema".
MID_TIPS_TUTORIAL_3	Premi \x0E\x08\x02\x06\x04ZL sul campo di battaglia per vedere il raggio d'attacco di tutti i nemici.
MID_TIPS_TUTORIAL_4	Muovi il cursore sopra un nemico e premi \x0E\x08\x02\x04\x02A per vedere la sua area di attacco.
MID_TIPS_TUTORIAL_5	Termina la fase giocatore quando vuoi selezionando "Termina il turno".
MID_TIPS_TUTORIAL_6	Tieni premuto \x0E\x08\x02\x04\x02Y durante una conversazione per velocizzarla.
MID_TIPS_TUTORIAL_7	Raggiunti i 100 punti esperienza, un alleato salirà di livello e riceverà un incremento\ndei parametri.
MID_TIPS_TUTORIAL_8	Premi \x0E\x08\x02\x04\x02X per vedere le informazioni dettagliate di oggetti o abilità.
MID_TIPS_TUTORIAL_9	Vedi informazioni aggiuntive sulle abilità di un'unità spostando il cursore su di essa\ne premendo \x0E\x08\x02\x0C\nMinus.
MID_TIPS_TUTORIAL_10	Tieni premuto \x0E\x08\x02\x06\x04ZR sulla mappa della battaglia per cambiare la visualizzazione della\nminimappa o il tipo di informazioni che vengono mostrate sulle unità.
MID_TIPS_TUTORIAL_50	Premi \x0E\x08\x02\x06\x04ZR sulla mappa della battaglia per visualizzare informazioni aggiuntive sulle unità.
MID_TIPS_TUTORIAL_11	La velocità di un'unità (Vel) diminuisce se il peso della sua arma è più alto della sua\ncostituzione (Cost).
MID_TIPS_TUTORIAL_12	Se la tua fortuna (Fort) è elevata, subirai meno colpi tripli.
MID_TIPS_TUTORIAL_13	Posizionati tra i cespugli o tra gli alberi per aumentare le tue possibilità di schivare\ngli attacchi nemici.
MID_TIPS_ITEM_0	Recupera i PS con un unguento o usando Cura.
MID_TIPS_ITEM_1	Gli unguenti e i bastoni hanno un numero limitato di utilizzi. Spariranno quando\nil contatore degli utilizzi scende a 0.
MID_TIPS_TUTORIAL_14	Seleziona "Automatico" per impostare una strategia e lasciare che le unità\ncombattano da sole.
MID_TIPS_TUTORIAL_15	Infliggi ai nemici lo stato di breccia sfruttando il vantaggio dell'arma: spada contro ascia,\nascia contro lancia e lancia contro spada.
MID_TIPS_TUTORIAL_51	Attaccare con un'arte infliggerà lo stato di breccia ai nemici che usano archi, tomi\ne coltelli.
MID_TIPS_TUTORIAL_16	I nemici con lo stato di breccia possono contrattaccare solo dopo il loro prossimo\ncombattimento, quindi puoi attaccarli senza preoccuparti.
MID_TIPS_TUTORIAL_17	La parata concatenata non protegge dagli attacchi unione.
MID_TIPS_SKILL_0	Aumentare il livello di legame incrementa le abilità disponibili e potenzia i parametri\ndi un'unità quando è sincronizzata o unita a un emblema.
MID_TIPS_SKILL_1	La barra dell'unione si riempie mentre combatti.
MID_TIPS_SKILL_28	Un'unità può riempire la barra dell'unione al massimo attendendo su uno spazio\nin cui c'è l'aura di un emblema.
MID_TIPS_SKILL_2	I draghi attaccano più volte quando usano l'attacco unione dell'emblema Marth,\n"Raffica suprema".
MID_TIPS_ITEM_2	Quando un'arte è attivata, l'attacco fisico (Att fis) è influenzato da due parametri:\nforza (Forz) e magia (Mag).
MID_TIPS_TUTORIAL_18	I tuoi alleati possiedono abilità uniche. Premi \x0E\x08\x02\x04\x02X per visualizzarne i dettagli.
MID_TIPS_TUTORIAL_19	Il menu "Formazione" mostra classi e livelli degli alleati.
MID_TIPS_TUTORIAL_20	I tuoi alleati guadagnano sostegno quando combattono l'uno accanto all'altro.
MID_TIPS_TUTORIAL_21	Cambia l'arma di un alleato con \x0E\x08\x02\x04\x02L o \x0E\x08\x02\x04\x02R.
MID_TIPS_TUTORIAL_22	I nemici con l'icona \x0E\x08\x02\x12\x10DropItem fanno cadere un oggetto quando vengono sconfitti.
MID_TIPS_ITEM_3	Gli archi sono efficaci contro i nemici volanti.
MID_TIPS_ITEM_4	Le unità corazzate hanno difesa (Dif) elevata, ma sono danneggiate con facilità dagli\nattacchi magici.
MID_TIPS_OTHER_33	Puoi ridurre la difficoltà di gioco avvicinandoti al tuo letto e selezionando\n"Cambio difficoltà".
MID_TIPS_TUTORIAL_24	Se visiti una casa prima di un nemico, potresti ricevere un dono.
MID_TIPS_TUTORIAL_25	Le unità sui terreni "Forte" o "Suolo protettivo" recuperano PS a ogni turno e non\nsubiscono lo stato di breccia dal vantaggio delle armi.
MID_TIPS_TUTORIAL_27	I rifornimenti sono disponibili per \x0E\x06\x03\x00 e le unità adiacenti, in modo che\npossano riporre e ritirare oggetti durante la battaglia.
MID_TIPS_TUTORIAL_28	Guadagna Esp di legame per sbloccare conversazioni con gli emblemi che faranno\naumentare il livello di legame.
MID_TIPS_TUTORIAL_29	Guadagna punti sostegno per sbloccare conversazioni tra alleati che fanno aumentare\nil loro livello di sostegno.
MID_TIPS_TUTORIAL_30	Quando il livello di sostegno di due alleati aumenta, questi ricevono un bonus ai\nparametri se sono adiacenti l'uno all'altro.
MID_TIPS_TUTORIAL_32	Il simbolo \x0E\x08\x02\x18\x16EquipCancel appare sull'icona dell'arma di un nemico quando è possibile infliggergli\nlo stato di breccia.
MID_TIPS_TUTORIAL_33	I nemici con \x0E\x08\x02 \x1EBalloonCritical mettono a segno colpi tripli con facilità.
MID_TIPS_TUTORIAL_34	Riavvolgi il tempo, annulla le azioni e cambia le decisioni già prese con la cronogemma\ndel drago.
MID_TIPS_ITEM_5	Puoi attaccare i nemici distanti anche con giavellotti e scuri oltre che con archi e magia.
MID_TIPS_ITEM_6	Il tomo "Impeto" può attaccare solo i nemici adiacenti, ma i colpi vanno sempre a segno.
MID_TIPS_OTHER_0	Raccogli frammenti di legame parlando con gli alleati che si sono distinti in battaglia.
MID_TIPS_OTHER_1	Puoi utilizzare i cristalli e gli ingredienti che trovi per perfezionare armi e preparare pasti.
MID_TIPS_OTHER_2	Nella sala degli emblemi puoi usare i frammenti di legame per creare anelli del legame.
MID_TIPS_OTHER_3	Premi \x0E\x08\x02\x04\x02X per viaggiare rapidamente verso la tua destinazione.
MID_TIPS_OTHER_4	Se scegli con cura il regalo per un alleato, riceverai punti sostegno aggiuntivi.
MID_TIPS_OTHER_6	Cambia la musica di sottofondo con il gran carillon.
MID_TIPS_OTHER_7	Nella tua stanza puoi ascoltare le musica o ricordare conversazioni passate ed eventi\nimportanti.
MID_TIPS_OTHER_8	Se ti addormenti in camera tua, uno dei tuoi alleati potrebbe venire a svegliarti.
MID_TIPS_OTHER_9	Usa PA o frammenti di legame nella sala degli emblemi per ereditare abilità o creare\nanelli del legame.
MID_TIPS_OTHER_10	Si dice che lo spirito guardiano del Somniel produca frammenti di legame.\nPer quanto riguarda il metodo che utilizza... beh, non c'è bisogno di dirlo.
MID_TIPS_OTHER_11	Un punteggio elevato in "Volo in viverna" ti fa ottenere frammenti di legame aggiuntivi.
MID_TIPS_OTHER_12	Dopo aver fatto ginnastica, \x0E\x06\x03\x00 otterrà un leggero bonus ai parametri\nper la battaglia successiva.
MID_TIPS_OTHER_32	Puoi vendere più oggetti alla volta selezionandoli con \x0E\x08\x02\x06\x04ZR.
MID_TIPS_TUTORIAL_35	Se un nemico raggiunge uno scrigno prima di te, basterà sconfiggerlo per recuperare\nil contenuto.
MID_TIPS_TUTORIAL_36	Per attraversare una porta, distruggila o usa il comando "Apri porta" di un ladro.
MID_TIPS_ITEM_8	Potenzia i parametri di un alleato durante la battaglia con oggetti come il tonico PS.
MID_TIPS_ITEM_9	La picca e armi come le alabarde sono efficaci contro le unità a cavallo.
MID_TIPS_OTHER_13	Gli animali che pascolano nel Somniel potrebbero lasciare qualcosa per te.
MID_TIPS_OTHER_15	Sulla mappa del mondo potrebbero apparire scaramucce e battaglie di esercitazione.\nPartecipa per ottenere oro ed esperienza.
MID_TIPS_OTHER_16	Guadagna esperienza e approfondisci i legami combattendo contro gli alleati\ne gli emblemi nell'arena.
MID_TIPS_OTHER_17	Gli alleati che combattono nelle battaglie di esercitazione ottengono ancora più Esp\ndopo averle completate.
MID_TIPS_TUTORIAL_39	I draghi ricevono spesso effetti aggiuntivi quando sono in stato di unione.
MID_TIPS_TUTORIAL_40	Le unità di rinforzo usano attacchi concatenati per sostenere gli alleati.
MID_TIPS_TUTORIAL_41	Le unità a cavallo hanno una maggior mobilità.
MID_TIPS_TUTORIAL_42	Quando attaccano con la magia, i mistici annullano i bonus di schivata (Scv) che i nemici\nottengono dal terreno.
MID_TIPS_TUTORIAL_43	Gli adepti qi possono usare la parata concatenata per coprire gli alleati adiacenti.
MID_TIPS_TUTORIAL_44	Le unità furtive ottengono il doppio dei normali bonus alla schivata (Scv) dagli effetti del\nterreno.
MID_TIPS_TUTORIAL_45	Le unità volanti possono muoversi senza subire gli effetti del terreno.
MID_TIPS_TUTORIAL_46	Il vantaggio delle armi non infligge lo stato di breccia alle unità corazzate.
MID_TIPS_TUTORIAL_47	Fai salire il tuo livello di legame con gli emblemi per ottenere i talenti necessari\na cambiare classe.
MID_TIPS_ITEM_10	Se un nemico impugna un'arma a corto raggio, non può contrattaccare se attacchi\nda lontano.
MID_TIPS_ITEM_11	Attaccare con i coltelli avvelena i nemici.
MID_TIPS_ITEM_12	Le frangicotte e i martelli sono efficaci contro le unità corazzate.
MID_TIPS_OTHER_14	Dopo aver cucinato, lo chef a volte potrebbe confezionarti un pasto da portare con te\nche potrai utilizzare per recuperare PS.
MID_TIPS_OTHER_19	Quando ordini un pasto alla mensa, puoi migliorarlo aggiungendo altri ingredienti extra.
MID_TIPS_OTHER_20	Puoi raccogliere ingredienti da usare in cucina nel frutteto.
MID_TIPS_OTHER_21	Ottieni frammenti di legame completando i trofei della bacheca.
MID_TIPS_OTHER_22	Usa la bacheca per effettuare donazioni ai regni dell'Elyos. I doni generosi\naumentano il livello donazioni e ti fanno ottenere ricompense.
MID_TIPS_OTHER_30	I nemici rari appaiono più facilmente nelle scaramucce delle regioni con un livello\ndonazioni elevato.
MID_TIPS_OTHER_31	Aumentando il tuo livello donazioni in una determinata regione, troverai più materiali\nquando la esplorerai.
MID_TIPS_OTHER_23	Nelle scaramucce in cui la visibilità è bassa, i nemici spesso fruttano molta esperienza\ne grandi ricchezze.
MID_TIPS_SKILL_38	L'unico modo per incrementare il Clp dei bastoni è con l'abilità "Fede".
MID_TIPS_OTHER_34	Puoi usare la tua carta profilo per fare scambi con gli amici alla torre delle prove.
MID_TIPS_TUTORIAL_48	Attenzione alla barra dell'unione dei nemici con sincronizzazione oscura: quando brilla,\nvuol dire che il loro attacco unione è pronto.
MID_TIPS_TUTORIAL_52	Gli alleati in stato di unione subiscono meno danni dagli attacchi unione dei nemici.
MID_TIPS_TUTORIAL_49	Puoi continuare ad allenare un'unità che ha raggiunto il livello massimo utilizzando\nun sigillo speciale per farla ripartire dal livello 1.
MID_TIPS_ITEM_13	Se non curi l'avvelenamento con un'antitossina o un bastone "Ripristino", l'effetto\npersisterà per tutta la durata della battaglia.
MID_TIPS_ITEM_14	Quando gli alleati raggiungono il livello 10, possono passare a una classe avanzata\nutilizzando un sigillo supremo.
MID_TIPS_ITEM_15	Le armi con l'effetto schianto attaccano sempre per ultime.
MID_TIPS_OTHER_24	I pesci che catturi nello stagno sono ottimi da cucinare.
MID_TIPS_ITEM_16	Gli alleati possono passare a classi di tipo diverso utilizzando un sigillo speciale.
MID_TIPS_ITEM_17	Metti a segno più spesso i colpi tripli grazie alle armi lama letale, lancia letale\ne ascia letale.
MID_TIPS_OTHER_37	Facendo avanzare \x0E\x06\x03\x00 alla classe di Drago Divino, potrai divertirti\ncon un volo in viverna vicino alla palestra.
MID_TIPS_OTHER_26	Al mercatino troverai alcuni oggetti che non possono essere acquistati altrove.
MID_TIPS_OTHER_27	Si dice che nell'Elyos esistano terreni di addestramento dove puoi approfondire i legami\ncon gli emblemi.
MID_TIPS_SKILL_29	L'attacco unione di Ike, Grande etere, può eliminare effetti come fuoco e miasma\ndall'area colpita.
MID_TIPS_SKILL_22	L'arma unione di Byleth cambia in base al tipo di unità con cui si unisce.
MID_TIPS_SKILL_25	L'abilità "Vena del drago" di Corrin aggiunge al terreno effetti speciali e annulla quelli\npresenti.
MID_TIPS_OTHER_28	Puoi visitare l'indovino solo di notte.
MID_TIPS_OTHER_29	Combatti nella torre delle prove per ottenere materiali speciali da usare per potenziare\nle armi unione.
MID_TIPS_ITEM_18	Armi come la spada forte e la lancia forte, eseguono due attacchi consecutivi se l'unità\nche le impugna inizia lo scontro.
MID_TIPS_ITEM_19	Quando hai deciso di donare l'anello del patto alla persona a cui tieni di più,\nlo troverai nel comodino della tua stanza.
MID_TIPS_GOD_0	Principe d'Altea, un regno dell'Akaneia, un continente di un altro mondo.\nDiscende dalla stessa stirpe dell'eroe Anri.
MID_TIPS_GOD_1	Dopo che sconfisse il Drago Ombra insieme ai suoi alleati, iniziò a essere conosciuto\ncome il Re Eroico.
MID_TIPS_GOD_2	Figlio del duca di Chalphy, del regno di Grannvale situato in Jugdral, continente\ndi un altro mondo.
MID_TIPS_GOD_3	Un cavaliere di nobili origini che, in quanto discendente del crociato Baldr, ha ereditato\nuna leggendaria spada sacra.
MID_TIPS_GOD_4	Principessa di Zofia, un prospero regno della Valentia, un continente di un altro mondo.
MID_TIPS_GOD_5	Insieme all'eroe Alm, lottò contro il dio caduto che minacciava la pace nel suo\nmondo, ma passò alla storia per essere una persona di buon cuore.
MID_TIPS_GOD_6	Componente di un gruppo di liberatori di Tellius, un continente di un altro mondo.
MID_TIPS_GOD_7	Usò i suoi misteriosi poteri per affrontare una divinità che voleva imporre il proprio\ngiudizio sul mondo intero.
MID_TIPS_GOD_8	Un nobile della corte di Pherae, un territorio di Elibe, il continente di un altro mondo,\ne possessore della Spada dei sigilli.
MID_TIPS_GOD_9	Condusse un esercito, al posto del padre malato, contro i nemici della sua nazione.
MID_TIPS_GOD_10	Esperta spadaccina di Sacae, una regione di pianure erbose in Elibe, un continente\ndi un altro mondo.
MID_TIPS_GOD_11	Fu cresciuta come una nomade, ignara del suo nobile lignaggio.
MID_TIPS_GOD_12	Capo dei mercenari di Greil da Tellius, un continente di un altro mondo.
MID_TIPS_GOD_13	Le sue abilità con la spada e il suo cuore sincero lo elevarono da semplice mercenario\na eroe rinomato.
MID_TIPS_GOD_14	Principessa del regno d'Ylisse, una nazione di un altro mondo. Porta il marchio\ndell'Eletta sull'occhio sinistro.
MID_TIPS_GOD_15	Il suo forte senso della giustizia la spinse a viaggiare indietro nel tempo e a lottare\nper cambiare un triste futuro.
MID_TIPS_GOD_16	Erede di Leonster, un regno della regione della Thracia in Jugdral, un continente\ndi un altro mondo.
MID_TIPS_GOD_17	Lottò con coraggio per liberare la Thracia dalla morsa imperiale.
MID_TIPS_GOD_18	Una principessa di due nazioni di un altro mondo: nata in Hoshido, ma cresciuta in Nohr.
MID_TIPS_GOD_19	Sebbene avesse il potere dei Primi Draghi, dovette prendere una terribile decisione\nquando scoppiò un conflitto tra i due regni a cui era legata.
MID_TIPS_GOD_20	Principessa di Renais, una nazione di Magvel, un continente di un altro mondo.\nEreditò una delle Sacre Pietre.
MID_TIPS_GOD_21	Il valoroso principe di Renais, che lottò contro il Re Demone insieme a sua sorella\ngemella Erika.
MID_TIPS_GOD_22	Un giovane professore, con un passato da mercenario, del monastero del Garreg Mach\nin Fódlan, un continente di un altro mondo.
MID_TIPS_GOD_23	Ha impartito fondamentali lezioni ai propri studenti e li ha guidati durante un periodo\nsegnato dalla guerra.
MID_TUT_NAVI_M004_TIMECRYSTAL	La cronogemma del drago è ora disponibile.
MID_TUT_NAVI_M005_FUNDS	Hai ricevuto \x0E\x01\x00\x00\x0E\x01\x01\x00 M di fondi militari\ndal Firene.
MID_TUT_NAVI_VANDRE_FUNDS	Hai ricevuto \x0E\x01\x00\x00\x0E\x01\x01\x00 M di fondi militari\nda Vander.
MID_TUT_NAVI_M008_FUNDS	Hai ricevuto \x0E\x01\x00\x00\x0E\x01\x01\x00 M di fondi militari\ndalla Brodia.
MID_TUT_NAVI_M012_RESCUE	Salva le persone minacciate dalle aberrazioni.
MID_TUT_NAVI_M014_FUNDS	Hai ricevuto \x0E\x01\x00\x00\x0E\x01\x01\x00 M di fondi militari\ndal Solm.
MID_TUT_NAVI_M015_ESCAPE	Proteggi Seadall e aiutalo a fuggire!
MID_TUT_NAVI_M020_FUNDS	Hai ricevuto \x0E\x01\x00\x00\x0E\x01\x01\x00 M di fondi militari\ndall'Elusia.
MID_TUT_NAVI_M022_GET_Siglud	Hai ottenuto l'anello del Sacro Cavaliere.
MID_TUT_NAVI_M022_GET_Celica	Hai ottenuto l'anello della Premurosa.
MID_TUT_NAVI_M022_GET_Micaiah	Hai ottenuto l'anello della Fanciulla della Luce.
MID_TUT_NAVI_M022_GET_Roy	Hai ottenuto l'anello del Giovane Leone.
MID_TUT_NAVI_M022_GET_Lin	Hai ottenuto l'anello della Guerriera.
MID_TUT_NAVI_M022_GET_Ike	Hai ottenuto l'anello dell'Eroe della Fiamma.
MID_TUT_NAVI_M022_GET_Lucina	Hai ottenuto l'anello dell'Eletta.
MID_TUT_NAVI_M022_GET_Leaf	Hai ottenuto l'anello del Saggio Lord.
MID_TUT_NAVI_M022_GET_Kamui	Hai ottenuto l'anello della Mano del Fato.
MID_TUT_NAVI_M022_GET_Eirik	Hai ottenuto l'anello dei Gemelli Azzurri.
MID_TUT_NAVI_M022_GET_Byleth	Hai ottenuto l'anello del Mentore.
MID_TUT_NAVI_M024_WARNING1	Fra 2 turni una valanga si abbatterà\nsul percorso montano inferiore.
MID_TUT_NAVI_M024_WARNING2	Fra 2 turni una valanga si abbatterà\nsul percorso montano centrale.
MID_TUT_NAVI_M024_WARNING3	Fra 2 turni una valanga si abbatterà\nsul percorso montano superiore.
