MID_GR_Lueur_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リュール\nI fight to save the world that my mother loved.\nBut I'll need your help, Leif.\x0E\x04\x00\x00
MID_GR_Seadas_A_#002	\x0E\x03\x02\x0A\x08セアダス\nThink nothing of it. My dancing is strong, and\nputs a smile on the face of all who see it.\x0E\x04\x00\x00
MID_GR_Seadas_A_#003	\x0E\x03\x02\x0A\x08セアダス\nBut, Leif, I have seen Le Chariot in your fortune.\nYou have evaded much yourself. Grief, perhaps?\x0E\x04\x00\x00
MID_GR_Seadas_A_#004	\x0E\x03\x02\x08\x06リーフ\nI have. But that is where I get my strength from.\nI will make the people I lost proud of who I am.\x0E\x04\x00\x00
MID_GR_Linden_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08リンデン\nI'm Lindon. Pleased to meet you. You let these\nold bones know if they can help you in any way.\x0E\x04\x00\x00
MID_GR_Linden_C_#002	\x0E\x03\x02\x08\x06リーフ\nYou are more than your bones, I am sure. I am\nvery glad to have your help.\x0E\x04\x00\x00
MID_GR_Linden_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nThat portrait you carry with you everywhere...\nIs that your wife?\x0E\x04\x00\x00
MID_GR_Linden_B_#002	\x0E\x03\x02\x0A\x08リンデン\nAh, you noticed it, did you? What do you think?\nShe was quite the woman, you know.\x0E\x04\x00\x00
MID_GR_Linden_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リンデン\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nOh! That smells so good. Is it one of the\ncookies you baked with magic?\x0E\x04\x00\x00
MID_GR_Linden_A_#002	\x0E\x03\x02\x0A\x08リンデン\nHaha! That it is. If only you could taste it!\x0E\x04\x00\x00
MID_GR_Linden_A_#003	\x0E\x03\x02\x08\x06リーフ\nThe scent is enough for me. I am very intrigued\nby your method of baking with magic.\x0E\x04\x00\x00
MID_GR_Linden_A_#004	\x0E\x03\x02\x0A\x08リンデン\nMagic can be a boon or a bane depending on\nhow you use it. I bake to remind people of that.\x0E\x04\x00\x00
MID_GR_Saphir_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nザフィーア\nHave I got something on my face, Leif?\nYou're staring.\x0E\x04\x00\x00
MID_GR_Saphir_C_#002	\x0E\x03\x02\x08\x06リーフ\nForgive me─you simply remind me of someone.\nA strong woman who was very dear to me.\x0E\x04\x00\x00
MID_GR_Saphir_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0C\nザフィーア\nWar is horrible, but that's exactly why we have\nto fight. I don't want to lose anyone else.\x0E\x04\x00\x00
MID_GR_Saphir_B_#002	\x0E\x03\x02\x08\x06リーフ\nI feel the same way. War may be a tragedy, but\nwe must fight to prevent an even greater one.\x0E\x04\x00\x00
MID_GR_Saphir_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x10\nザフィーア\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nSaphir, what are you doing with that fish?\x0E\x04\x00\x00
MID_GR_Saphir_A_#002	\x0E\x03\x02\x0C\nザフィーア\nI got it from a friend, but even if I cook it, it's\ntoo much for one person to eat.\x0E\x04\x00\x00
MID_GR_Saphir_A_#003	\x0E\x03\x02\x08\x06リーフ\nI am sure I could track down a few people who\nwould be happy to enjoy your cooking.\x0E\x04\x00\x00
MID_GR_Saphir_A_#004	\x0E\x03\x02\x0C\nザフィーア\nHehe, thanks. If we're having a feast, though,\nI'd better use a fancier recipe.\x0E\x04\x00\x00
MID_GR_Veyre_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x0A\x08ヴェイル\nI have done terrible things to you, Leif, and to\nthe others. You must hate fighting beside me.\x0E\x04\x00\x00
MID_GR_Veyre_C_#002	\x0E\x03\x02\x08\x06リーフ\nI do not hate it, Veyle, I assure you. You are a\nwelcome partner on the battlefield and off.\x0E\x04\x00\x00
MID_GR_Veyre_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nThose look delicious, though that hint of red\nmakes me think them too fiery for my tastes.\x0E\x04\x00\x00
MID_GR_Veyre_B_#002	\x0E\x03\x02\x0A\x08ヴェイル\nYou have a good eye! These sweets are very\nspicy. Hmm, I guess I better not share them.\x0E\x04\x00\x00
MID_GR_Veyre_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08ヴェイル\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06リーフ\nVeyle? Did you need me for something?\x0E\x04\x00\x00
MID_GR_Veyre_A_#002	\x0E\x03\x02\x0A\x08ヴェイル\nLeif, I've been so happy fighting by your side.\nI...I hope you'll always be my comrade in arms.\x0E\x04\x00\x00
MID_GR_Veyre_A_#003	\x0E\x03\x02\x08\x06リーフ\nOf course I will, Veyle. I will be your comrade-\nin-arms... No, your friend, now and forever.\x0E\x04\x00\x00
MID_GR_Veyre_A_#004	\x0E\x03\x02\x0A\x08ヴェイル\nOh, thank you! I promise I'll do everything I can\nand make you proud to stand by my side.\x0E\x04\x00\x00
MID_GR_Mauve_C_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06モーヴ\nSir Leif, your combat skills are impressive. Is it\ninconvenient to ask we join forces again, soon?\x0E\x04\x00\x00
MID_GR_Mauve_C_#002	\x0E\x03\x02\x08\x06リーフ\nNo inconvenience at all. I will happily fight at\nyour side any day.\x0E\x04\x00\x00
MID_GR_Mauve_B_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06モーヴ\nThis place and these people...are too kind.\nDealing with such behavior is confusing.\x0E\x04\x00\x00
MID_GR_Mauve_B_#002	\x0E\x03\x02\x08\x06リーフ\nWhere lies the confusion? You are their ally, and\nthey assume they are yours.\x0E\x04\x00\x00
MID_GR_Mauve_A_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06モーヴ\x021\n\x0E\x03\x00\x0C\x06リーフ\x022\n\x0E\x03\x02\x08\x06モーヴ\nProtecting those I hold dear is my goal. Yet, so\noften my decision making is poor.\x0E\x04\x00\x00
MID_GR_Mauve_A_#002	\x0E\x03\x02\x08\x06リーフ\nIt is too early to know the impact of all your\nchoices. Your story is far from over.\x0E\x04\x00\x00
MID_GR_Mauve_A_#003	\x0E\x03\x02\x08\x06リーフ\nTrust your instincts─act to protect your friends.\x0E\x04\x00\x00
MID_GR_Mauve_A_#004	\x0E\x03\x02\x08\x06モーヴ\nThank you. You are correct. My doubts cloud\nmy judgment, and they shall be abandoned.\x0E\x04\x00\x00
