MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nLe combat final est proche. Quand vous serez\nprêts, nous approcherons Somniel du portail.\x0E\x04\x02\x00
MID_BT28_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ネルガル\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ネルガル\nPourquoi ? Pourquoi dois-je échouer ?\nIl me faut plus de pouvoir...\x0E\x04\x00\x00
MID_BT29_#001	\x0E\x02\x01\x00\n\x0E\x03\x00.(M026_異形兵_マスター_アシュナード\x02b\n\x0E\x03\x02*(M026_異形兵_マスター_アシュナード\nPlus... J'ai dit plus ! Pour mon ascension,\nce n'est pas assez... pas assez...\x0E\x04\x00\x00
MID_BT30_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ネメシス\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ネメシス\nMisérables créatures... Vous n'oseriez pas\nm'affronter... en combat singulier...\x0E\x04\x00\x00
MID_BT31_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_ハイドラ\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_ハイドラ\nPourquoi devrais-je souffrir ?\nPourquoi devrais-je être seul ?\x0E\x04\x00\x00
MID_BT32_#001	\x0E\x02\x01\x00\n\x0E\x03\x00*$M026_異形兵_マスター_フォデス\x02b\n\x0E\x03\x02&$M026_異形兵_マスター_フォデス\nPauvres sots...\x0E\x04\x00\x00
MID_ED1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08リュール\nNous avons gagné, Sombron.\x0E\x04\x00\x00
MID_ED1_#002	\x0E\x03\x02\x0A\x08ソンブル\nJamais je ne retournerai dans mon monde.\nC'est peut-être mieux ainsi.\x0E\x04\x02\x00
MID_ED1_#003	Je suis las... Las de poursuivre une ombre.\x0E\x04\x00\x00
MID_ED1_#004	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\n... L'Emblème des Fondations ?\x0E\x04\x00\x00
MID_ED1_#005	\x0E\x03\x02\x0A\x08ソンブル\nJe le cherchais dans des bois obscurs... des\ngrottes lugubres... à l'ombre d'arbres morts.\x0E\x04\x02\x00
MID_ED1_#006	Dans ces lieux, je pouvais sentir mon Emblème.\nMais c'est terminé, désormais.\x0E\x04\x00\x00
MID_ED1_#007	\x0E\x03\x02\x0A\x08リュール\nVous avez choisi la solitude, mais vous avez\npourtant continué à chercher cet Emblème.\nÀ quelle fin ?\x0E\x04\x00\x00
MID_ED1_#008	\x0E\x03\x02\x0A\x08ソンブル\nJe voulais peut-être que quelqu'un apprécie\ntout ce que j'avais accompli par moi-même.\x0E\x04\x02\x00
MID_ED1_#009	Que quelqu'un me voie comme je suis après\ndes millénaires de rejet.\x0E\x04\x00\x00
MID_ED1_#010	\x0E\x03\x02\x0A\x08リュール\nJ'aurais pu être cette personne. Ou Veyle.\nOu nos frères et sœurs. Pourquoi ne nous\navez-vous pas laissé faire ?\x0E\x04\x02\x00
MID_ED1_#011	Pourquoi avoir déclenché toutes ces guerres ?\x0E\x04\x00\x00
MID_ED1_#012	\x0E\x03\x02\x0A\x08ソンブル\nPff... Je n'ai que faire de tisser des liens\navec votre monde.\x0E\x04\x00\x00
MID_ED1_#013	\x0E\x03\x02\x0A\x08リュール\nMême dans les derniers moments, vous ne\nvoulez pas être notre père. Très bien.\x0E\x04\x02\x00
MID_ED1_#014	Vous ne serez que le Dragon déchu, un mal\nque nous aurons occis. C'est ainsi que nous\nnous souviendrons de vous.\x0E\x04\x00\x00
MID_ED1_#015	\x0E\x03\x02\x0A\x08ソンブル\nFaites comme bon vous semble.\nTout ce temps, j'ai été seul. En quoi\nma mort serait-elle différente ?\x0E\x04\x02\x00
MID_ED1_#016	Ne gâchez pas votre pitié. Je disparaîtrai\nbientôt pour retrouver celui que je cherche\ndepuis si longtemps...\x0E\x04\x00\x00
MID_ED1_#017	\x0E\x03\x02\x0A\x08リュール\nVous souvenez-vous de l'incantation ?\x0E\x04\x00\x00
MID_ED1_#018	\x0E\x03\x02\x0A\x08ソンブル\nQuoi ?\x0E\x04\x00\x00
MID_ED1_#019	\x0E\x03\x02\x0A\x08リュール\nL'incantation de l'Emblème des Fondations.\x0E\x04\x00\x00
MID_ED1_#020	\x0E\x03\x02\x0A\x08ソンブル\nJ'ai déjà essayé. J'ai dit ces mots\nencore et encore, mais en vain.\x0E\x04\x00\x00
MID_ED1_#021	\x0E\x03\x02\x0A\x08リュール\nEnfin... ça ne coûte rien de réessayer.\nUne dernière fois.\x0E\x04\x00\x00
MID_ED1_#022	\x0E\x03\x02\x0A\x08ソンブル\nTrès bien... Consumez...\x0E\x04\x02\x00
MID_ED1_#023	Consumez-nous, Emblème des Fondations.\x0E\x04\x00\x00
MID_ED1_#024	\x0E\x03\x02\x0A\x08リュール\n...\x0E\x04\x00\x00
MID_ED1_#025	\x0E\x03\x02\x0A\x08ソンブル\nOh ! Cette lumière ! Oh... enfin...\x0E\x04\x02\x00
MID_ED1_#026	Nous nous retrouvons enfin...\x0E\x04\x00\x00
MID_ED1_#027	\x0E\x03\x02\x0A\x08ヴェイル\nPapa ? Je... Je ne vois personne...\x0E\x04\x00\x00
MID_ED1_#028	\x0E\x03\x02\x0A\x08リュール\nMoi non plus. J'imagine qu'il est le seul à\nl'apercevoir.\x0E\x04\x02\x00
MID_ED1_#029	Un vieil ami. Le seul à qui il s'est réellement\nlivré.\x0E\x04\x00\x00
MID_ED1_#030	\x0E\x03\x02\x0A\x08ソンブル\nVous et moi... Partons... Comme autrefois...\x0E\x04\x02\x00
MID_ED1_#031	Fusionnons...
MID_ED1_#032	\x0E\x03\x01\x0A\x08ソンブル\n\x0E\x03\x02\x0A\x08ヴェイル\nPapa...\x0E\x04\x00\x00
MID_ED1_#033	\x0E\x03\x02\x0A\x08リュール\nIl a disparu. Et l'anneau de l'Emblème des\nFondations... aussi.\x0E\x04\x02\x00
MID_ED1_#034	Le combat est terminé. Rentrons chez nous.\x0E\x04\x02\x00
MID_ED1_#035	Il est temps de refermer ce portail pour toujours.\x0E\x04\x00\x00
MID_ED2_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x0A\x08リュール\nLe portail se referme.\x0E\x04\x02\x00
MID_ED2_#002	Une fois qu'il sera refermé, cette guerre\nsera enfin terminée, et l'ordre sera restauré.\x0E\x04\x00\x00
MID_ED2_#003	\x0E\x03\x02\x08\x06マルス\nNous avons réussi, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_ED2_#004	Ha ha !\x0E\x04\x00\x00
MID_ED2_#005	\x0E\x03\x02\x0A\x08リュール\nOh...\x0E\x04\x02\x00
MID_ED2_#006	Il est grand temps de nous dire adieu.\x0E\x04\x00\x00
MID_ED2_#007	\x0E\x03\x02\x08\x06マルス\nC'était une aventure épique. Merci de nous\navoir permis de la vivre à vos côtés,\n\x0E\x06\x03\x00.\x0E\x04\x00\x00
MID_ED2_#008	\x0E\x03\x02\x0A\x08リュール\nNon, c'est moi qui vous remercie, Marth.\x0E\x04\x02\x00
MID_ED2_#009	Je suis si triste de vous voir partir. Mais je dois\nêtre fort\x0E\x0A\x00\x06
MID_ED2_#010	Merci d'avoir tenu parole. Vous avez été\nmon allié, mon ami, jusqu'au bout.\x0E\x04\x02\x00
MID_ED2_#011	J'espère juste être assez fort\x0E\x0A\x00\x06
MID_ED2_#012	\x0E\x03\x02\x08\x06マルス\nVous le serez. Vous êtes déjà plus fort\x0E\x0A\x00\x06
MID_ED2_#013	Je sais que vous perpétuerez l'héritage des\nEmblèmes... et celui de votre mère.\x0E\x04\x02\x00
MID_ED2_#014	Nous ne serons plus là pour vous aider.\x0E\x04\x02\x00
MID_ED2_#015	C'est à vous désormais qu'il incombe\nd'aider les autres. En tant que Dragon\ndivin et en tant qu'Emblème.\x0E\x04\x00\x00
MID_ED2_#016	\x0E\x03\x02\x0A\x08リュール\nJ'en fais le serment.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nVous n'êtes pas seul. Nous vous aiderons,\nnous aussi, mon frère.\x0E\x04\x00\x00
MID_ED2_#017_F	\x0E\x03\x00\x0E\x08ヴェイル\x024\n\x0E\x03\x02\x0A\x08ヴェイル\nVous n'êtes pas seule. Nous vous aiderons,\nnous aussi, ma sœur.\x0E\x04\x00\x00
MID_ED2_#018	\x0E\x03\x01\x0A\x08ヴェイル\n\x0E\x03\x00\x12\x0Cアルフレッド\x024\n\x0E\x03\x02\x0E\x0Cアルフレッド\nNous ne pouvons remplacer Marth et les autres,\nmais nous ferons de notre mieux.\x0E\x04\x00\x00
MID_ED2_#019	\x0E\x03\x01\x0E\x0Cアルフレッド\n\x0E\x03\x00\x0E\x08アイビー\x024\n\x0E\x03\x02\x0A\x08アイビー\nOui. N'ayez crainte... ... Oh, bon sang.\nJ'ai les larmes aux yeux.\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x01\x0A\x08アイビー\n\x0E\x03\x00\x12\x0Cディアマンド\x024\n\x0E\x03\x02\x0E\x0Cディアマンド\nGrrr... Je regrette que nous devions\ntous vous perdre.\x0E\x04\x00\x00
MID_ED2_#021	\x0E\x03\x01\x0E\x0Cディアマンド\n\x0E\x03\x00\x10\nミスティラ\x024\n\x0E\x03\x02\x0C\nミスティラ\nNous commencions à peine à vous connaître,\net maintenant... nous devons nous faire nos\nadieux ?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nNe pleurez pas.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x0A\x08リュール\nMais...\x0E\x04\x00\x00
MID_ED2_#024	\x0E\x03\x02\x0A\x08シグルド\nDésormais, tous les fardeaux de ce monde\nreposent sur vos épaules. Portez-les\navec fierté !\x0E\x04\x02\x00
MID_ED2_#025	Ne cachez pas toujours vos larmes. Mais, pour\nle moment, tâchez de le faire.\x0E\x04\x00\x00
MID_ED2_#026	\x0E\x03\x00\x0C\x06マルス\x023\n\x0E\x03\x02\x08\x06マルス\nJe suis d'accord. J'aimerais que nous\nnous séparions avec un large sourire.\x0E\x04\x02\x00
MID_ED2_#027	C'est ainsi que je souhaite que nous nous\nsouvenions les uns des autres. Quittons-nous\ndans l'allégresse, pas dans la tristesse.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x0A\x08リュール\nMoi aussi.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0C\x06ベレト\x021\n\x0E\x03\x02\x08\x06ベレト\nIl est temps de nous dire adieu. N'oublions\njamais tout ce que nous avons appris ensemble.\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x00\x0C\x06カムイ\x021\n\x0E\x03\x02\x08\x06カムイ\nVous allez me manquer... mais je sais que vous\nemprunterez toujours la bonne voie.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x00\x0C\x06ルキナ\x021\n\x0E\x03\x02\x08\x06ルキナ\nQuelle que soit la distance qui nous sépare,\nnous serons toujours liés par la pensée.\nJe vous en prie, bâtissez un avenir radieux.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x00\x0C\x06ミカヤ\x021\n\x0E\x03\x02\x08\x06ミカヤ\nNe vous inquiétez pas. Je vois que vos vies\nseront remplies d'espoir et de joie.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x00\x0C\x06アイク\x021\n\x0E\x03\x02\x08\x06アイク\nAllez créer un monde meilleur. Je sais que vous\nen êtes capable. Je sais que vous le ferez.\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x00\x10\nエイリーク\x021\n\x0E\x03\x02\x0C\nエイリーク\nJe prierai pour vous. Pour que votre monde soit\nrempli de bonté et de rires.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x00\x0A\x04リン\x021\n\x0E\x03\x02\x06\x04リン\nOù que vous alliez, puissent les bénédictions\ndes dieux du ciel et de la terre vous\naccompagner !\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x00\x0A\x04ロイ\x021\n\x0E\x03\x02\x06\x04ロイ\nJe suis ravi de vous avoir rencontrés. J'espère\nque vous ferez de ces terres une véritable\nArcadia.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x00\x0C\x06リーフ\x021\n\x0E\x03\x02\x08\x06リーフ\nSi vos royaumes s'unissent, aucune épreuve\nne sera insurmontable.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x00\x0E\x08シグルド\x021\n\x0E\x03\x02\x0A\x08シグルド\nRessentez l'amour autant que la peine. Honorez\nvos liens, portez la lumière, et rien ne s'avérera\nimpossible.\x0E\x04\x00\x00
MID_ED3_#011	\x0E\x03\x00\x0C\x06セリカ\x021\n\x0E\x03\x02\x08\x06セリカ\nVeillez avec bienveillance sur votre peuple,\nVotre Divinité. Et puisse votre bonheur être\néternel.\x0E\x04\x00\x00
MID_ED4_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x022\n\x0E\x03\x00\x0C\x06マルス\x021\n\x0E\x03\x02\x08\x06マルス\nLe moment est venu.\x0E\x04\x00\x00
MID_ED4_#002	\x0E\x03\x02\x0A\x08リュール\nEn effet.\x0E\x04\x00\x00
MID_ED4_#003	\x0E\x03\x02\x08\x06マルス\nVous êtes notre \x0E\x0A\x00\x16\nfrère\x08sœur, l'Emblème qui nous relie\ntous. Merci, \x0E\x06\x03\x00.\x0E\x04\x02\x00
MID_ED4_#004	Si nous nous revoyons... Non. Quand\nnous nous reverrons...\x0E\x04\x02\x00
MID_ED4_#005	J'espère que vous ne nous aurez pas oubliés.\nNous qui existions jadis dans ce monde.\x0E\x04\x02\x00
MID_ED4_#006	Les treize Emblèmes.\x0E\x04\x00\x00
MID_ED4_#007	\x0E\x03\x02\x0A\x08リュール\nJe ne vous oublierai jamais. Tout ce qui vous\nconcerne, tous les moments que nous avons\npartagés.\x0E\x04\x02\x00
MID_ED4_#008	Même lorsque nous serons séparés, nous\nserons toujours liés.\x0E\x04\x02\x00
MID_ED4_#009	Merci d'avoir combattu à mes côtés\njusqu'à la fin.\x0E\x04\x00\x00
MID_ED4_#010	\x0E\x03\x02\x08\x06マルス\nHa.\x0E\x04\x02\x00
MID_ED4_#011	\x0E\x03\x01\x08\x06マルス\n\x0E\x03\x02\x0A\x08リュール\nAu revoir, Emblèmes... Vous étiez une\nfamille pour moi.\x0E\x04\x02\x00
MID_ED4_#012	Vous avoir à mes côtés m'a toujours\nrempli\x0E\x0A\x00\x06
MID_ED4_#013	Toujours. Je vous le promets.\x0E\x04\x02\x00
MID_ED4_#014	Retournons chez nous... En route pour Elyos.\x0E\x04\x00\x00
MID_MOVIE1_#001	C'est le jour de mon couronnement. Je vais\ndevenir le roi draconique divin.
MID_MOVIE1_#001_F	C'est le jour de mon couronnement. Je vais\ndevenir la reine draconique divine.
MID_MOVIE1_#002	J'espérais que vous seriez tous là à mes côtés\npour cette occasion.
MID_MOVIE1_#003	Mais j'imagine que ce ne sera pas le cas.
MID_MOVIE1_#004	Resplendissez, Emblème du Commencement !
MID_MOVIE1_#005	Ça valait la peine d'essayer.
MID_MOVIE1_#006	Je me demande si nous nous reverrons\nun jour...
MID_MOVIE1_#007	Ha ha ! Je savais que\nnous vous trouverions ici !
MID_MOVIE1_#008	Nous avons cherché partout.
MID_MOVIE1_#009	Vous tous...
MID_MOVIE1_#010	Votre couronnement va débuter\nd'un moment à l'autre.
MID_MOVIE1_#011	Très bien. Il est temps d'aller vous changer.\nÀ moins que ce ne soit votre tenue.
MID_MOVIE1_#012	Oui, j'imagine que vous avez raison.
MID_MOVIE1_#013	Bien, faites vite ! Allez !
MID_MOVIE1_#014	Ouah, d'accord ! Je me dépêche !
MID_MOVIE1_#015	Un jour prochain...
MID_MOVIE1_#016	Nos chemins se croiseront peut-être à nouveau.
MID_MOVIE1_#017	Notre lien pourra être restauré si vous le\nsouhaitez. Vous n'aurez qu'un mot à dire.
MID_MOVIE1_#018	Fusionnons !
MID_MOVIE2_#001	\x0E\x03\x02\x0A\x08リュール\nQue s'est-il passé ?\x0E\x04\x00\x00
MID_MOVIE2_#002	\x0E\x03\x02\x0A\x08ソンブル\nTous ceux que vous aimiez... ils sont morts.\x0E\x04\x00\x00
MID_MOVIE2_#003	\x0E\x03\x02\x0A\x08ヴェイル\nIl est temps d'y aller, mon cher frère.\x0E\x04\x00\x00
MID_MOVIE2_#003_F	\x0E\x03\x02\x0A\x08ヴェイル\nIl est temps d'y aller, ma chère sœur.\x0E\x04\x00\x00
MID_MOVIE2_#004	\x0E\x03\x02\x0A\x08ソンブル\nHa ha ha ha ha !\x0E\x04\x00\x00
