MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nDans les ténèbres insondables de votre solitude,\nrêvez-vous que la lumière vous appartienne ?\x0E\x04\x02\x00
MID_ED2_#016	Parce que si vous avez vraiment en tête de tuer\nmon frère, je vais devoir...\x0E\x04\x02\x00
MID_ED2_#017	Je vais... devoir...\x0E\x04\x02\x00
MID_ED2_#018	Pff, pff...\x0E\x04\x02\x00
MID_ED2_#019	Qu'est-ce que... Que s'est-il passé ?\x0E\x04\x02\x00
MID_ED2_#020	C'est moi... qui ai fait ça ?\x0E\x04\x02\x00
MID_ED2_#021	Qu'ai-je fait ?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x00\x0E\x08ソンブル\x021\n\x0E\x03\x02\x0A\x08ソンブル\nTu t'es débarrassée des faibles.\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x06\x04エル\n...\x0E\x04\x02\x00
MID_ED2_#024	Père, je vous demande pardon.\nJe ne voulais pas...\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x0A\x08ソンブル\nIl n'y a rien à pardonner.\x0E\x04\x02\x00
MID_ED2_#026	Je t'en prie, continue. Je ne voulais pas\ninterrompre le massacre.\x0E\x04\x02\x00
MID_ED2_#027	Je crois que tu seras digne de notre lignée.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x06\x04エル\nJe...\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x14\x0EE003_エル\x021\n\x0E\x03\x00\x18\x12E003_Boss\x022\n\x0E\x03\x00\x18\x12E003_Hide\x023\n\x0E\x03\x02\x14\x12E003_Hide\nVous ?\x0E\x04\x00\x00
MID_ED3_#002	\x0E\x03\x02\x14\x12E003_Boss\nNous vous avons dit que Brodia resterait en\ndehors du conflit. Que voulez-vous de plus ?\x0E\x04\x02\x00
MID_ED3_#003	Et pourquoi les gardes n'ont-ils pas signalé\nvotre présence ?\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x10\x0EE003_エル\nJe ne leur en ai pas laissé l'opportunité.\x0E\x04\x00\x00
MID_ED3_#005	\x0E\x03\x02\x14\x12E003_Boss\n... !\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE003_エル\nLeur confier votre sécurité était fort mal avisé.\x0E\x04\x02\x00
MID_ED3_#007	Bien, j'aimerais savoir si vous êtes derrière\nl'attaque sur le château de Lythos. Répondez.\x0E\x04\x00\x00
MID_ED3_#008	\x0E\x03\x02\x14\x12E003_Boss\nDe quoi parlez-vous ? Quelle attaque\nsur Lythos ?\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x14\x12E003_Hide\nQuelle nation se risquerait à déclencher les\nhostilités ? Firene ? Non... Certainement Elusia.\x0E\x04\x00\x00
MID_ED3_#010	\x0E\x03\x02\x10\x0EE003_エル\nJe vois que vous ignorez tout de la question.\nSoit.\x0E\x04\x02\x00
MID_ED3_#011	Vous ne m'êtes plus d'aucune utilité.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x14\x12E003_Hide\nArgh...\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x14\x12E003_Boss\nAlcryst... Alcryst ! Espèce de monstre...\nQu'avez-vous fait ?!\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x14\x12E003_Boss\n...\x0E\x04\x02\x00
MID_ED3_#015	Je ne comprends pas... Vous avez ce que\nvous vouliez...\x0E\x04\x02\x00
MID_ED3_#016	Vous n'avez aucune raison... d'agir ainsi...\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x10\x0EE003_エル\nOh, j'en ai une, Votre Majesté.\x0E\x04\x02\x00
MID_ED3_#018	Je n'ai pas pour habitude d'agir ainsi\nà la dérobée, mais je ne pouvais laisser\npasser une telle opportunité.\x0E\x04\x02\x00
MID_ED3_#019	Il me faut rentrer avant l'aube. Je dois éviter\nd'éveiller les soupçons.\x0E\x04\x02\x00
MID_ED3_#020	...\x0E\x04\x02\x00
MID_ED3_#021	Ils n'ont guère opposé plus de résistance\nque le roi Alfred et la princesse Céline...\x0E\x04\x00\x00
