MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04不明\x021\n\x0E\x03\x02\x06\x04不明\n¿Deseas aferrarte a tu inocencia,\na los principios que te han guiado siempre?\x0E\x04\x02\x00
MID_ED2_#010	\x0E\x03\x02\x16\x14E006_マデリーン\nReyes sin súbditos... Me temo que solo\npodemos esperar a que llegue nuestra hora.\x0E\x04\x00\x00
MID_ED2_#011	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\n¿Y si venís conmigo?\x0E\x04\x00\x00
MID_ED2_#012	\x0E\x03\x02\x18\x16E006_セレスティア\n¿Divinidad?\x0E\x04\x00\x00
MID_ED2_#013	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nEste mundo ya no tiene salvación. Vosotros\nmismos lo reconocéis: ya no queda nadie.\x0E\x04\x02\x00
MID_ED2_#014	Y yo solo estoy aquí de visita.\nDebo regresar pronto.\x0E\x04\x02\x00
MID_ED2_#015	Pero no sé cuánto tiempo lograríais\nsobrevivir si os abandono en este mundo.\x0E\x04\x02\x00
MID_ED2_#016	Aunque acompañarme supondría involucraros\nen otra guerra, espero que aceptéis.\x0E\x04\x00\x00
MID_ED2_#017	\x0E\x03\x02\x16\x14E006_グレゴリー\nA mí me gusta la idea. Más que andar de brazos\ncruzados de aquí a la tumba, desde luego.\x0E\x04\x02\x00
MID_ED2_#018	Voto a favor.\x0E\x04\x02\x00
MID_ED2_#019	Sé que un mundo nuevo implica más terroríficos\nenemigos y peligros, pero me da igual.\x0E\x04\x00\x00
MID_ED2_#020	\x0E\x03\x02\x16\x14E006_マデリーン\nAunque el plan me atraiga...\nalbergo ciertas dudas.\x0E\x04\x02\x00
MID_ED2_#021	No sé qué le parecería a Mauvier.\n¿Nos lo perdonaría?\x0E\x04\x00\x00
MID_ED2_#022	\x0E\x03\x02\x18\x16E006_セレスティア\n¿Por qué lo dices?\x0E\x04\x00\x00
MID_ED2_#023	\x0E\x03\x02\x16\x14E006_マデリーン\nSomos su familia y, si nos marchamos,\nse quedaría solo. No me parece justo.\x0E\x04\x02\x00
MID_ED2_#024	¿Por qué tenemos tanta suerte nosotros?\nEs decir, ¿qué hemos hecho para merecer esto?\x0E\x04\x00\x00
MID_ED2_#025	\x0E\x03\x02\x16\x14E006_グレゴリー\n¿Merecer el qué? ¿Ser felices?\x0E\x04\x02\x00
MID_ED2_#026	Madeline, ¿qué fue lo último que te dijo\nel grandullón? Perdón... Mauvier.\x0E\x04\x00\x00
MID_ED2_#027	\x0E\x03\x02\x16\x14E006_マデリーン\nQue esperaba que encontrase la felicidad.\x0E\x04\x00\x00
MID_ED2_#028	\x0E\x03\x02\x16\x14E006_グレゴリー\nPues ya está.\x0E\x04\x02\x00
MID_ED2_#029	Quería que miraras adelante, al futuro,\nincluso aunque él mismo quedase atrás.\x0E\x04\x00\x00
MID_ED2_#030	\x0E\x03\x02\x16\x14E006_マデリーン\n¡No tienes derecho a hablar en su nombre!\n¡Tú no lo conocías tan bien como yo!\x0E\x04\x00\x00
MID_ED2_#031	\x0E\x03\x02\x16\x14E006_グレゴリー\nÉramos íntimos. Pasamos mucho tiempo juntos.\n¡Fuimos como hermanos!\x0E\x04\x02\x00
MID_ED2_#032	Mira, reconoce que lo último que desearía\nél sería verte hundida.\x0E\x04\x00\x00
MID_ED2_#033	\x0E\x03\x02\x16\x14E006_マデリーン\nSí, tienes razón...\x0E\x04\x02\x00
MID_ED2_#034	Mauvier me pediría que me marchase.\nQue rehiciese mi vida sin él...\x0E\x04\x00\x00
MID_ED2_#035	\x0E\x03\x02\x18\x16E006_セレスティア\nDesahógate si lo necesitas, Madeline. Todavía\nno hemos tenido tiempo de llorar su pérdida.\x0E\x04\x00\x00
MID_ED2_#036	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nEs injusto, lo sé. Os estoy pidiendo\nque abandonéis el mundo donde nacisteis.\x0E\x04\x02\x00
MID_ED2_#037	Pero, si os sirve de consuelo, he hablado\ncon Rafal y él también planea venir algún día.\x0E\x04\x02\x00
MID_ED2_#038	Podemos esperar su llegada juntos.\x0E\x04\x00\x00
MID_ED2_#039	\x0E\x03\x02\x18\x16E006_セレスティア\nDivinidad... comparto las dudas de Madeline.\x0E\x04\x02\x00
MID_ED2_#040	Me resulta difícil de aceptar que solo viajemos\nnosotros, sin nuestros señores.\x0E\x04\x00\x00
MID_ED2_#041	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nLo entiendo.\x0E\x04\x00\x00
MID_ED2_#042	\x0E\x03\x02\x18\x16E006_セレスティア\nPor otro lado, viviríamos en un mundo donde\nseríamos útiles, en lugar de languidecer en este.\x0E\x04\x02\x00
MID_ED2_#043	Después de todo lo que ha ocurrido, se me\nantoja absurdo declinar vuestra invitación.\x0E\x04\x02\x00
MID_ED2_#044	Hemos pasado tantas cosas juntos...\x0E\x04\x00\x00
MID_ED2_#045	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nEso es cierto.\x0E\x04\x00\x00
MID_ED2_#046	\x0E\x03\x02\x18\x16E006_セレスティア\nYo también voto por ir.\n¿Estamos los tres de acuerdo?\x0E\x04\x00\x00
MID_ED2_#047	\x0E\x03\x02\x16\x14E006_グレゴリー\nSí.\x0E\x04\x00\x00
MID_ED2_#048	\x0E\x03\x02\x16\x14E006_マデリーン\nCuenta conmigo.\x0E\x04\x00\x00
MID_ED2_#049	\x0E\x03\x02\x18\x16E006_セレスティア\nEn tal caso, el resto de los Vientos serán\nvuestros leales vasallos de ahora en adelante.\x0E\x04\x02\x00
MID_ED2_#050	Os acompañaremos, Divinidad.\x0E\x04\x00\x00
MID_ED2_#051	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nMe alegro. Estoy deseando pasar más tiempo\ncon todos vosotros.\x0E\x04\x00\x00
MID_ED2_#052	\x0E\x03\x02\x18\x16E006_セレスティア\nEl sentimiento es mutuo.\x0E\x04\x02\x00
MID_ED2_#053	¡Adelante! Dejemos bien alto el pabellón de los\nCuatro Vientos, ¡aunque sea en otro mundo!\x0E\x04\x00\x00
MID_ED2_#054	\x0E\x03\x02\x16\x14E006_グレゴリー\nUn momento... ¿No deberíamos llamarnos\n"los Tres Vientos" a partir de ahora?\x0E\x04\x00\x00
MID_ED2_#055	\x0E\x03\x02\x16\x14E006_マデリーン\nSi ya sabes la respuesta, ¿para qué preguntas?\x0E\x04\x00\x00
MID_ED2_#056	\x0E\x03\x02\x18\x16E006_セレスティア\nLos cuatro formamos una familia,\ny así será siempre.\x0E\x04\x02\x00
MID_ED2_#057	Nada puede cambiar eso.\x0E\x04\x00\x00
MID_ED2_#058	\x0E\x03\x02\x18\x16デモ用_神竜王リュール\n\x0E\x06\x00*\x16デモ用_神竜王リュール\x10UserName\nMuy bien. ¡Es hora de marcharse!\x0E\x04\x02\x00
MID_ED2_#059	Nel, Rafal... Volveremos a vernos.\x0E\x04\x00\x00
MID_ED2_#060	\x0E\x03\x00\x10\n青リュール\x024\n\x0E\x06\x00&\n青リュール\x18MPID_Unknown\n\x0E\x03\x02\x0C\n青リュール\nGracias, Dragón Divino. Rezo para que el futuro\nte colme de amor y esperanza.\x0E\x04\x02\x00
MID_ED2_#061	Y... cuida bien de ellos, te lo ruego.\x0E\x04\x00\x00
MID_ED3_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0E\x08リュール\x021\n\x0E\x03\x00\x14\x0EE006_エル\x022\n\x0E\x03\x00"\x1Cデモ用_竜石なし_ラファール\x023\n\x0E\x03\x02\x0A\x08リュール\nQué buen tiempo hace hoy.\x0E\x04\x02\x00
MID_ED3_#002	El cielo es de un azul tan brillante...\nParece un buen presagio.\x0E\x04\x00\x00
MID_ED3_#003	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nYo no lo habría dicho mejor.\x0E\x04\x00\x00
MID_ED3_#004	\x0E\x03\x02\x0A\x08リュール\n(...)\x0E\x04\x02\x00
MID_ED3_#005	¡Nel! ¡Rafal! ¡No esperaba\nvolver a veros tan pronto!\x0E\x04\x00\x00
MID_ED3_#006	\x0E\x03\x02\x10\x0EE006_エル\nCuánto tiempo, Divinidad.\x0E\x04\x00\x00
MID_ED3_#007	\x0E\x03\x02\x1E\x1Cデモ用_竜石なし_ラファール\nPara mí han pasado mil años, pero Nel despertó\nal fin y hemos venido, tal y como prometí.\x0E\x04\x02\x00
MID_ED3_#008	Mi hermana y yo estamos a tu disposición.\x0E\x04\x00\x00
MID_ED3_#009	\x0E\x03\x02\x0A\x08リュール\nLos dos sois más que bienvenidos.\x0E\x04\x02\x00
MID_ED3_#010	Sí que ha quedado una mañana magnífica...\x0E\x04\x00\x00
