MID_OP1_#001	\x0E\x02\x02\x00\n\x0E\x03\x00\x0A\x04グリ\x021\n\x0E\x03\x02\x06\x04グリ\nEn las tinieblas de la soledad, ¿no desearías\nque la luz obedeciera tus designios?\x0E\x04\x02\x00
MID_ED3_#010	\x0E\x03\x02\x10\x0EE003_エル\nParece que realmente no sabéis nada\ndel asunto. Está bien.\x0E\x04\x02\x00
MID_ED3_#011	Ya no sois de utilidad para mí.\x0E\x04\x00\x00
MID_ED3_#012	\x0E\x03\x02\x14\x12E003_Hide\n(...)\x0E\x04\x00\x00
MID_ED3_#013	\x0E\x03\x02\x14\x12E003_Boss\n¡Alcryst! ¡Alcryst! ¡Maldito monstruo!\n¡Serpiente asquerosa!\x0E\x04\x00\x00
MID_ED3_#014	\x0E\x03\x02\x14\x12E003_Boss\n(...)\x0E\x04\x02\x00
MID_ED3_#015	No lo entiendo... Hicimos lo que querías...\x0E\x04\x02\x00
MID_ED3_#016	No había ninguna razón para...\x0E\x04\x00\x00
MID_ED3_#017	\x0E\x03\x02\x10\x0EE003_エル\nSí que la había, rey Diamant.\x0E\x04\x02\x00
MID_ED3_#018	En circunstancias normales, no habría venido\nocultándome, pero era una oportunidad única.\x0E\x04\x02\x00
MID_ED3_#019	Debo regresar antes de que amanezca.\nNo quiero que los demás empiecen a sospechar.\x0E\x04\x02\x00
MID_ED3_#020	(...)\x0E\x04\x02\x00
MID_ED3_#021	El rey Alfred y la princesa Céline tampoco\nopusieron apenas resistencia...\x0E\x04\x00\x00
