MID_TUT_CATEGORY_TITLE_Battle	Batalla
MID_TUT_RELAY_0	El objetivo de los retos por relevos es superar\nun mapa en el que los jugadores se turnan\npara dirigir el ejército aliado.
MID_TUT_RELAY_1	Selecciona la opción "Nuevo reto" para usar\nun boleto y comenzar un nuevo reto por relevos.
MID_TUT_RELAY_2	Selecciona "Relevar" para continuar\ndonde lo dejó otro jugador.
MID_TUT_RELAY_3	Si se supera el reto, recibirás recompensas.\nElige "Ver resultados" para ver la repetición\nde los retos en los que hayas participado.
MID_TUT_RELAY_ENTRY_PANEL_TITLE	Entradas
MID_TUT_RELAY_ENTRY_PANEL_0	Es posible desplegar hasta cinco aliados\nen una entrada y las casillas que la rodean.
MID_TUT_RELAY_ENTRY_PANEL_1	Habilita las entradas inactivas del mapa\nhaciendo que un aliado espere en ellas.
MID_TUT_RELAY_ENTRY_PANEL_2	Tras activar una entrada, los jugadores que\ntomen el relevo podrán usarla para desplegar\nunidades. ¡Procura activar tantas como puedas!
MID_TUT_RELAY_DATA_TAKEOVER_TITLE	Pasar el relevo
MID_TUT_RELAY_DATA_TAKEOVER_0	Tras un número de turnos determinado,\ndeberás pasar el control del reto por relevos.\nTú decides quién te tomará el relevo.
MID_TUT_RELAY_DATA_TAKEOVER_1	Existen dos tipos de retos por relevos:\nPúblicos: Cualquiera puede continuarlos.\nPrivados: Se necesita un ID para continuarlos.
MID_TUT_RELAY_DATA_TAKEOVER_2	Cuando alguien toma el relevo de un reto,\npuedes seleccionar la opción "Ver resultados"\npara ver cómo ha continuado la batalla.
MID_TUT_RELAY_NEWDATA_TITLE	Nuevo reto
MID_TUT_RELAY_NEWDATA_0	Empieza un reto desde cero para ser\nla primera persona en desplegar unidades\nsobre el campo de batalla.
MID_TUT_RELAY_NEWDATA_1	Elige un mapa entre las opciones disponibles.
MID_TUT_RELAY_NEWDATA_2	Tras elegir el mapa, empezarán los preparativos.\nSelecciona la opción "¡A luchar!" para usar\nun boleto y empezar el reto.
MID_TUT_RELAY_TAKEOVER_TITLE	Relevar
MID_TUT_RELAY_TAKEOVER_0	También es posible continuar un reto iniciado\npor otra persona. Hay dos formas de encontrar\nretos en los que tomar el relevo.
MID_TUT_RELAY_TAKEOVER_1	Aleatorio: Continúa un reto elegido al azar.
MID_TUT_RELAY_TAKEOVER_2	Introducir ID: Introduce un ID de relevo\npara continuar el reto de un jugador concreto.
MID_TUT_RELAY_TAKEOVER_3	Cuando hayas elegido el reto, selecciona\nla opción "¡A luchar!" para empezar.
MID_TUT_RELAY_FINISH_TITLE	Ver resultados
MID_TUT_RELAY_FINISH_0	Comprueba cómo han ido los retos por relevos\nen los que has participado y obtén premios\nsi se han superado con éxito.
MID_TUT_RELAY_FINISH_1	Puedes ver tanto tus batallas como las de los\notros jugadores del reto. Si la batalla aún está\nen curso, podrás ver el progreso hasta ahora.
MID_TUT_RELAY_FINISH_2	Obtendrás recompensas también si pierdes,\npero las victorias reportan premios mejores.
MID_TUT_MATCH_TITLE	Retos alóctonos
MID_TUT_MATCH_0	En los retos alóctonos, puedes medirte\ncontra los ejércitos de otros jugadores\nen mapas seleccionados o creados por ti.
MID_TUT_MATCH_1	Selecciona "Batalla rápida" para escoger el mapa\nque quieras y comenzar la batalla.
MID_TUT_MATCH_2	Selecciona "Batalla personalizada" para crear\ny subir tu propio mapa. Después podrás\nconectarlo al de otros jugadores y luchar.
MID_TUT_MATCH_3	En ambos modos conseguirás\nrecompensas al final de la batalla.
MID_TUT_MATCH_EASY_TITLE	Batalla rápida
MID_TUT_MATCH_EASY_0	Elige un mapa, envía a un batallón de asalto y\nlucha contra el ejército de otro jugador. Puedes\nelegir a tu oponente de diferentes modos.
MID_TUT_MATCH_EASY_1	Aleatorio: Empieza una batalla contra\nel ejército de otro jugador elegido al azar.
MID_TUT_MATCH_EASY_2	Amigo: Ataca un mapa subido\npor uno de tus amigos.
MID_TUT_MATCH_EASY_3	Introducir ID: Lucha en un mapa específico\ndel que tengas el ID.
MID_TUT_MATCH_SERIOUS_TITLE	Batalla personalizada
MID_TUT_MATCH_SERIOUS_0	Crea tu propio mapa y súbelo, o conéctalo\nal de otro jugador y ataca.
MID_TUT_MATCH_SERIOUS_1	Selecciona "Editar mapa" para\ncrear tu propio campo de batalla.
MID_TUT_MATCH_EDIT_ATTACK_TITLE	Luchar en tus mapas
MID_TUT_MATCH_EDIT_ATTACK_0	Tus mapas estarán disponibles para ser usados\nen cuanto termines de crearlos.
MID_TUT_MATCH_EDIT_ATTACK_1	Selecciona "Iniciar batalla" para conectar\ntu mapa con uno subido por otro jugador,\ndespliega tu batallón de asalto y ¡a luchar!
MID_TUT_MATCH_EDIT_ATTACK_2	Si alguien ataca tu mapa, puedes seleccionar\n"Ver resultados" para ver la repetición\ny los resultados.
MID_TUT_MATCH_EDIT_ATTACK_3	Comprueba cómo de bien funciona el mapa\nque has creado con la opción "Simulacro".
MID_TUT_MATCH_ATTACK_TITLE	Iniciar batalla
MID_TUT_MATCH_ATTACK_0	Conecta tu mapa con uno subido por otro\njugador. Envía a tu batallón de asalto\ny comienza la batalla.
MID_TUT_MATCH_ATTACK_1	Aleatorio: Empieza una batalla contra\notro jugador elegido al azar.
MID_TUT_MATCH_ATTACK_2	Amigo: Ataca un mapa subido\npor uno de tus amigos.
MID_TUT_MATCH_ATTACK_3	Introducir ID: Lucha en un mapa específico\ndel que tengas el ID.
MID_TUT_MATCH_EDIT_TITLE	Editar mapa
MID_TUT_MATCH_EDIT_0	Cuando crees tus propios mapas de batalla,\npiensa en cómo afectará el terreno que\ncoloques al desarrollo de la batalla.
MID_TUT_MATCH_EDIT_1	Pulsa \x0E\x08\x02\x04\x02X para abrir la lista de terrenos.\nPuedes colocarlo con \x0E\x08\x02\x04\x02A o cambiarlo\ncon \x0E\x08\x02\x04\x02L y \x0E\x08\x02\x04\x02R.
MID_TUT_MATCH_EDIT_2	Piensa también en el poder defensivo de tu\nmapa. Una vez que lo subas, los enemigos\npodrán atacarlo. Una buena defensa es crucial.
MID_TUT_MATCH_EDIT_3	Para elegir a tu batallón defensivo, abre el menú\ncon \x0E\x08\x02\x0A\x08Plus. En él también podrás guardar tu mapa.
MID_TUT_MATCH_EDIT_SAVE_TITLE	Batallones defensivos y mapas
MID_TUT_MATCH_EDIT_SAVE_0	Puedes personalizar los ajustes, ubicación\ny equipo del batallón defensivo que\nprotegerá tus mapas.
MID_TUT_MATCH_EDIT_SAVE_1	Coloca el cursor sobre un aliado y pulsa\nel botón \x0E\x08\x02\x04\x02A para cambiar su tipo de movimiento.
MID_TUT_MATCH_EDIT_SAVE_2	Las unidades asignadas al batallón defensivo\nno se pueden desplegar en el batallón de asalto,\nasí que medita bien la distribución de las tropas.
MID_TUT_MATCH_EDIT_SAVE_3	Cuando termines de colocar el terreno\ny a tu batallón defensivo, selecciona\nla opción "Guardar".
MID_TUT_MATCH_EDIT_SAVE_4	Selecciona "Finalizar" cuando acabes.
MID_TUT_MATCH_REPLAY_TITLE	Ver resultados
MID_TUT_MATCH_REPLAY_0	Cuando un jugador lance un ataque en uno\nde los mapas que has subido, el batallón\nencargado de la defensa entrará en acción.
MID_TUT_MATCH_REPLAY_1	Si tiene lugar una batalla defensiva,\npodrás ver cómo ha evolucionado.
MID_TUT_MATCH_REPLAY_2	Observa el desarrollo de la batalla\nviendo una repetición del combate.
MID_TUT_MATCH_REPLAY_3	Conseguirás recompensas incluso si pierdes,\npero la victoria te reportará mejores premios.
MID_TUT_MATCH_MOCKCOMBAT_TITLE	Simulacro
MID_TUT_MATCH_MOCKCOMBAT_0	Prueba los mapas que has preparado\npara ver qué tal resultan en la batalla.
MID_TUT_MATCH_MOCKCOMBAT_1	Envía un batallón de asalto a tu propio mapa\npara comprobar el aguante de tus defensas.
MID_TUT_MATCH_MOCKCOMBAT_2	Si ves que necesitas mejorar algo, puedes\nhacer ajustes con la opción "Editar mapa".
MID_TUT_TIPS_Marth	Emblema Marth
MID_TUT_TIPS_Siglud	Emblema Sigurd
MID_TUT_TIPS_Celica	Emblema Celica
MID_TUT_TIPS_Micaiah	Emblema Micaiah
MID_TUT_TIPS_Roy	Emblema Roy
MID_TUT_TIPS_Lin	Emblema Lyn
MID_TUT_TIPS_Ike	Emblema Ike
MID_TUT_TIPS_Lucina	Emblema Lucina
MID_TUT_TIPS_Leaf	Emblema Leif
MID_TUT_TIPS_Kamui	Emblema Corrin
MID_TUT_TIPS_Eirik	Emblema Eirika
MID_TUT_TIPS_Ephraim	Emblema Ephraim
MID_TUT_TIPS_Byleth	Emblema Byleth
MID_TUT_TIPS_TUTORIAL	Fundamentos
MID_TUT_TIPS_ITEM	Objetos
MID_TUT_TIPS_WEAPON	Armas
MID_TUT_TIPS_KIZUNA	Exploración
MID_TUT_TIPS_HUB	El Somniel
MID_TUT_TIPS_GMAP	Mapa
MID_TUT_TIPS_ENCOUNTER	Escaramuzas
MID_TUT_TIPS_UNIT_SKILL	 (Habilidad de \x0E\x01\x00\x00)
MID_TUT_TIPS_GOD_SKILL	 (Habilidad del Emblema \x0E\x01\x00\x00)
MID_TUT_TIPS_UNIT_ITEM	 (Arma única de \x0E\x01\x00\x00)
MID_TUT_TIPS_GOD_ITEM	 (Arma de fusión de \x0E\x01\x00\x00)
MID_TIPS_TUTORIAL_1	Puedes consultar todos los artículos del tutorial dentro del menú "Sistema".
MID_TIPS_TUTORIAL_2	En el menú "Sistema" puedes elegir que se\nmuestren u omitan las animaciones de combate.
MID_TIPS_TUTORIAL_3	Pulsa \x0E\x08\x02\x06\x04ZL en el mapa de batalla para ver el alcance del ataque de los enemigos.
MID_TIPS_TUTORIAL_4	Coloca el cursor sobre un enemigo y pulsa \x0E\x08\x02\x04\x02A para ver\nsu zona de peligro; es decir, el alcance de su ataque.
MID_TIPS_TUTORIAL_5	Puedes terminar tu turno cuando lo desees con la opción "Acabar turno".
MID_TIPS_TUTORIAL_6	Mantén pulsado \x0E\x08\x02\x04\x02Y durante una conversación para pasarla rápidamente.
MID_TIPS_TUTORIAL_7	Cuando un aliado consigue cien puntos de experiencia,\nsube de nivel y sus atributos mejoran.
MID_TIPS_TUTORIAL_8	Pulsa \x0E\x08\x02\x04\x02X para ver información detallada\nsobre los objetos o las habilidades.
MID_TIPS_TUTORIAL_9	Coloca el cursor sobre una unidad y pulsa \x0E\x08\x02\x0C\nMinus\npara ver información detallada sobre sus habilidades.
MID_TIPS_TUTORIAL_10	Mantén pulsado \x0E\x08\x02\x06\x04ZR durante una batalla para cambiar la vista del minimapa\no el tipo de información que se muestra sobre la unidad.
MID_TIPS_TUTORIAL_50	Pulsa \x0E\x08\x02\x06\x04ZR en el mapa de batalla para mostrar\nmás información sobre la unidad.
MID_TIPS_TUTORIAL_11	La velocidad (Vel) de una unidad disminuirá si el peso\ndel arma que lleva es mayor que su constitución (Con).
MID_TIPS_TUTORIAL_12	Si tienes mucha suerte (Sue),\nrecibirás menos golpes críticos.
MID_TIPS_TUTORIAL_13	Colócate en matorrales o bosques para aumentar\nlas probabilidades de esquivar los ataques enemigos.
MID_TIPS_ITEM_0	Recupera PV con una poción o un bastón curativo.
MID_TIPS_ITEM_1	Las pociones y los bastones tienen un número limitado de usos.\nCuando su contador de usos llegue a cero, desaparecerán.
MID_TIPS_TUTORIAL_14	Selecciona la opción "Automático" para elegir\nuna estrategia y que las unidades luchen solas.
MID_TIPS_TUTORIAL_15	Inflige ruptura a tus enemigos aprovechando la ventaja de arma:\nespadas contra hachas, hachas contra lanzas y lanzas contra espadas.
MID_TIPS_TUTORIAL_51	Atacar con un arte infligirá ruptura a los enemigos\nque usen arco, grimorio o daga.
MID_TIPS_TUTORIAL_16	Los enemigos que sufren el efecto ruptura no pueden contratacar\nhasta su próximo combate, así que puedes atacarles sin riesgo.
MID_TIPS_TUTORIAL_17	La habilidad Defensa en cadena no protege contra ataques de fusión.
MID_TIPS_SKILL_0	Subir el nivel de lazo aumenta las habilidades disponibles\ny mejora los atributos de la unidad cuando se sincronice o fusione.
MID_TIPS_SKILL_1	El contador de fusión se llena durante la batalla.
MID_TIPS_SKILL_28	Espera en una casilla con energía de Emblema\npara llenar al máximo el contador de fusión de una unidad.\n
MID_TIPS_SKILL_2	Las unidades dragón asestan golpes adicionales al usar\nel ataque de fusión del Emblema Marth, Ráfaga Polaris.
MID_TIPS_ITEM_2	Cuando la unidad se equipa con un arte, su ataque físico (At fís) se ve afectado\npor dos atributos: fuerza (Fue) y magia (Mag).
MID_TIPS_TUTORIAL_18	Tus aliados tienen habilidades únicas.\nPulsa \x0E\x08\x02\x04\x02X para ver más detalles.
MID_TIPS_TUTORIAL_19	Consulta la sección "Unidades" para ver la clase y nivel de los aliados.
MID_TIPS_TUTORIAL_20	Los aliados incrementan su afinidad\ncuando luchan codo con codo.
MID_TIPS_TUTORIAL_21	Cambia el arma de la unidad seleccionada con \x0E\x08\x02\x04\x02L o \x0E\x08\x02\x04\x02R.
MID_TIPS_TUTORIAL_22	Los enemigos con el icono \x0E\x08\x02\x12\x10DropItem dejarán un objeto tras ser derrotados.
MID_TIPS_ITEM_3	Los arcos son eficaces contra unidades voladoras.
MID_TIPS_ITEM_4	Las unidades acorazadas tienen una defensa (Def) alta,\npero son vulnerables a los ataques mágicos.
MID_TIPS_OTHER_33	Puedes reducir la dificultad del juego dirigiéndote\na tu cama y seleccionando "Dificultad".
MID_TIPS_TUTORIAL_24	Si visitas una casa antes de que llegue un enemigo,\npuede que recibas un regalo.
MID_TIPS_TUTORIAL_25	Las unidades en fuertes o casillas de protección recuperan PV\ncada turno y no sufren ruptura por ventaja de arma.
MID_TIPS_TUTORIAL_27	Durante la batalla, \x0E\x06\x03\x00 y las unidades adyacentes\npueden acceder al carro para depositar o coger objetos.
MID_TIPS_TUTORIAL_28	Gana Exp de lazo para desbloquear conversaciones\ncon los Emblemas que incrementarán el nivel de lazo.
MID_TIPS_TUTORIAL_29	Aumenta la afinidad entre unidades para desbloquear\nconversaciones que incrementarán su nivel de apoyo.
MID_TIPS_TUTORIAL_30	Cuando sube el nivel de apoyo entre aliados, estos reciben\nuna mejora a sus atributos si se encuentran en una posición adyacente.
MID_TIPS_TUTORIAL_32	El símbolo \x0E\x08\x02\x18\x16EquipCancel aparecerá sobre el icono de arma de los enemigos\na los que puedes infligirles ruptura al atacar.
MID_TIPS_TUTORIAL_33	Los enemigos con \x0E\x08\x02 \x1EBalloonCritical asestan golpes críticos con facilidad.
MID_TIPS_TUTORIAL_34	Revierte el progreso de la batalla y cambia\nlas decisiones pasadas con la Cronogema de Dragón.
MID_TIPS_ITEM_5	Puedes atacar a los enemigos alejados con jabalinas\ny hachas de mano, además de con arcos y magia.
MID_TIPS_ITEM_6	El grimorio Aluvión solo puede atacar a enemigos adyacentes,\npero tiene un 100 % de probabilidad de acierto.
MID_TIPS_OTHER_0	Consigue fragmentos de lazo hablando con aliados\nque han destacado durante el combate.
MID_TIPS_OTHER_1	Puedes usar los cristales e ingredientes que encuentres\npara refinar armas y preparar comidas.
MID_TIPS_OTHER_2	En la Sala de Emblemas puedes usar\nfragmentos de lazo para crear anillos lazo.
MID_TIPS_OTHER_3	Pulsa \x0E\x08\x02\x04\x02X para viajar rápidamente hasta tu destino.
MID_TIPS_OTHER_4	Recibirás más afinidad de un aliado\nsi le regalas algo que le guste especialmente.
MID_TIPS_OTHER_6	Puedes cambiar la música de fondo en el gramófono.
MID_TIPS_OTHER_7	En tus aposentos puedes escuchar música o recordar\nconversaciones pasadas y eventos importantes.
MID_TIPS_OTHER_8	Si duermes en tus aposentos, puede\nque un aliado vaya a despertarte.
MID_TIPS_OTHER_9	Utiliza PH o fragmentos de lazo en la Sala de Emblemas\npara heredar habilidades de los Emblemas o crear anillos lazo.
MID_TIPS_OTHER_10	Se rumorea que el espíritu guardián del Somniel produce\nfragmentos de lazo. Cómo lo hace ya es otro tema...
MID_TIPS_OTHER_11	Intenta conseguir una puntuación alta cuando montes en wyvern\npara ganar más fragmentos de lazo.
MID_TIPS_OTHER_12	Tras una ronda de entrenamiento físico, los atributos de \x0E\x06\x03\x00\nrecibirán una pequeña mejora en la siguiente batalla.
MID_TIPS_OTHER_32	Pulsa \x0E\x08\x02\x06\x04ZR para seleccionar múltiples objetos y venderlos.
MID_TIPS_TUTORIAL_35	Si un enemigo abre un cofre antes que tú,\nderrótalo para recuperar el contenido.
MID_TIPS_TUTORIAL_36	Para atravesar una puerta, échala abajo\no haz que un ladrón la abra con la orden "Puerta".
MID_TIPS_ITEM_8	Mejora los atributos de un aliado durante el combate\ncon un objeto fortificante, como un tónico PV.
MID_TIPS_ITEM_9	Los antijinetes y las alabardas\nson eficaces contra unidades de caballería.
MID_TIPS_OTHER_13	Los animales que pastan en el Somniel pueden dejarte algún regalo.
MID_TIPS_OTHER_15	A veces aparecerán escaramuzas y batallas de entrenamiento en el mapa.\nParticipa en ellas para ganar dinero y experiencia.
MID_TIPS_OTHER_16	Gana experiencia y estrecha lazos enfrentándote\na aliados y a Emblemas en el coliseo.
MID_TIPS_OTHER_17	Los aliados que luchan en batallas de entrenamiento\nganan aún más experiencia tras superarlas.
MID_TIPS_TUTORIAL_39	Las unidades dragón suelen recibir efectos adicionales al fusionarse.
MID_TIPS_TUTORIAL_40	Las unidades de refuerzo ayudan a sus aliados\nencadenando ataques con ellos.
MID_TIPS_TUTORIAL_41	Las unidades de caballería tienen más movilidad.
MID_TIPS_TUTORIAL_42	Los ataques mágicos de las unidades místicas ignoran la bonificación\nde esquiva (Esq) que el terreno proporciona al enemigo.
MID_TIPS_TUTORIAL_43	Las unidades qigong pueden usar Defensa en cadena\npara proteger a los aliados adyacentes.
MID_TIPS_TUTORIAL_44	Las unidades furtivas doblan la bonificación\nde esquiva (Esq) que proporciona el terreno.
MID_TIPS_TUTORIAL_45	Las unidades voladoras pueden moverse\nsin verse afectadas por el terreno.
MID_TIPS_TUTORIAL_46	La ventaja de arma no inflige ruptura a las unidades acorazadas.
MID_TIPS_TUTORIAL_47	Sube tu nivel de lazo con los Emblemas para llegar a dominar\nlas técnicas de combate necesarias para cambiar de clase.
MID_TIPS_ITEM_10	Si un enemigo empuña un arma a corta distancia,\nno podrá contratacar si lo atacas a distancia.
MID_TIPS_ITEM_11	Los ataques con daga envenenan.
MID_TIPS_ITEM_12	Las machacacorazas y los martillos\nson eficaces contra unidades acorazadas.
MID_TIPS_OTHER_14	Algunas veces, tras pedir comida, el chef te preparará las sobras\npara llevar y podrás usarlas para recuperar PV en batalla.
MID_TIPS_OTHER_19	Al pedir una comida en la cafetería, puedes añadir\ningredientes extra para mejorar la experiencia.
MID_TIPS_OTHER_20	El vergel está lleno de ingredientes que puedes usar para cocinar.
MID_TIPS_OTHER_21	Obtén fragmentos de lazo completando los logros del tablón de anuncios.
MID_TIPS_OTHER_22	Usa el tablón de anuncios para donar a las regiones de Elyos. Las donaciones generosas\naumentan el nivel de donación y pueden brindarte recompensas.
MID_TIPS_OTHER_30	En las escaramuzas de las regiones con un nivel elevado de donación,\nhay más probabilidad de que aparezcan enemigos raros.
MID_TIPS_OTHER_31	Para encontrar más materiales mientras exploras,\nsube tu nivel de donación en esa región.
MID_TIPS_OTHER_23	En los mapas de escaramuza con poca visibilidad,\nlos enemigos suelen otorgar mucha experiencia y riquezas.
MID_TIPS_SKILL_38	El único modo de incrementar el índice de acierto de los bastones\nes mediante las habilidades "Maestría bastón".
MID_TIPS_OTHER_34	Tus amigos y tú podéis intercambiar vuestra ficha en la Torre de los Retos.
MID_TIPS_TUTORIAL_48	Cuidado con los enemigos que han usado la sincronización oscura.\nSi su contador de fusión parpadea, significa que su ataque de fusión está listo.
MID_TIPS_TUTORIAL_52	Los aliados que estén fusionados sufrirán menos daño\npor los ataques de fusión del enemigo.
MID_TIPS_TUTORIAL_49	Continúa entrenando a una unidad que ha alcanzado el nivel máximo\niniciándola en el nivel 1 con un segundo sello.
MID_TIPS_ITEM_13	El efecto del veneno perdurará durante toda la batalla\nsi no se trata con un antídoto o un bastón de restauración.
MID_TIPS_ITEM_14	Cuando los aliados alcanzan el nivel 10, pueden cambiar\na una clase avanzada usando un sello maestro.
MID_TIPS_ITEM_15	Las armas contundentes siempre son las últimas en atacar.
MID_TIPS_OTHER_24	Los peces que pescas en el estanque\nse pueden usar como ingredientes para cocinar.
MID_TIPS_ITEM_16	Los aliados pueden cambiar a otro tipo de clase usando un segundo sello.
MID_TIPS_ITEM_17	Las espadas, lanzas y hachas asesinas\nasestan golpes críticos con mayor frecuencia.
MID_TIPS_OTHER_37	Si haces que \x0E\x06\x03\x00 avance a la clase "Dragón Divino",\npodrás ir en wyvern en la palestra.
MID_TIPS_OTHER_26	En el mercadillo podrás encontrar algunos objetos inusuales\nque no se venden en ningún otro sitio.
MID_TIPS_OTHER_27	Se dice que en Elyos existen unos sitios especiales\ndonde puedes fortalecer tus lazos con los Emblemas.
MID_TIPS_SKILL_29	El ataque de fusión de Ike, Gran Éter, puede disipar efectos\ncomo fuego y miasma en el lugar donde se produce el impacto.
MID_TIPS_SKILL_22	El arma de fusión de Byleth cambia dependiendo\ndel tipo de unidad con que se fusione.
MID_TIPS_SKILL_25	La habilidad Vena de dragón de Corrin permite añadir\nefectos especiales al terreno que remplazarán a los existentes.
MID_TIPS_OTHER_28	El vidente solo abre por la noche.
MID_TIPS_OTHER_29	Lucha en la Torre de los Retos para conseguir materiales\nespeciales con los que mejorar las armas de fusión.
MID_TIPS_ITEM_18	Las armas del valor, como la espada del valor o la lanza del valor,\ngolpean 2 veces si la unidad inicia el ataque.
MID_TIPS_ITEM_19	Cuando llegue el momento adecuado, podrás entregarle el Anillo del Pacto\na alguien que sea especial para ti. Lo encontrarás en un cajón de tus aposentos.
MID_TIPS_GOD_0	Príncipe de Altea, país del continente de Akaneia, en otro mundo.\nDescendiente de la misma estirpe que el héroe Anri.
MID_TIPS_GOD_1	Cuando él y sus aliados derrotaron al Dragón de las Sombras,\nempezó a ser conocido como el Rey Heroico.
MID_TIPS_GOD_2	Hijo del duque de Chalphy, del reino de Grannvale en Jugdral,\nun continente de otro mundo.
MID_TIPS_GOD_3	Un noble caballero que, como descendiente del cruzado Baldo,\nheredó la legendaria espada sagrada.
MID_TIPS_GOD_4	Princesa de Zofia, un hermoso país de Valentia, un continente de otro mundo.
MID_TIPS_GOD_5	Combatió junto al héroe Alm contra el Dios Caído que amenazaba la paz mundial,\npero era más conocida por tener un corazón bondadoso.
MID_TIPS_GOD_6	Formó parte de un grupo de luchadores por la libertad de Tellius,\nun continente de otro mundo.
MID_TIPS_GOD_7	Empleaba sus misteriosos poderes para luchar contra una diosa\nque pretendía imponer su juicio sobre el mundo entero.
MID_TIPS_GOD_8	Noble de la casa de Pherae de Elibe, un continente de otro mundo.\nPorta la Espada de los Sellos.
MID_TIPS_GOD_9	Ocupó el lugar de su padre enfermo y dirigió un ejército contra los enemigos de su país.
MID_TIPS_GOD_10	Experta espadachina de Sacae, una región de verdes llanuras\nde Elibe, un continente de otro mundo.
MID_TIPS_GOD_11	Se crio como nómada, sin conocer su noble linaje.
MID_TIPS_GOD_12	Líder de los mercenarios de Greil en Tellius, un continente de otro mundo.
MID_TIPS_GOD_13	Debido a su soberbio manejo de la espada y a su noble corazón\npasó de ser un mero mercenario a un famoso héroe.
MID_TIPS_GOD_14	Princesa del Sacro Reino de Ylisse, en otro mundo.\nTiene la Marca del Venerable en su ojo izquierdo.
MID_TIPS_GOD_15	Su profundo sentido de la justicia la llevó a viajar al pasado\ny luchar para evitar un futuro aciago.
MID_TIPS_GOD_16	Aspirante al trono de Leonster, un reino de la región de Thracia en Jugdral,\nun continente de otro mundo.
MID_TIPS_GOD_17	Combatió con valentía para liberar Thracia de su yugo imperial.
MID_TIPS_GOD_18	Monarca de dos países en otro mundo. Nació en Hoshido y se crio en Nohr.
MID_TIPS_GOD_19	Aunque fue bendecida con el poder de los Dragones Primigenios,\ntuvo que tomar una difícil decisión cuando estalló la guerra entre sus dos patrias.
MID_TIPS_GOD_20	Princesa de Renais, un país del continente de Magvel, en otro mundo.\nHeredó una de las piedras sagradas.
MID_TIPS_GOD_21	El arrojado príncipe de Renais que luchó contra el Rey Demonio\njunto a su melliza Eirika.
MID_TIPS_GOD_22	Un joven mercenario que se convirtió en profesor en el monasterio de Garreg Mach,\nen el territorio de Fódlan, un continente de otro mundo.
MID_TIPS_GOD_23	Enseñó muy bien a sus alumnos y los orientó en una época de guerra.
MID_TUT_NAVI_M004_TIMECRYSTAL	Ahora puedes usar la Cronogema de Dragón.
MID_TUT_NAVI_M005_FUNDS	Has recibido \x0E\x01\x00\x00 \x0E\x01\x01\x00 M de Firene\npara fondos militares. 
MID_TUT_NAVI_VANDRE_FUNDS	Has recibido \x0E\x01\x00\x00 \x0E\x01\x01\x00 M de Vander\npara fondos militares. 
MID_TUT_NAVI_M008_FUNDS	Has recibido \x0E\x01\x00\x00 \x0E\x01\x01\x00 M de Brodia\npara fondos militares. 
MID_TUT_NAVI_M012_RESCUE	Salva a la gente de las aberraciones.
MID_TUT_NAVI_M014_FUNDS	Has recibido \x0E\x01\x00\x00 \x0E\x01\x01\x00 M de Solm\npara fondos militares. 
MID_TUT_NAVI_M015_ESCAPE	¡Protege a Seadall y ayúdale a huir!
MID_TUT_NAVI_M020_FUNDS	Has recibido \x0E\x01\x00\x00 \x0E\x01\x01\x00 M de Elusia\npara fondos militares. 
MID_TUT_NAVI_M022_GET_Siglud	Has adquirido el Anillo del Caballero Sacro.
MID_TUT_NAVI_M022_GET_Celica	Has adquirido el Anillo de la Princesa Amable.
MID_TUT_NAVI_M022_GET_Micaiah	Has adquirido el Anillo de la Dama del Alba.
MID_TUT_NAVI_M022_GET_Roy	Has adquirido el Anillo del Joven León.
MID_TUT_NAVI_M022_GET_Lin	Has adquirido el Anillo de la Noble de Sacae.
MID_TUT_NAVI_M022_GET_Ike	Has adquirido el Anillo del Héroe\nResplandeciente.
MID_TUT_NAVI_M022_GET_Lucina	Has adquirido el Anillo de la Venerable.
MID_TUT_NAVI_M022_GET_Leaf	Has adquirido el Anillo del Lord Sabio.
MID_TUT_NAVI_M022_GET_Kamui	Has adquirido el Anillo del Quid del Destino.
MID_TUT_NAVI_M022_GET_Eirik	Has adquirido el Anillo de los Mellizos Azures.
MID_TUT_NAVI_M022_GET_Byleth	Has adquirido el Anillo del Instructor.
MID_TUT_NAVI_M024_WARNING1	¡En 2 turnos, una avalancha caerá\nsobre la senda inferior de la montaña!
MID_TUT_NAVI_M024_WARNING2	¡En 2 turnos, una avalancha caerá\nsobre la senda central de la montaña!
MID_TUT_NAVI_M024_WARNING3	¡En 2 turnos, una avalancha caerá\nsobre la senda superior de la montaña!
MID_TUT_NAVI_M026_ENGAGEBREAKE	Sombron Caído usará Escisión en su próximo\nturno. Este devastador ataque anula el estado\nde fusión de todas las unidades.
MID_TUT_NAVI_M026_BEAM_WARNING	Sombron Caído usará Rayo atronador en su\nsiguiente turno. Intenta situarte fuera de su\nalcance para evitar este poderoso ataque.
MID_TUT_NAVI_S006_RULE	Impide que Byleth destruya los cristales.\nRecibirás recompensas en función del número\nde cristales que logres salvar.
MID_TUT_NAVI_S006_BREAK	Han destruido un cristal.
MID_TUT_NAVI_S006_REWARD1	¡Fabuloso! Has protegido una gran cantidad\nde cristales. Byleth te entrega esto como\nrecompensa: \x0E\x01\x00\x00 y \x0E\x01\x01\x00.
MID_TUT_NAVI_S006_REWARD2	¡Muy bien! Has protegido un buen número\nde cristales. Byleth te entrega esto como\nrecompensa: \x0E\x01\x00\x00.
MID_TUT_NAVI_S006_REWARD3	No has logrado proteger suficientes cristales\npara recibir una recompensa.
MID_TUT_NAVI_S015_GET	Has recuperado el anillo.
